No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
23,Robert Alford\AlfoRo00,29,CB,16,16,186,5-10,SE Louisiana,11/1/1988,4,6,Atlanta Falcons / 2nd / 60th pick / 2013,$2000000
37,Ricardo Allen\AlleRi00,26,S,15,15,186,5-9,Purdue,12/18/1991,3,5,Atlanta Falcons / 5th / 147th pick / 2014,$615000
44,Vic Beasley\BeasVi00,25,LB,14,8,246,6-3,Clemson,7/8/1992,2,4,Atlanta Falcons / 1st / 8th pick / 2015,$615000
5,Matthew Bosher\BoshMa00,30,P,16,0,208,6-0,Miami (FL),10/18/1987,6,2,Atlanta Falcons / 6th / 192nd pick / 2011,$2200000
3,Matt Bryant\bryanmat01,42,K,16,0,203,5-9,Baylor,5/29/1975,15,5,,$1450000
59,DeVondre Campbell\CampDe00,24,LB,16,16,232,6-4,Minnesota,7/3/1993,1,7,Atlanta Falcons / 4th / 115th pick / 2016,$540000
99,Adrian Clayborn\ClayAd00,29,de,16,2,280,6-3,Iowa,7/6/1988,6,4,Tampa Bay Buccaneers / 1st / 20th pick / 2011,$3750000
40,Derrick Coleman\ColeDe00,27,fb,16,7,233,6-0,UCLA,10/18/1990,5,0,,$690000
26,Tevin Coleman\ColeTe01,24,rb,15,3,210,6-1,Indiana,4/16/1993,2,7,Atlanta Falcons / 3rd / 73rd pick / 2015,$680000
95,Jack Crawford\CrawJa00,29,,4,0,288,6-5,Penn St.,9/7/1988,5,0,Oakland Raiders / 5th / 158th pick / 2012,$1250000
24,Devonta Freeman\FreeDe00,25,RB,14,14,206,5-8,Florida St.,3/15/1992,3,9,Atlanta Falcons / 4th / 103rd pick / 2014,$1297000
18,Taylor Gabriel\GabrTa00,26,wr,16,4,165,5-8,Abilene Christian,2/17/1991,3,4,,$2746000
63,Ben Garland\GarlBe00,29,lg,16,3,308,6-5,Air Force,4/6/1988,6,3,,$690000
29,C.J. Goodwin\GoodC.00,27,,12,0,190,6-3,California (PA),2/4/1990,3,2,,$540000
54,Jermaine Grace\GracJe00,24,,5,0,223,6-0,Miami (FL),11/8/1993,Rook,0,,$465000
17,Marvin Hall\HallMa02,24,,8,0,190,5-10,,4/10/1993,Rook,1,,$328236
14,Justin Hardy\HardJu00,26,wr,16,1,192,5-10,East Carolina,12/18/1991,2,2,Atlanta Falcons / 4th / 107th pick / 2015,$615000
47,Josh Harris\HarrJo02,28,,16,0,224,6-1,Auburn,4/27/1989,5,1,,$780000
