No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
16,Quincy Adeboyejo\AdebQu00,22,,1,0,200,6-3,Mississippi,5/26/1995,Rook,0,,$27353
37,Javorius Allen\AlleJa01,26,,16,0,218,6-0,USC,8/27/1991,2,7,Baltimore Ravens / 4th / 125th pick / 2015,$615000
70,Tony Bergstrom\BergTo00,31,,4,0,310,6-5,Utah,8/8/1986,5,0,Oakland Raiders / 3rd / 95th pick / 2012,$775000
61,Luke Bowanko\BowaLu00,26,lg,16,1,305,6-6,Virginia,6/13/1991,3,2,Jacksonville Jaguars / 6th / 205th pick / 2014,$690000
54,Tyus Bowser\BowsTy00,22,,16,0,242,6-3,Houston,5/23/1995,Rook,2,Baltimore Ravens / 2nd / 47th pick / 2017,$465000
86,Nick Boyle\BoylNi00,24,TE,15,11,270,6-4,Delaware,2/17/1993,2,2,Baltimore Ravens / 5th / 171st pick / 2015,$615000
53,Bam Bradley\BradBa00,23,,2,0,232,5-11,Pittsburgh,6/26/1994,Rook,0,,$465000
12,Michael Campanaro\CampMi02,26,,13,0,191,5-9,Wake Forest,1/25/1991,3,3,Baltimore Ravens / 7th / 218th pick / 2014,$700000
26,Maurice Canady\CanaMa00,23,lcb,8,1,193,6-1,Virginia,5/26/1994,1,1,Baltimore Ravens / 6th / 209th pick / 2016,$363000
24,Brandon Carr\CarrBr99,31,LCB,16,16,210,6-0,Grand Valley St.,5/19/1986,9,7,Kansas City Chiefs / 5th / 140th pick / 2008,$2000000
36,Chuck Clark\ClarCh00,22,,15,0,205,6-0,Virginia Tech,4/19/1995,Rook,1,Baltimore Ravens / 6th / 186th pick / 2017,$465000
34,Alex Collins\CollAl00,23,RB,15,12,208,5-10,Arkansas,8/26/1994,1,9,Seattle Seahawks / 5th / 171st pick / 2016,$508235
51,Kamalei Correa\CorrKa00,23,lb,16,3,241,6-3,Boise St.,4/27/1994,1,2,Baltimore Ravens / 2nd / 42nd pick / 2016,$711347
46,Morgan Cox\CoxxMo00,31,,16,0,233,6-4,Tennessee,4/26/1986,7,1,,$900000
94,Carl Davis\DaviCa01,25,de,15,9,320,6-5,Iowa,3/2/1992,2,5,Baltimore Ravens / 3rd / 90th pick / 2015,$630750
70,Andrew Donnal\DonnAn00,25,,6,0,305,6-6,Iowa,3/3/1992,2,1,St. Louis Rams / 4th / 119th pick / 2015,$615000
71,Jermaine Eluemunor\ElueJe00,23,rg,8,2,335,6-4,Texas AM,12/13/1994,Rook,2,Baltimore Ravens / 5th / 159th pick / 2017,$465000
81,Gavin Escobar\EscoGa00,26,,2,0,247,6-5,San Diego St.,2/3/1991,4,0,Dallas Cowboys / 2nd / 47th pick / 2013,$455882
5,Joe Flacco\FlacJo00,32,QB,16,16,245,6-6,PittsburghDelaware,1/16/1985,9,9,Baltimore Ravens / 1st / 18th pick / 2008,$6000000
58,Jonathan Freeny\FreeJo01,28,,3,0,245,6-2,Rutgers,6/15/1989,6,0,,$638235
69,Willie Henry\HenrWi00,23,dt,14,3,291,6-3,Michigan,3/20/1994,Rook,4,Baltimore Ravens / 4th / 132nd pick / 2016,$540000
43,Jaylen Hill\HillJa01,23,,6,0,175,5-10,Jacksonville St.,5/26/1994,Rook,1,,$465000
77,Austin Howard\HowaAu20,30,T,16,16,330,6-7,Northern Iowa,3/22/1987,7,8,,$1525000
