No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
29,Mike Adams\AdamMi21,36,SS,16,16,205,5-11,Delaware,3/24/1981,13,7,,$1000000
97,Mario Addison\AddiMa00,30,DE,16,16,260,6-3,Troy,9/6/1987,6,7,,$1000000
3,Derek Anderson\AndeDe00,34,,3,0,235,6-6,Oregon St.,6/15/1983,11,0,Baltimore Ravens / 6th / 213th pick / 2005,$1550000
40,Alex Armah\ArmaAl00,23,,9,0,255,6-2,West Georgia,5/17/1994,Rook,1,Carolina Panthers / 6th / 192nd pick / 2017,$410294
34,Cameron Artis-Payne\ArtiCa00,27,,13,0,215,5-10,Auburn,6/23/1990,2,1,Carolina Panthers / 5th / 174th pick / 2015,$615000
13,Kelvin Benjamin\BenjKe00,26,WR,8,8,245,6-5,Florida St.,2/5/1991,3,4,Carolina Panthers / 1st / 28th pick / 2014,$1000000
11,Brenton Bersin\BersBr00,27,wr,8,1,211,6-3,Wofford,5/9/1990,4,1,,$365292
24,James Bradberry\BradJa00,24,LCB,16,16,212,6-1,SamfordArkansas St.,8/4/1993,1,6,Carolina Panthers / 2nd / 62nd pick / 2016,$630038
92,Vernon Butler\ButlVe00,23,,14,0,330,6-4,Louisiana Tech,6/14/1994,1,1,Carolina Panthers / 1st / 30th pick / 2016,$831660
18,Damiere Byrd\ByrdDa00,24,wr,8,3,180,5-9,South Carolina,1/27/1993,1,2,,$540000
31,Jairus Byrd\ByrdJa99,31,,12,0,205,6-0,Oregon,10/7/1986,8,1,Buffalo Bills / 2nd / 42nd pick / 2009,$404648
57,Jeremy Cash\CashJe00,25,,1,0,230,6-0,Duke,12/6/1992,1,0,,$540000
12,Kaelin Clay\ClayKa00,25,wr,9,2,195,5-10,Utah,1/3/1992,2,2,Tampa Bay Buccaneers / 6th / 184th pick / 2015,$317650
20,Kurt Coleman\ColeKu99,29,FS,12,12,208,5-11,Ohio St.,7/1/1988,7,4,Philadelphia Eagles / 7th / 244th pick / 2010,$1900000
91,Bryan Cox\CoxxBr01,23,,7,0,270,6-3,Florida,6/25/1994,Rook,1,,$382941
36,Demetrious Cox\CoxxDe00,23,,4,0,200,6-0,Michigan St.,4/20/1994,Rook,0,,$465000
58,Thomas Davis\DaviTh20,34,LB,15,15,235,6-1,Georgia,3/22/1983,12,9,Carolina Panthers / 1st / 14th pick / 2005,$3250000
84,Ed Dickson\DickEd00,30,TE,16,12,250,6-4,Oregon,7/25/1987,7,4,Baltimore Ravens / 3rd / 70th pick / 2010,$1950000
14,Mose Frazier\FrazMo00,24,,1,0,190,5-11,,8/30/1993,Rook,0,,$54706
17,Devin Funchess\FuncDe00,23,WR,16,16,225,6-4,Michigan,5/21/1994,2,8,Carolina Panthers / 2nd / 41st pick / 2015,$836900
57,Andrew Gachkar\GachAn00,29,,6,0,224,6-2,Missouri,11/4/1988,6,0,San Diego Chargers / 7th / 234th pick / 2011,$501471
9,Graham Gano\GanoGr44,30,K,16,0,202,6-2,Florida St.,4/9/1987,8,5,,$3200000
23,Ladarius Gunter\GuntLa00,25,,4,0,200,6-2,Miami (FL),5/13/1992,2,0,,$615000
