No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
93,Sam Acho\AchoSa00,29,LB,16,12,259,6-3,Texas,9/6/1988,6,6,Arizona Cardinals / 4th / 103rd pick / 2011,$775000
38,Adrian Amos\AmosAd00,24,S,13,10,214,6-0,Penn St.,4/29/1993,2,4,Chicago Bears / 5th / 142nd pick / 2015,$615000
20,Prince Amukamara\AmukPr00,28,CB,14,12,204,6-0,Nebraska,6/6/1989,6,5,New York Giants / 1st / 19th pick / 2011,$3500000
58,Jonathan Anderson\AndeJo01,26,,12,0,237,6-1,TCU,10/27/1991,2,1,,$615000
4,Connor Barth\barthco01,31,K,10,0,193,5-11,North Carolina,4/11/1986,9,1,,$900000
15,Josh Bellamy\BellJo02,28,wr,15,7,208,6-0,Louisville,5/18/1989,5,3,,$775000
84,Ben Braunecker\BrauBe00,23,,8,0,252,6-4,Harvard,2/7/1994,1,0,,$254120
85,Daniel Brown\BrowDa04,25,te,14,2,247,6-5,James Madison,5/26/1992,2,1,,$615000
90,Jonathan Bullard\BullJo00,24,de,16,3,296,6-3,Florida,10/22/1993,1,3,Chicago Bears / 3rd / 72nd pick / 2016,$599000
46,Michael Burton\BurtMi00,25,fb,16,3,240,6-0,Rutgers,2/1/1992,2,0,Detroit Lions / 5th / 168th pick / 2015,$615000
26,Deon Bush\BushDe00,24,,13,0,205,6-0,Miami (FL),8/14/1993,1,1,Chicago Bears / 4th / 124th pick / 2016,$540000
37,Bryce Callahan\CallBr00,26,cb,12,6,188,5-9,Rice,10/23/1991,2,4,,$615000
29,Tarik Cohen\CoheTa00,22,rb,16,4,181,5-6,North Carolina AT,7/26/1995,Rook,6,Chicago Bears / 4th / 119th pick / 2017,$465000
76,Tom Compton\CompTo00,28,rg,11,5,315,6-6,South Dakota,5/10/1989,5,2,Washington Redskins / 6th / 193rd pick / 2012,$1000000
