No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
97,Geno Atkins\AtkiGe99,29,DT,16,15,300,6-1,Georgia,3/28/1988,7,10,Cincinnati Bengals / 4th / 120th pick / 2010,$7300000
52,Brandon Bell\BellBr01,22,,3,0,238,6-1,Penn St.,1/9/1995,Rook,0,,$82059
25,Giovani Bernard\BernGi00,26,rb,16,2,205,5-9,North Carolina,11/22/1991,4,6,Cincinnati Bengals / 2nd / 37th pick / 2013,$1600000
99,Andrew Billings\BillAn00,22,nt,15,7,325,6-1,Baylor,3/6/1995,Rook,3,Cincinnati Bengals / 4th / 122nd pick / 2016,$465000
61,Russell Bodine\BodiRu00,25,C,16,16,308,6-3,North Carolina,6/30/1992,3,7,Cincinnati Bengals / 4th / 111th pick / 2014,$1797000
65,Clint Boling\BoliCl00,28,LG,16,16,305,6-5,Georgia,5/9/1989,6,7,Cincinnati Bengals / 4th / 101st pick / 2011,$4050000
83,Tyler Boyd\BoydTy00,23,wr,10,1,203,6-2,Pittsburgh,11/15/1994,1,2,Cincinnati Bengals / 2nd / 55th pick / 2016,$643589
4,Randy Bullock\BullRa00,28,K,15,0,210,5-9,Texas AM,12/16/1989,5,3,Houston Texans / 5th / 161st pick / 2012,$775000
55,Vontaze Burfict\BurfVo00,27,LB,10,10,255,6-1,Arizona St.,9/24/1990,5,5,,$6535529
82,Cethan Carter\CartCe00,24,,16,0,245,6-3,Nebraska,9/5/1993,Rook,0,,$465000
16,Cody Core\CoreCo00,23,,13,0,210,6-3,Mississippi,4/17/1994,1,0,Cincinnati Bengals / 6th / 199th pick / 2016,$540000
14,Andy Dalton\DaltAn00,30,QB,16,16,220,6-2,TCU,10/29/1987,6,10,Cincinnati Bengals / 2nd / 35th pick / 2011,$13100000
21,Darqueze Dennard\DennDa00,26,rcb,16,6,200,5-11,Michigan St.,10/10/1991,3,4,Cincinnati Bengals / 1st / 24th pick / 2014,$988032
96,Carlos Dunlap\DunlCa99,28,DE,16,16,280,6-6,Florida,2/28/1989,7,8,Cincinnati Bengals / 2nd / 54th pick / 2010,$5350000
