No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
54,Dominique Alexander\AlexDo01,22,,4,0,235,6-0,Oklahoma,4/20/1995,1,0,,$540000
77,Zach Banner\BannZa00,24,,8,0,360,6-8,USC,12/25/1993,Rook,0,Indianapolis Colts / 4th / 137th pick / 2017,$465000
50,B.J. Bello\BellB.00,23,,16,0,229,6-3,Illinois St.,10/31/1994,Rook,1,,$465000
75,Joel Bitonio\BitoJo00,26,LG,16,16,305,6-4,Nevada,10/11/1991,3,6,Cleveland Browns / 2nd / 35th pick / 2014,$3164777
20,Briean Boddy-Calhoun\BoddBr01,24,db,13,7,193,5-9,Minnesota,1/21/1993,1,3,,$540000
99,Caleb Brantley\BranCa00,23,dt,12,1,307,6-2,Florida,9/2/1994,Rook,2,Cleveland Browns / 6th / 185th pick / 2017,$465000
18,Kenny Britt\BritKe00,29,wr,9,4,230,6-3,Rutgers,9/19/1988,8,1,Tennessee Titans / 1st / 30th pick / 2009,$4000000
52,James Burgess\BurgJa01,23,LB,14,9,230,6-0,Louisville,3/9/1994,Rook,4,,$465000
24,Ibraheim Campbell\CampIb00,25,s,8,2,210,5-11,Northwestern,5/13/1992,2,1,Cleveland Browns / 4th / 115th pick / 2015,$615000
10,Sammie Coates\CoatSa00,24,wr,12,1,213,6-1,Auburn,3/31/1993,2,0,Pittsburgh Steelers / 3rd / 87th pick / 2015,$615000
19,Corey Coleman\ColeCo00,23,WR,9,8,185,5-11,Baylor,7/6/1994,1,2,Cleveland Browns / 1st / 15th pick / 2016,$979773
72,Shon Coleman\ColeSh00,26,T,16,16,310,6-5,Auburn,11/25/1991,1,6,Cleveland Browns / 3rd / 76th pick / 2016,$568000
93,Trevon Coley\ColeTr01,23,DT,15,15,310,6-1,Florida Atlantic,7/13/1994,Rook,6,,$465000
51,Jamie Collins\CollJa00,28,lb,6,6,250,6-3,Southern Miss,10/20/1989,4,3,New England Patriots / 2nd / 52nd pick / 2013,$4750000
4,Britton Colquitt\ColqBr00,32,P,16,0,210,6-3,Tennessee,3/20/1985,7,3,,$1650000
34,Isaiah Crowell\CrowIs00,24,RB,16,16,225,5-11,Alabama St.,1/8/1993,3,5,,$2746000
39,Justin Currie\CurrJu00,24,,3,0,230,6-2,,9/19/1993,Rook,0,,$164118
27,Matthew Dayes\DayeMa00,23,,16,0,205,5-9,North Carolina St.,9/3/1994,Rook,0,Cleveland Browns / 7th / 252nd pick / 2017,$465000
87,Seth Devalve\DevaSe00,24,te,16,4,245,6-3,Princeton,1/29/1993,1,2,Cleveland Browns / 4th / 138th pick / 2016,$540000
66,Spencer Drango\DranSp00,25,T,16,10,315,6-6,Baylor,10/15/1992,1,5,Cleveland Browns / 5th / 168th pick / 2016,$540000
92,Lavar Edwards\EdwaLa00,27,,3,0,277,6-4,LSU,3/29/1990,4,0,Tennessee Titans / 5th / 142nd pick / 2013,$136765
95,Myles Garrett\GarrMy00,22,DE,11,9,272,6-4,Texas AM,12/29/1995,Rook,4,Cleveland Browns / 1st / 1st pick / 2017,$465000
5,Zane Gonzalez\GonzZa00,22,K,16,0,202,6-0,Arizona St.,5/7/1995,Rook,2,Cleveland Browns / 7th / 224th pick / 2017,$465000
12,Josh Gordon\GordJo02,26,wr,5,5,225,6-3,UtahBaylor,4/13/1991,5,2,Cleveland Browns / 2nd / 1st pick / 2012 Supp,$1068406
81,Rashard Higgins\HiggRa00,23,wr,15,4,198,6-1,Colorado St.,10/7/1994,1,2,Cleveland Browns / 5th / 172nd pick / 2016,$508224
28,Darius Hillary\HillDa02,24,,1,0,183,5-10,,4/5/1993,Rook,0,,$218824
8,Kevin Hogan\HogaKe00,25,qb,4,1,218,6-3,Stanford,10/20/1992,1,1,Kansas City Chiefs / 5th / 162nd pick / 2016,$540000
91,Tyrone Holmes\HolmTy01,24,,4,0,253,6-2,Montana,9/10/1993,1,0,Jacksonville Jaguars / 6th / 181st pick / 2016,$540000
47,Charley Hughlett\HughCh01,27,,16,0,248,6-4,Central Florida,5/16/1990,3,1,,$615000
29,Duke Johnson\JohnDu00,24,,16,0,210,5-9,Miami (FL),9/23/1993,2,6,Cleveland Browns / 3rd / 77th pick / 2015,$642500
41,Mike Jordan\JordMi00,25,cb,15,1,200,6-1,Missouri Western St.,10/21/1992,1,1,,$540000
6,Cody Kessler\KessCo00,24,,3,0,215,6-1,USC,5/11/1993,1,0,Cleveland Browns / 3rd / 93rd pick / 2016,$604049
49,Josh Keyes\KeyeJo00,24,,8,0,225,6-2,Boston Col.,1/23/1993,2,0,,$325588
26,Derrick Kindred\KindDe00,24,S,14,10,210,5-10,TCU,12/15/1993,1,4,Cleveland Browns / 4th / 129th pick / 2016,$540000
56,Deon King\KingDe00,24,,9,0,220,6-2,Norfolk St.,7/2/1993,1,1,,$412945
58,Christian Kirksey\KirkCh00,25,LB,16,16,235,6-2,Iowa,8/31/1992,3,7,Cleveland Browns / 3rd / 71st pick / 2014,$3797000
7,DeShone Kizer\KizeDe00,21,QB,15,15,235,6-4,Notre Dame,1/3/1996,Rook,5,Cleveland Browns / 2nd / 52nd pick / 2017,$465000
89,Matt Lengel\LengMa00,27,,1,0,265,6-7,NortheasternEast. Kentucky,12/27/1990,1,0,,$317647
11,Jordan Leslie\LeslJo00,26,,2,0,205,6-1,,10/31/1991,Rook,0,,$410295
80,Ricardo Louis\LouiRi00,23,WR,16,9,215,6-2,Auburn,3/23/1994,1,2,Cleveland Browns / 4th / 114th pick / 2016,$540000
30,Jason McCourty\McCoJa99,30,CB,14,14,195,5-11,Rutgers,8/13/1987,8,6,Tennessee Titans / 6th / 203rd pick / 2009,$1500000
97,T.Y. McGill\McGiT.00,25,,3,0,299,6-0,North Carolina St.,11/23/1992,2,0,,$615000
98,Jamie Meder\MedeJa00,26,dt,10,2,308,6-2,Ashland,4/12/1991,3,1,,$615000
43,Kai Nacua\NacuKa00,22,s,16,3,205,6-0,BYU,3/3/1995,Rook,2,,$465000
94,Carl Nassib\NassCa00,24,DE,16,12,275,6-7,Penn St.,4/12/1993,1,5,Cleveland Browns / 3rd / 65th pick / 2016,$618110
85,David Njoku\NjokDa00,21,te,16,5,246,6-4,Miami (FL),7/10/1996,Rook,2,Cleveland Browns / 1st / 29th pick / 2017,$465000
90,Emmanuel Ogbah\OgbaEm00,24,DE,10,10,275,6-4,Oklahoma St.,11/6/1993,1,4,Cleveland Browns / 2nd / 32nd pick / 2016,$750438
65,Larry Ogunjobi\OgunLa00,23,dt,14,1,305,6-3,Charlotte,6/3/1994,Rook,2,Cleveland Browns / 3rd / 65th pick / 2017,$465000
44,Nate Orchard\OrchNa00,24,de,16,1,255,6-3,Utah,1/5/1993,2,4,Cleveland Browns / 2nd / 51st pick / 2015,$841028
22,Jabrill Peppers\PeppJa00,22,S,13,13,213,5-11,Michigan,10/4/1995,Rook,5,Cleveland Browns / 1st / 25th pick / 2017,$465000
31,Reggie Porter\PortRe01,23,,3,0,185,5-11,,7/13/1994,Rook,0,,$410295
62,Austin Reiter\ReitAu00,26,,16,0,300,6-3,South Florida,11/27/1991,1,1,Washington Redskins / 7th / 222nd pick / 2015,$540000
53,Joe Schobert\SchoJo00,24,MLB,16,16,245,6-1,Wisconsin,11/6/1993,1,9,Cleveland Browns / 4th / 99th pick / 2016,$540000
55,Danny Shelton\ShelDa01,24,DT,14,13,345,6-2,Washington,8/20/1993,2,5,Cleveland Browns / 1st / 12th pick / 2015,$1498970
35,C.J. Smith\SmitC.00,24,,3,0,189,5-11,North Dakota St.,5/10/1993,1,0,,$95294
36,Derron Smith\SmitDe05,25,,7,0,200,5-10,Fresno St.,2/4/1992,2,1,Cincinnati Bengals / 6th / 197th pick / 2015,$289412
21,Jamar Taylor\TaylJa01,27,CB,16,15,192,5-11,Boise St.,9/29/1990,4,5,Miami Dolphins / 2nd / 54th pick / 2013,$2500000
86,Randall Telfer\TelfRa00,25,TE,16,14,250,6-4,USC,5/16/1992,1,0,Cleveland Browns / 6th / 198th pick / 2015,$540000
73,Joe Thomas\ThomJo28,33,t,7,7,312,6-6,Wisconsin,12/4/1984,10,2,Cleveland Browns / 1st / 3rd pick / 2007,$8800000
