No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
76,Richard Ash\AshxRi00,25,dt,10,2,320,6-3,MichiganWest. Michigan,8/4/1992,2,2,,$349415
33,Chidobe Awuzie\AwuzCh00,22,cb,10,6,202,6-0,Colorado,5/24/1995,Rook,3,Dallas Cowboys / 2nd / 60th pick / 2017,$465000
5,Dan Bailey\BailDa00,29,K,12,0,190,6-0,Oklahoma St.,1/26/1988,6,1,,$3200000
11,Cole Beasley\BeasCo00,28,wr,15,4,174,5-8,SMU,4/26/1989,5,3,,$3500000
75,Byron Bell\BellBy00,28,t,12,2,320,6-5,New Mexico,1/17/1989,6,2,,$1000000
23,Bene Benwikere\BenwBe00,26,,12,0,195,6-0,San Jose St.,9/3/1991,3,1,Carolina Panthers / 5th / 148th pick / 2014,$690000
30,Anthony Brown\BrowAn02,24,CB,16,10,196,5-11,Purdue,12/15/1993,1,4,Dallas Cowboys / 6th / 189th pick / 2016,$540000
85,Noah Brown\BrowNo00,21,wr,13,1,225,6-2,Ohio St.,1/6/1996,Rook,0,Dallas Cowboys / 7th / 239th pick / 2017,$465000
88,Dez Bryant\BryaDe01,29,WR,16,16,220,6-2,Oklahoma St.,11/4/1988,7,8,Dallas Cowboys / 1st / 24th pick / 2010,$13000000
19,Brice Butler\ButlBr00,27,,13,0,220,6-3,San Diego St.,1/29/1990,4,3,Oakland Raiders / 7th / 209th pick / 2013,$800000
24,Nolan Carroll\CarrNo00,30,cb,2,2,202,6-1,Maryland,1/16/1987,7,1,Miami Dolphins / 5th / 145th pick / 2010,$1000000
97,Taco Charlton\CharTa00,23,,16,0,270,6-6,Michigan,11/7/1994,Rook,2,Dallas Cowboys / 1st / 28th pick / 2017,$465000
71,Lael Collins\CollLa01,24,T,16,16,320,6-4,LSU,7/26/1993,2,8,,$1000000
96,Maliek Collins\CollMa00,22,DT,16,16,308,6-2,Nebraska,4/8/1995,1,7,Dallas Cowboys / 3rd / 67th pick / 2016,$612500
64,Jonathan Cooper\CoopJo01,27,LG,13,13,308,6-2,North Carolina,1/19/1990,4,6,Arizona Cardinals / 1st / 7th pick / 2013,$1000000
98,Tyrone Crawford\CrawTy00,28,DE,16,14,290,6-4,Boise St.,11/22/1989,5,7,Dallas Cowboys / 3rd / 81st pick / 2012,$7250000
52,Justin Durant\DuraJu99,32,mlb,7,3,230,6-4,Hampton,9/20/1985,10,2,Jacksonville Jaguars / 2nd / 48th pick / 2007,$1000000
21,Ezekiel Elliott\ElliEz00,22,RB,10,10,228,6-0,Ohio St.,7/22/1995,1,9,Dallas Cowboys / 1st / 4th pick / 2016,$1584379
56,Jayrone Elliott\ElliJa02,26,,1,0,255,6-3,Toledo,11/11/1991,3,0,,$950000
35,Kavon Frazier\FrazKa00,23,,15,0,220,6-0,Central Michigan,8/11/1994,1,1,Dallas Cowboys / 6th / 212th pick / 2016,$540000
72,Travis Frederick\FredTr00,26,C,16,16,320,6-4,Wisconsin,3/18/1991,4,10,Dallas Cowboys / 1st / 31st pick / 2013,$1296000
79,Chaz Green\GreeCh02,25,lg,14,4,318,6-5,Florida,4/8/1992,1,3,Dallas Cowboys / 3rd / 91st pick / 2015,$630375
84,James Hanna\HannJa00,28,TE,16,8,252,6-4,Oklahoma,7/14/1989,5,1,Dallas Cowboys / 6th / 186th pick / 2012,$2250000
38,Jeff Heath\HeatJe00,26,SS,15,15,212,6-1,Saginaw Valley St.,5/14/1991,4,6,,$1471000
59,Anthony Hitchens\HitcAn00,25,MLB,12,12,235,6-0,Iowa,6/10/1992,3,6,Dallas Cowboys / 4th / 119th pick / 2014,$1797000
95,David Irving\IrviDa00,24,DT,8,8,290,6-7,Iowa St.,8/18/1993,2,4,,$470294
89,Blake Jarwin\JarwBl00,23,,1,0,260,6-5,Oklahoma St.,7/16/1994,Rook,0,,$273530
31,Byron Jones\JoneBy00,25,FS,16,16,205,6-0,Connecticut,9/26/1992,2,6,Dallas Cowboys / 1st / 27th pick / 2015,$1216995
6,Chris Jones\JoneCh02,28,P,16,0,205,6-0,Carson-Newman,7/21/1989,6,2,,$800000
58,Datone Jones\JoneDa03,27,dt,4,2,288,6-5,UCLA,7/24/1990,4,1,Green Bay Packers / 1st / 26th pick / 2013,$227941
91,L.P. Ladouceur\LadoL.20,36,,16,0,256,6-5,California,3/13/1981,12,1,,$1100000
90,Demarcus Lawrence\LawrDe00,25,DE,16,16,265,6-3,Boise St.,4/28/1992,3,14,Dallas Cowboys / 2nd / 34th pick / 2014,$1170907
50,Sean Lee\LeexSe99,31,LB,11,11,245,6-2,Penn St.,7/22/1986,7,6,Dallas Cowboys / 2nd / 55th pick / 2010,$1300000
14,Lance Lenoir\LenoLa00,22,,1,0,210,6-0,,2/9/1995,Rook,0,,
27,Jourdan Lewis\LewiJo01,22,cb,15,7,195,5-10,Michigan,8/31/1995,Rook,3,Dallas Cowboys / 3rd / 92nd pick / 2017,$465000
73,Joe Looney\LoonJo01,27,,16,0,315,6-3,Wake Forest,8/31/1990,5,1,San Francisco 49ers / 4th / 117th pick / 2012,$800000
53,Justin March-Lillard\MarcJu00,24,,7,0,222,6-0,Akron,7/5/1993,1,0,,$381176
70,Zack Martin\MartZa00,27,RG,16,16,315,6-4,Notre Dame,11/20/1990,3,13,Dallas Cowboys / 1st / 16th pick / 2014,$1642882
93,Benson Mayowa\MayoBe00,26,de,14,2,265,6-3,Idaho,8/3/1991,4,2,,$1500000
20,Darren McFadden\McFaDa00,30,,1,0,210,6-2,Arkansas,8/27/1987,9,0,Oakland Raiders / 1st / 4th pick / 2008,$900000
58,Damontre Moore\MoorDa01,25,,3,0,260,6-4,Texas AM,9/11/1992,4,0,New York Giants / 3rd / 81st pick / 2013,$683823
46,Alfred Morris\MorrAl00,29,rb,14,5,224,5-10,Florida Atlantic,12/12/1988,5,4,Washington Redskins / 6th / 173rd pick / 2012,$1200000
66,Lewis Neal\NealLe00,22,,7,0,280,6-0,LSU,5/17/1995,Rook,1,,$218824
2,Mike Nugent\nugenmik01,35,,4,0,190,5-10,Ohio St.,3/2/1982,12,1,New York Jets / 2nd / 47th pick / 2005,$588240
55,Stephen Paea\PaeaSt00,29,dt,4,4,306,6-1,Oregon St.,5/11/1988,6,2,Chicago Bears / 2nd / 53rd pick / 2011,$1000000
4,Dak Prescott\PresDa01,24,QB,16,16,238,6-2,Mississippi St.,7/29/1993,1,14,Dallas Cowboys / 4th / 135th pick / 2016,$540000
92,Brian Price\PricBr00,23,,8,0,322,6-3,Texas-San Antonio,6/24/1994,1,1,,$540000
68,Daniel Ross\RossDa02,24,,3,0,305,6-3,,3/15/1993,Rook,1,,$218824
7,Cooper Rush\RushCo00,24,,2,0,225,6-3,Central Michigan,11/21/1993,Rook,0,,$465000
32,Orlando Scandrick\ScanOr99,30,CB,11,11,196,5-10,Boise St.,2/10/1987,9,4,Dallas Cowboys / 5th / 143rd pick / 2008,$3000000
54,Jaylon Smith\SmitJa05,22,mlb,16,6,245,6-2,Notre Dame,6/14/1995,Rook,4,Dallas Cowboys / 2nd / 34th pick / 2016,$745226
41,Keith Smith\SmitKe03,25,fb,16,3,240,6-0,San Jose St.,4/8/1992,3,0,,$690000
45,Rod Smith\SmitRo06,25,rb,15,1,235,6-3,Ohio St.,1/10/1992,2,4,,$615000
77,Tyron Smith\SmitTy00,27,T,13,13,320,6-5,USC,12/12/1990,6,8,Dallas Cowboys / 1st / 9th pick / 2011,$1275000
87,Geoff Swaim\SwaiGe00,24,te,15,2,260,6-4,Texas,9/16/1993,2,0,Dallas Cowboys / 7th / 246th pick / 2015,$615000
10,Ryan Switzer\SwitRy00,23,,16,0,185,5-8,North Carolina,11/4/1994,Rook,1,Dallas Cowboys / 4th / 133rd pick / 2017,$465000
99,Charles Tapper\TappCh00,24,,2,0,270,6-3,Oklahoma,5/7/1993,Rook,0,Dallas Cowboys / 4th / 101st pick / 2016,$540000
51,Kyle Wilber\WilbKy00,28,,16,0,245,6-4,Wake Forest,4/26/1989,5,1,Dallas Cowboys / 4th / 113th pick / 2012,$1250000
83,Terrance Williams\WillTe01,28,WR,16,14,210,6-2,Baylor,9/8/1989,4,6,Dallas Cowboys / 3rd / 74th pick / 2013,$1000000
57,Damien Wilson\WilsDa02,24,LB,16,9,245,6-1,Minnesota,5/28/1993,2,4,Dallas Cowboys / 4th / 127th pick / 2015,$615000
82,Jason Witten\WittJa00,35,TE,16,16,263,6-6,Tennessee,5/6/1982,14,6,Dallas Cowboys / 3rd / 69th pick / 2003,$7400000
25,Xavier Woods\WoodXa00,22,s,16,4,202,5-11,Louisiana Tech,7/26/1995,Rook,3,Dallas Cowboys / 6th / 191st pick / 2017,$465000
