No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
22,C.J. Anderson\AndeC.00,26,RB,16,16,225,5-8,California,2/10/1991,4,7,,$2900000
50,Zaire Anderson\AndeZa01,25,lb,16,2,220,5-11,Nebraska,8/18/1992,1,2,,$540000
73,Allen Barbre\BarbAl20,33,t,16,4,310,6-4,Missouri Southern,6/22/1984,10,2,Green Bay Packers / 4th / 119th pick / 2007,$1750000
48,Shaquil Barrett\BarrSh00,25,LB,16,9,250,6-2,Colorado St.,11/17/1992,3,5,,$615000
72,Garett Bolles\BollGa00,25,T,16,16,297,6-5,Utah,5/27/1992,Rook,6,Denver Broncos / 1st / 20th pick / 2017,$465000
23,Devontae Booker\BookDe00,25,,13,0,219,5-11,Utah,5/27/1992,1,3,Denver Broncos / 4th / 136th pick / 2016,$540000
20,Jamal Carter\CartJa02,23,,16,0,215,6-1,,4/12/1994,Rook,1,,$465000
28,Jamaal Charles\CharJa00,31,,14,0,199,5-11,Texas,12/27/1986,9,2,Kansas City Chiefs / 3rd / 73rd pick / 2008,$900000
51,Todd Davis\DaviTo01,25,LB,14,14,230,6-1,Sacramento St.,5/17/1992,3,6,,$2746000
83,A.J. Derby\DerbA.00,26,fb,9,1,240,6-5,Arkansas,9/20/1991,1,2,New England Patriots / 6th / 202nd pick / 2015,$615000
9,Riley Dixon\DixoRi00,24,P,16,0,221,6-4,Syracuse,8/24/1993,1,2,Denver Broncos / 7th / 228th pick / 2016,$540000
37,Lorenzo Doss\DossLo00,23,,3,0,185,5-11,Tulane,4/20/1994,2,0,Denver Broncos / 5th / 164th pick / 2015,$615000
91,Kasim Edebali\EdebKa00,28,,9,0,253,6-2,Boston Col.,8/17/1989,3,1,,$1000000
16,Bennie Fowler\FowlBe00,26,wr,16,4,212,6-1,Michigan St.,6/10/1991,3,2,,$615000
76,Max Garcia\GarcMa00,26,LG,16,16,309,6-4,Florida,11/9/1991,2,6,Denver Broncos / 4th / 133rd pick / 2015,$615000
41,Jerrol Garcia-Williams\GarcJe01,24,,11,0,235,6-2,,12/24/1993,Rook,1,,$300883
99,Adam Gotsis\GotsAd00,25,DE,16,13,287,6-4,Georgia Tech,9/23/1992,1,6,Denver Broncos / 2nd / 63rd pick / 2016,$628996
85,Virgil Green\GreeVi00,29,TE,16,16,255,6-5,Nevada,8/3/1988,6,1,Denver Broncos / 7th / 204th pick / 2011,$2800000
25,Chris Harris\HarrCh01,28,RCB,16,15,199,5-10,Kansas,6/18/1989,6,6,,$7400000
96,Shelby Harris\HarrSh00,26,de,16,6,300,6-3,Illinois St.,8/11/1991,3,4,Oakland Raiders / 7th / 235th pick / 2014,$615000
33,DeAngelo Henderson\HendDe01,25,,5,0,208,5-7,Coastal Carolina,11/24/1992,Rook,0,Denver Broncos / 6th / 203rd pick / 2017,$465000
82,Jeff Heuerman\HeueJe00,25,te,14,6,255,6-5,Ohio St.,11/24/1992,1,1,Denver Broncos / 3rd / 92nd pick / 2015,$615000
32,Andy Janovich\JanoAn00,24,fb,16,4,238,6-1,Nebraska,5/23/1993,1,0,Denver Broncos / 6th / 176th pick / 2016,$540000
98,Tyrique Jarrett\JarrTy00,23,,1,0,335,6-3,Pittsburgh,2/16/1994,Rook,0,,$465000
43,Joseph Jones\JoneJo05,23,,7,0,240,6-0,Northwestern,2/21/1994,Rook,0,,$218824
92,Zach Kerr\KerrZa00,27,dl,11,1,334,6-2,Delaware,8/29/1990,3,1,,$1000000
