No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
10,Jared Abbrederis\AbbrJa00,27,,7,0,195,6-1,Wisconsin,12/17/1990,3,0,Green Bay Packers / 5th / 176th pick / 2014,$615000
21,Ameer Abdullah\AbduAm00,24,RB,14,11,203,5-9,Nebraska,6/13/1993,2,5,Detroit Lions / 2nd / 54th pick / 2015,$687830
39,Jamal Agnew\AgneJa00,22,,13,0,190,5-10,San Diego,4/3/1995,Rook,8,Detroit Lions / 5th / 165th pick / 2017,$465000
94,Ezekiel Ansah\AnsaEz00,28,DE,14,14,275,6-5,BYU,5/29/1989,4,7,Detroit Lions / 1st / 5th pick / 2013,$12734000
62,Don Barclay\BarcDo00,28,rg,3,1,305,6-4,West Virginia,4/18/1989,5,1,,$410294
79,Alex Barrett\BarrAl00,23,,2,0,260,6-3,San Diego St.,2/6/1994,Rook,0,,$465000
43,Nick Bellore\BellNi01,28,mlb,13,2,250,6-1,Central Michigan,5/12/1989,6,2,,$729412
16,Jace Billingsley\BillJa00,24,,2,0,189,5-9,,5/17/1993,Rook,0,,$273530
26,Don Carey\CareDo00,30,,13,0,202,5-11,Norfolk St.,2/14/1987,7,1,Cleveland Browns / 6th / 177th pick / 2009,$975000
77,Emmett Cleary\CleaEm01,27,rg,7,1,320,6-7,Boston Col.,4/27/1990,4,1,,$508235
66,Joe Dahl\DahlJo00,24,lg,6,3,305,6-4,Washington St.,4/9/1993,1,2,Detroit Lions / 5th / 151st pick / 2016,$540000
40,Jarrad Davis\DaviJa01,22,MLB,14,14,238,6-1,Florida,11/16/1995,Rook,7,Detroit Lions / 1st / 21st pick / 2017,$465000
68,Taylor Decker\DeckTa00,24,T,8,8,311,6-7,Ohio St.,8/23/1993,1,4,Detroit Lions / 1st / 16th pick / 2016,$948499
28,Quandre Diggs\DiggQu00,24,cb,16,11,200,5-9,Texas,1/22/1993,2,3,Detroit Lions / 6th / 200th pick / 2015,$615000
85,Eric Ebron\EbroEr00,24,TE,16,9,253,6-4,North Carolina,4/10/1993,3,5,Detroit Lions / 1st / 10th pick / 2014,$1590337
96,Kasim Edebali\EdebKa00,28,,4,0,253,6-2,Boston Col.,8/17/1989,3,0,,$1000000
87,Darren Fells\FellDa01,31,TE,16,13,270,6-7,UC Irvine,4/22/1986,4,2,,$700000
93,Dwight Freeney\FreeDw00,37,,5,0,268,6-1,Syracuse,2/19/1980,15,0,Indianapolis Colts / 1st / 11th pick / 2002,$588235
60,Graham Glasgow\GlasGr00,25,LG,16,16,310,6-6,Michigan,7/19/1992,1,9,Detroit Lions / 3rd / 95th pick / 2016,$558500
19,Kenny Golladay\GollKe00,24,wr,11,5,213,6-4,Northern Illinois,11/3/1993,Rook,4,Detroit Lions / 3rd / 96th pick / 2017,$465000
38,Tion Green\GreeTi00,24,,5,0,220,6-0,Cincinnati,12/14/1993,Rook,1,,$465000
31,D.J. Hayden\HaydDJ00,27,cb,16,1,190,5-11,Houston,6/27/1990,4,1,Oakland Raiders / 1st / 12th pick / 2013,$2000000
96,George Johnson\JohnGe00,30,,4,0,265,6-4,Rutgers,12/11/1987,6,0,,$683824
17,Andy Jones\JoneAn01,23,,2,0,215,6-1,,6/28/1994,Rook,0,,$54706
11,Marvin Jones\JoneMa02,27,WR,16,16,198,6-2,California,3/12/1990,5,9,Cincinnati Bengals / 5th / 166th pick / 2012,$7000000
13,T.J. Jones\JoneT.00,25,wr,14,6,190,6-0,Notre Dame,7/19/1992,3,3,Detroit Lions / 6th / 189th pick / 2014,$690000
67,Zac Kerin\KeriZa00,26,lg,1,1,305,6-5,Toledo,8/13/1991,3,1,,$615000
35,Miles Killebrew\KillMi00,24,ss,16,3,222,6-2,Southern Utah,5/10/1993,1,2,Detroit Lions / 4th / 111th pick / 2016,$540000
76,T.J. Lang\LangT.20,30,RG,13,13,315,6-4,East. Michigan,9/20/1987,8,9,Green Bay Packers / 4th / 109th pick / 2009,$3000000
24,Nevin Lawson\LawsNe00,26,CB,15,15,192,5-9,Utah St.,4/23/1991,3,4,Detroit Lions / 4th / 133rd pick / 2014,$1797000
98,Jeremiah Ledbetter\LedbJe00,23,,16,0,295,6-3,Arkansas,6/2/1994,Rook,1,Detroit Lions / 6th / 205th pick / 2017,$465000
63,Tim Lelito\LeliTi00,28,,2,0,335,6-3,Grand Valley St.,7/21/1989,4,0,,$638235
18,Jeff Locke\LockJe00,28,,5,0,195,6-0,UCLA,9/27/1989,4,1,Minnesota Vikings / 5th / 155th pick / 2013,$729412
