No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
17,Davante Adams\AdamDa01,25,WR,14,14,215,6-1,Fresno St.,12/24/1992,3,8,Green Bay Packers / 2nd / 53rd pick / 2014,$956373
90,Montravius Adams\AdamMo00,22,,7,0,304,6-4,Auburn,7/24/1995,Rook,0,Green Bay Packers / 3rd / 93rd pick / 2017,$465000
81,Geronimo Allison\AlliGe01,23,wr,15,2,202,6-3,Illinois,1/18/1994,1,2,,$508235
69,David Bakhtiari\BakhDa00,26,T,12,12,310,6-4,Colorado,9/30/1991,4,10,Green Bay Packers / 4th / 109th pick / 2013,$775000
80,Martellus Bennett\BennMa00,30,te,7,7,275,6-6,Texas AM,3/10/1987,9,2,Dallas Cowboys / 2nd / 61st pick / 2008,$900000
45,Vince Biegel\BiegVi00,24,,9,0,246,6-3,Wisconsin,7/2/1993,Rook,1,Green Bay Packers / 4th / 108th pick / 2017,$348000
29,Kentrell Brice\BricKe00,23,ss,6,3,200,5-11,Louisiana Tech,8/11/1994,1,1,,$540000
55,Ahmad Brooks\BrooAh21,33,lolb,12,5,259,6-3,Virginia,3/14/1984,11,3,Cincinnati Bengals / 3rd / 1st pick / 2006 Supp,$1000000
44,Donatello Brown\BrowDo02,26,,4,0,190,6-0,,5/15/1991,Rook,0,,$246177
75,Bryan Bulaga\BulaBr20,28,t,5,5,314,6-5,Iowa,3/21/1989,7,3,Green Bay Packers / 1st / 23rd pick / 2010,$5400000
42,Morgan Burnett\BurnMo99,28,SS,12,12,209,6-1,Georgia Tech,1/13/1989,7,3,Green Bay Packers / 3rd / 71st pick / 2010,$4750000
86,Emanuel Byrd\ByrdEm00,23,,1,0,240,6-2,Marshall,12/9/1994,Rook,0,,$27353
6,Joe Callahan\CallJo00,24,,1,0,216,6-1,,6/4/1993,Rook,0,,$349415
97,Kenny Clark\ClarKe01,22,NT,15,15,314,6-3,UCLA,10/4/1995,1,7,Green Bay Packers / 1st / 27th pick / 2016,$875529
89,Michael Clark\ClarMi00,22,,2,0,217,6-6,Marshall,10/26/1995,Rook,0,,$136765
21,Ha Ha Clinton-Dix\ClinHa00,25,FS,16,16,208,6-1,Alabama,12/21/1992,3,5,Green Bay Packers / 1st / 21st pick / 2014,$778534
18,Randall Cobb\CobbRa00,27,WR,15,14,192,5-10,Kentucky,8/22/1990,6,6,Green Bay Packers / 2nd / 64th pick / 2011,$8600000
2,Mason Crosby\CrosMa20,33,K,16,0,207,6-1,Colorado,9/3/1984,10,2,Green Bay Packers / 6th / 193rd pick / 2007,$1000000
76,Mike Daniels\DaniMi00,28,DT,14,14,310,6-0,Iowa,5/5/1989,5,9,Green Bay Packers / 4th / 132nd pick / 2012,$2100000
11,Trevor Davis\DaviTr03,24,,16,0,188,6-1,California,7/4/1993,1,1,Green Bay Packers / 5th / 163rd pick / 2016,$540000
91,Quinton Dial\DialQu00,27,dt,13,2,318,6-5,Alabama,7/21/1990,4,3,San Francisco 49ers / 5th / 157th pick / 2013,$775001
73,Jahri Evans\EvanJa21,34,RG,14,14,318,6-4,Bloomsburg,8/22/1983,11,7,New Orleans Saints / 4th / 108th pick / 2006,$1150000
25,Marwin Evans\EvanMa00,24,ss,16,1,211,5-11,Utah St.,4/10/1993,1,1,,$540000
51,Kyler Fackrell\FackKy00,26,rolb,16,2,245,6-5,Utah St.,11/25/1991,1,2,Green Bay Packers / 3rd / 88th pick / 2016,$560000
93,Reggie Gilbert\GilbRe01,24,,2,0,261,6-3,Arizona,4/1/1993,Rook,0,,$54706
61,Brett Goode\GoodBr99,33,,10,0,255,6-1,Arkansas,11/2/1984,9,0,,$900000
36,Ladarius Gunter\GuntLa00,25,,1,0,200,6-2,Miami (FL),5/13/1992,2,0,,
54,Derek Hart\HartDe01,25,,2,0,245,6-4,,12/1/1992,Rook,0,,$246177
28,Josh Hawkins\HawkJo00,24,rcb,15,3,189,5-10,East Carolina,1/23/1993,1,1,,$540000
31,Davon House\HousDa00,28,LCB,12,12,195,6-0,New Mexico St.,7/10/1989,6,4,Green Bay Packers / 4th / 131st pick / 2011,$1500000
7,Brett Hundley\HundBr00,24,QB,11,9,226,6-3,UCLA,6/15/1993,1,5,Green Bay Packers / 5th / 147th pick / 2015,$615000
83,Jeff Janis\JaniJe00,26,,16,0,219,6-3,Saginaw Valley St.,6/9/1991,3,0,Green Bay Packers / 7th / 236th pick / 2014,$690000
99,Ricky Jean-Francois\JeanRi99,31,,6,0,309,6-2,LSU,11/23/1986,8,0,San Francisco 49ers / 7th / 244th pick / 2009,$794118
74,Ulrick John\JohnUl00,25,,5,0,312,6-5,Georgia St.,5/20/1992,3,0,Indianapolis Colts / 7th / 232nd pick / 2014,$506471
33,Aaron Jones\JoneAa00,23,rb,12,4,208,5-9,Texas-El Paso,12/2/1994,Rook,3,Green Bay Packers / 5th / 182nd pick / 2017,$465000
27,Josh Jones\JoneJo06,23,s,16,7,220,6-2,North Carolina St.,9/20/1994,Rook,3,Green Bay Packers / 2nd / 61st pick / 2017,$465000
84,Lance Kendricks\KendLa00,29,TE,16,9,250,6-3,Wisconsin,1/30/1988,6,2,St. Louis Rams / 2nd / 47th pick / 2011,$800000
40,Joe Kerridge\KerrJo00,25,,4,0,245,6-0,Michigan,9/17/1992,1,0,,$222353
20,Kevin King\KingKe01,22,rcb,9,5,200,6-3,Washington,5/5/1995,Rook,2,Green Bay Packers / 2nd / 33rd pick / 2017,$465000
63,Corey Linsley\LinsCo00,26,C,16,16,301,6-3,Ohio St.,7/27/1991,3,8,Green Bay Packers / 5th / 161st pick / 2014,$1797000
94,Dean Lowry\LowrDe00,23,DE,16,11,296,6-6,Northwestern,6/9/1994,1,6,Green Bay Packers / 4th / 137th pick / 2016,$540000
50,Blake Martinez\MartBl01,23,LB,16,16,237,6-2,Stanford,1/9/1994,1,8,Green Bay Packers / 4th / 131st pick / 2016,$540000
52,Clay Matthews\MattCl99,31,LOLB,14,14,255,6-3,USC,5/14/1986,8,6,Green Bay Packers / 1st / 26th pick / 2009,$10100000
32,Devante Mays\MaysDe00,23,,8,0,237,5-11,Utah St.,5/26/1994,Rook,0,Green Bay Packers / 7th / 238th pick / 2017,$465000
64,Justin McCray\McCrJu00,25,t,13,8,317,6-3,Central Florida,5/31/1992,Rook,4,,$465000
88,Ty Montgomery\MontTy01,24,rb,8,5,216,6-0,Stanford,1/22/1993,2,4,Green Bay Packers / 3rd / 94th pick / 2015,$625000
68,Kyle Murphy\MurpKy00,24,t,3,3,305,6-6,Stanford,12/11/1993,1,2,Green Bay Packers / 6th / 200th pick / 2016,$540000
87,Jordy Nelson\NelsJo00,32,WR,15,15,217,6-3,Kansas St.,5/31/1985,9,5,Green Bay Packers / 2nd / 36th pick / 2008,$8250000
98,Chris Odom\OdomCh00,23,,7,0,262,6-4,Arkansas St.,9/16/1994,Rook,0,,$465000
77,Adam Pankey\PankAd00,23,,1,0,313,6-5,West Virginia,2/2/1994,Rook,0,,$437647
62,Lucas Patrick\PatrLu00,24,rg,12,2,313,6-3,Duke,7/30/1993,Rook,2,,$465000
59,Taybor Pepper\PeppTa00,23,,4,0,245,6-4,Michigan St.,5/28/1994,Rook,0,,$382941
53,Nick Perry\PerrNi00,27,rolb,12,11,265,6-3,USC,4/12/1990,5,5,Green Bay Packers / 1st / 28th pick / 2012,$1300000
41,Lenzy Pipkins\PipkLe00,24,rcb,12,1,196,6-0,Oklahoma St.,11/7/1993,Rook,1,,$465000
23,Damarious Randall\RandDa00,25,lcb,14,12,196,5-11,Arizona St.,8/29/1992,2,5,Green Bay Packers / 1st / 30th pick / 2015,$1154612
22,Aaron Ripkowski\RipkAa00,25,fb,16,2,246,6-1,Oklahoma,12/20/1992,2,0,Green Bay Packers / 6th / 206th pick / 2015,$615000
12,Aaron Rodgers\RodgAa00,34,qb,7,7,225,6-2,Butte JC (CA)California,12/2/1983,12,7,Green Bay Packers / 1st / 24th pick / 2005,$12550000
82,Richard Rodgers\RodgRi00,25,te,15,1,257,6-4,California,1/22/1992,3,2,Green Bay Packers / 3rd / 98th pick / 2014,$1787000
24,Quinten Rollins\RollQu00,25,cb,6,1,195,5-11,Miami (OH),7/15/1992,2,1,Green Bay Packers / 2nd / 62nd pick / 2015,$775233
47,Jake Ryan\RyanJa00,25,LB,15,12,240,6-2,Michigan,2/27/1992,2,6,Green Bay Packers / 4th / 129th pick / 2015,$615000
78,Jason Spriggs\SpriJa00,23,t,7,5,301,6-6,Indiana,5/17/1994,1,3,Green Bay Packers / 2nd / 48th pick / 2016,$677468
65,Lane Taylor\TaylLa01,28,LG,15,15,324,6-3,Oklahoma St.,11/22/1989,4,8,,$2250000
48,Joe Thomas\ThomJo04,26,lb,12,1,232,6-1,South Carolina St.,5/6/1991,3,1,,$615000
8,Justin Vogel\VogeJu00,24,P,16,0,220,6-5,Miami (FL),10/14/1993,Rook,2,,$465000
35,Jermaine Whitehead\WhitJe02,24,,10,0,195,5-11,Auburn,3/12/1993,1,1,,$349415
30,Jamaal Williams\WillJa06,22,rb,16,7,213,6-0,BYU,4/3/1995,Rook,7,Green Bay Packers / 4th / 134th pick / 2017,$465000
