No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
79,Jeff Allen\AlleJe01,27,RG,12,12,305,6-4,Illinois,1/8/1990,5,5,Kansas City Chiefs / 2nd / 44th pick / 2012,$4750000
89,Stephen Anderson\AndeSt01,24,te,15,5,230,6-2,California,1/30/1993,1,3,,$540000
33,Johnthan Banks\BankJo00,28,cb,3,1,185,6-2,Mississippi St.,10/3/1989,4,0,Tampa Bay Buccaneers / 2nd / 43rd pick / 2013,$683824
81,Evan Baylis\BaylEv00,24,,1,0,250,6-5,,11/18/1993,Rook,0,,$437647
97,Angelo Blackson\BlacAn00,25,de,9,1,319,6-4,Auburn,11/14/1992,2,1,Tennessee Titans / 4th / 100th pick / 2015,$325588
28,Alfred Blue\BlueAl00,26,,11,0,229,6-2,LSU,4/27/1991,3,2,Houston Texans / 6th / 181st pick / 2014,$690000
76,Duane Brown\BrowDu20,32,t,1,1,315,6-4,Virginia Tech,8/30/1985,9,1,Houston Texans / 1st / 26th pick / 2008,$9400000
20,Marcus Burley\BurlMa00,27,,5,0,190,5-10,Delaware,7/16/1990,4,0,,$690000
39,Ibraheim Campbell\CampIb00,25,,1,0,210,5-11,Northwestern,5/13/1992,2,0,Cleveland Browns / 4th / 115th pick / 2015,$72353
74,Chris Clark\ClarCh21,32,T,10,8,305,6-5,Southern Miss,10/1/1985,7,3,,$2750000
96,Chunky Clements\ClemCh00,23,,2,0,301,6-2,Illinois,12/3/1994,Rook,0,,$218824
90,Jadeveon Clowney\ClowJa00,24,LB,16,16,255,6-5,South Carolina,2/14/1993,3,10,Houston Texans / 1st / 1st pick / 2014,$690000
51,Dylan Cole\ColeDy00,23,lb,12,1,237,6-0,Missouri State,5/19/1994,Rook,2,,$465000
95,Christian Covington\CoviCh00,24,de,7,2,305,6-2,Rice,10/16/1993,2,1,Houston Texans / 6th / 216th pick / 2015,$615000
36,Marcus Cromartie\CromMa01,27,,1,0,195,6-0,Wisconsin,12/3/1990,4,0,,$592647
41,Zach Cunningham\CunnZa00,23,LB,16,13,238,6-3,Vanderbilt,12/12/1994,Rook,5,Houston Texans / 2nd / 57th pick / 2017,$465000
56,Brian Cushing\CushBr99,30,lb,5,5,255,6-3,USC,1/24/1987,8,2,Houston Texans / 1st / 15th pick / 2009,$2264706
70,Julien Davenport\DaveJu00,22,t,11,4,325,6-7,Bucknell,1/9/1995,Rook,2,Houston Texans / 4th / 130th pick / 2017,$465000
31,Treston Decoud\DecoTr00,24,,10,0,205,6-2,Oregon St.,8/1/1993,Rook,1,Houston Texans / 5th / 169th pick / 2017,$465000
23,Kurtis Drummond\DrumKu01,25,,15,0,200,6-1,Michigan St.,1/29/1992,2,1,,$615000
92,Brandon Dunn\DunnBr00,25,NT,16,8,310,6-2,Louisville,9/5/1992,3,4,,$690000
38,Andre Ellington\ElliAn00,28,rb,4,2,200,5-9,Clemson,2/3/1989,4,1,Arizona Cardinals / 6th / 187th pick / 2013,$775000
12,Bruce Ellington\ElliBr00,26,wr,11,6,200,5-9,South Carolina,8/22/1991,3,3,San Francisco 49ers / 4th / 106th pick / 2014,$690000
34,Tyler Ervin\ErviTy00,24,,4,0,185,5-10,San Jose St.,10/7/1993,1,0,Houston Texans / 4th / 119th pick / 2016,$540000
7,Kaimi Fairbairn\FairKa01,23,K,16,0,183,6-0,UCLA,1/29/1994,Rook,2,,$465000
87,C.J. Fiedorowicz\FiedC.00,26,te,5,5,265,6-5,Iowa,10/22/1991,3,1,Houston Texans / 3rd / 65th pick / 2014,$3097000
27,DOnta Foreman\ForeDO00,21,rb,10,1,236,6-1,Texas,4/24/1996,Rook,3,Houston Texans / 3rd / 89th pick / 2017,$465000
61,Kyle Fuller\FullKy01,23,te,9,2,310,6-5,Baylor,3/4/1994,Rook,1,Houston Texans / 7th / 243rd pick / 2017,$465000
15,Will Fuller\FullWi01,23,WR,10,10,184,6-0,Notre Dame,4/16/1994,1,3,Houston Texans / 1st / 21st pick / 2016,$912014
