No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
54,Eli Ankou\AnkoEl00,23,,9,0,325,6-3,UCLA,6/8/1994,Rook,1,,$465000
17,Arrelious Benn\BennAr00,29,,9,0,225,6-2,Illinois,9/8/1988,7,0,Tampa Bay Buccaneers / 2nd / 39th pick / 2010,$775000
96,Michael Bennett\BennMi01,24,,1,0,287,6-2,Ohio St.,2/24/1993,2,0,Jacksonville Jaguars / 6th / 180th pick / 2015,$540000
40,Tommy Bohanon\BohaTo00,27,FB,16,10,246,6-1,Wake Forest,9/10/1990,4,0,New York Jets / 7th / 215th pick / 2013,$690000
5,Blake Bortles\BortBl00,25,QB,16,16,236,6-5,Central Florida,4/28/1992,3,13,Jacksonville Jaguars / 1st / 3rd pick / 2014,$3236565
21,A.J. Bouye\BouyA.00,26,RCB,16,16,191,6-0,Central Florida,8/16/1991,4,12,,$3000000
53,Blair Brown\BrowBl00,23,lb,13,2,238,5-11,Ohio,5/27/1994,Rook,2,Jacksonville Jaguars / 5th / 148th pick / 2017,$465000
93,Calais Campbell\CampCa99,31,DE,16,16,300,6-8,Miami (FL),9/1/1986,9,16,Arizona Cardinals / 2nd / 50th pick / 2008,$9000000
60,A.J. Cann\CannA.00,26,RG,15,15,325,6-3,South Carolina,10/3/1991,2,8,Jacksonville Jaguars / 3rd / 67th pick / 2015,$721000
42,Barry Church\ChurBa99,29,SS,16,16,218,6-2,Toledo,2/11/1988,7,6,,$5000000
84,Keelan Cole\ColeKe00,24,wr,16,6,194,6-1,,4/20/1993,Rook,6,,$465000
22,Aaron Colvin\ColvAa00,26,cb,16,5,191,6-0,Oklahoma,10/2/1991,3,2,Jacksonville Jaguars / 4th / 114th pick / 2014,$1797000
99,Marcell Dareus\DareMa00,27,nt,9,1,331,6-3,Alabama,3/13/1990,6,2,Buffalo Bills / 1st / 3rd pick / 2011,$9750000
92,Sheldon Day\DayxSh00,23,,6,0,294,6-1,Notre Dame,7/1/1994,1,1,Jacksonville Jaguars / 4th / 103rd pick / 2016,$540000
27,Leonard Fournette\FourLe00,22,RB,13,13,228,6-0,LSU,1/18/1995,Rook,8,Jacksonville Jaguars / 1st / 4th pick / 2017,$465000
56,Dante Fowler\FowlDa00,23,,16,0,255,6-3,Florida,8/3/1994,1,4,Jacksonville Jaguars / 1st / 3rd pick / 2015,$2570478
39,Tashaun Gipson\GipsTa00,27,FS,16,16,212,5-11,Wyoming,8/7/1990,5,6,,$5000000
30,Corey Grant\GranCo00,26,,16,0,203,5-11,Auburn,12/19/1991,2,2,,$615000
7,Chad Henne\HennCh01,32,,2,0,222,6-3,Michigan,7/2/1985,9,0,Miami Dolphins / 2nd / 57th pick / 2008,$2250000
49,Colin Holba\HolbCo00,23,,7,0,248,6-4,Louisville,7/8/1994,Rook,0,Pittsburgh Steelers / 6th / 213th pick / 2017,$191471
88,Allen Hurns\HurnAl01,26,WR,10,8,201,6-3,Miami (FL),11/12/1991,3,4,,$7000000
33,Chris Ivory\IvorCh00,29,rb,14,3,223,6-0,Washington St.Tiffin,3/22/1988,7,5,,$4500000
44,Myles Jack\JackMy00,22,LB,16,16,244,6-1,UCLA,9/3/1995,1,9,Jacksonville Jaguars / 2nd / 36th pick / 2016,$737929
97,Malik Jackson\JackMa02,27,DT,16,16,290,6-5,Tennessee,1/11/1990,5,12,Denver Broncos / 5th / 137th pick / 2012,$13500000
95,Abry Jones\JoneAb00,26,NT,15,15,318,6-4,Georgia,9/8/1991,4,8,,$2500000
