No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
25,Kenneth Acker\AckeKe00,25,rcb,16,1,195,6-0,SMU,2/6/1992,3,1,San Francisco 49ers / 6th / 180th pick / 2014,$690000
97,Allen Bailey\BailAl00,28,DE,14,13,288,6-3,Miami (FL),3/25/1989,6,6,Kansas City Chiefs / 3rd / 86th pick / 2011,$3900000
29,Eric Berry\BerrEr99,29,s,1,1,212,6-0,Tennessee,12/29/1988,7,0,Kansas City Chiefs / 1st / 5th pick / 2010,$900000
9,Tyler Bray\BrayTy00,26,,1,0,225,6-6,Tennessee,12/27/1991,4,0,,$1252500
7,Harrison Butker\ButkHa00,22,K,13,0,205,6-3,Georgia Tech,7/14/1995,Rook,5,Carolina Panthers / 7th / 233rd pick / 2017,$382941
82,Orson Charles\CharOr00,26,,5,0,257,6-3,Georgia,1/27/1991,5,1,Cincinnati Bengals / 4th / 116th pick / 2012,$202940
80,Jehu Chesson\ChesJe00,24,wr,12,1,204,6-2,Michigan,12/29/1993,Rook,0,Kansas City Chiefs / 4th / 139th pick / 2017,$465000
2,Dustin Colquitt\ColqDu20,35,P,16,0,210,6-3,Tennessee,5/6/1982,12,2,Kansas City Chiefs / 3rd / 99th pick / 2005,$4050000
17,Chris Conley\ConlCh00,25,wr,5,5,205,6-3,Georgia,10/25/1992,2,2,Kansas City Chiefs / 3rd / 76th pick / 2015,$635000
65,Jordan Devey\DeveJo00,29,c,9,1,320,6-6,Memphis,1/11/1988,4,1,,$649408
76,Laurent Duvernay-Tardif\DuveLa00,26,RG,11,11,321,6-5,McGill,2/11/1991,3,6,Kansas City Chiefs / 6th / 200th pick / 2014,$690000
79,Parker Ehinger\EhinPa00,25,rg,1,1,310,6-6,Cincinnati,12/30/1992,1,1,Kansas City Chiefs / 4th / 105th pick / 2016,$540000
45,Ukeme Eligwe\EligUk00,23,lolb,14,1,239,6-2,Georgia Southern,4/27/1994,Rook,1,Kansas City Chiefs / 5th / 183rd pick / 2017,$465000
75,Cameron Erving\ErviCa00,25,rg,13,4,313,6-5,Florida St.,8/23/1992,2,3,Cleveland Browns / 1st / 19th pick / 2015,$1292188
72,Eric Fisher\FishEr00,26,T,16,15,315,6-7,Central Michigan,1/5/1991,4,10,Kansas City Chiefs / 1st / 1st pick / 2013,$6857977
55,Dee Ford\FordDe00,26,rolb,6,6,252,6-2,Auburn,3/19/1991,3,4,Kansas City Chiefs / 1st / 23rd pick / 2014,$957704
73,Zach Fulton\FultZa00,26,C,15,12,321,6-5,Tennessee,9/23/1991,3,7,Kansas City Chiefs / 6th / 193rd pick / 2014,$1788500
23,Phillip Gaines\GainPh00,26,cb,14,3,193,6-0,Rice,4/4/1991,3,1,Kansas City Chiefs / 3rd / 87th pick / 2014,$700000
91,Tamba Hali\HaliTa20,34,,5,0,275,6-3,Penn St.,11/3/1983,11,0,Kansas City Chiefs / 1st / 20th pick / 2006,$5750000
74,Justin Hamilton\HamiJu00,24,de,1,1,315,6-2,,7/27/1993,Rook,0,,$109412
84,Demetrius Harris\HarrDe03,26,te,16,7,230,6-7,Wisconsin–Milwaukee,7/29/1991,4,2,,$1100000
10,Tyreek Hill\HillTy00,23,WR,15,13,185,5-10,West Alabama,3/1/1994,1,13,Kansas City Chiefs / 5th / 165th pick / 2016,$540000
50,Justin Houston\HousJu00,28,LOLB,15,15,258,6-3,Georgia,1/12/1989,6,8,Kansas City Chiefs / 3rd / 70th pick / 2011,$16350000
31,Akeem Hunt\HuntAk01,24,,15,0,185,5-10,Purdue,2/22/1993,2,0,,$578824
27,Kareem Hunt\HuntKa00,22,RB,16,16,216,5-11,Toledo,8/6/1995,Rook,15,Kansas City Chiefs / 3rd / 86th pick / 2017,$465000
94,Jarvis Jenkins\JenkJa01,29,de,11,1,300,6-4,Clemson,4/24/1988,6,1,Washington Redskins / 2nd / 41st pick / 2011,$775000
56,Derrick Johnson\JohnDe25,35,LILB,15,15,242,6-3,Texas,11/22/1982,12,7,Kansas City Chiefs / 1st / 15th pick / 2005,$1000000
95,Chris Jones\JoneCh09,23,de,16,7,310,6-6,Mississippi St.,7/3/1994,1,5,Kansas City Chiefs / 2nd / 37th pick / 2016,$708238
87,Travis Kelce\KelcTr00,28,TE,15,15,260,6-5,Cincinnati,10/5/1989,4,10,Kansas City Chiefs / 3rd / 63rd pick / 2013,$2700000
19,Marcus Kemp\KempMa00,22,,1,0,210,6-4,Hawaii,8/14/1995,Rook,0,,$328235
92,Tanoh Kpassagnon\KpasTa00,23,rolb,16,1,289,6-7,Villanova,6/14/1994,Rook,2,Kansas City Chiefs / 2nd / 59th pick / 2017,$465000
96,Bennie Logan\LogaBe00,28,NT,15,12,315,6-2,LSU,12/28/1989,4,10,Philadelphia Eagles / 3rd / 67th pick / 2013,$6680000
15,Patrick Mahomes\MahoPa00,22,qb,1,1,230,6-3,Texas Tech,9/17/1995,Rook,1,Kansas City Chiefs / 1st / 10th pick / 2017,$465000
34,Leon McQuay\McQuLe01,23,s,1,1,195,6-1,USC,11/21/1994,Rook,0,Kansas City Chiefs / 6th / 218th pick / 2017,$82059
98,Roy Miller\MillRo99,30,,7,0,301,6-1,Texas,7/9/1987,8,1,Tampa Bay Buccaneers / 3rd / 81st pick / 2009,$900000
39,Terrance Mitchell\MitcTe00,25,rcb,15,9,191,5-11,Oregon,5/17/1992,3,3,Dallas Cowboys / 7th / 254th pick / 2014,$690000
61,Mitch Morse\MorsMi00,25,c,7,7,305,6-6,Missouri,4/21/1992,2,4,Kansas City Chiefs / 2nd / 49th pick / 2015,$834826
21,Eric Murray\MurrEr00,23,cb,14,2,199,5-11,Minnesota,1/7/1994,1,1,Kansas City Chiefs / 4th / 106th pick / 2016,$540000
20,Steven Nelson\NelsSt01,24,rcb,9,7,194,5-11,Oregon St.,1/22/1993,2,2,Kansas City Chiefs / 3rd / 98th pick / 2015,$618500
99,Rakeem Nunez-Roches\NuneRa00,24,DE,16,11,307,6-2,Southern Miss,7/3/1993,2,5,Kansas City Chiefs / 6th / 217th pick / 2015,$615000
38,Ron Parker\ParkRo01,30,S,16,16,206,6-0,Newberry,8/17/1987,6,5,,$3900000
22,Marcus Peters\PeteMa00,24,LCB,14,14,197,6-0,Washington,1/9/1993,2,5,Kansas City Chiefs / 1st / 18th pick / 2015,$1306287
57,Kevin Pierre-Louis\PierKe00,26,,14,0,230,6-0,Boston Col.,10/7/1991,3,1,Seattle Seahawks / 4th / 132nd pick / 2014,$690000
59,Reggie Ragland\RaglRe00,24,lilb,12,10,252,6-2,Alabama,9/24/1993,Rook,5,Buffalo Bills / 2nd / 41st pick / 2016,$715517
40,Keith Reaser\ReasKe00,26,,1,0,190,6-0,Florida Atlantic,7/31/1991,3,0,San Francisco 49ers / 5th / 170th pick / 2014,$121765
24,Darrelle Revis\ReviDa99,32,rcb,5,2,198,5-11,Pittsburgh,7/14/1985,10,1,New York Jets / 1st / 14th pick / 2007,$352941
14,Demarcus Robinson\RobiDe01,23,WR,16,8,203,6-1,Florida,9/21/1994,1,2,Kansas City Chiefs / 4th / 126th pick / 2016,$540000
5,Cairo Santos\SantCa01,26,,3,0,160,5-8,Tulane,11/12/1991,3,1,,$1797000
