No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
35,Walt Aikens\AikeWa00,26,,16,0,208,6-1,Liberty,6/19/1991,3,1,Miami Dolphins / 4th / 125th pick / 2014,$690000
23,Jay Ajayi\AjayJa00,24,rb,7,7,223,6-0,Boise St.,6/15/1993,2,3,Miami Dolphins / 5th / 149th pick / 2015,$615000
59,Chase Allen\AlleCh02,24,lb,16,4,250,6-3,Southern Illinois,8/29/1993,Rook,3,,$465000
29,Nate Allen\AlleNa99,30,s,7,7,205,6-1,South Florida,11/30/1987,7,2,Philadelphia Eagles / 2nd / 37th pick / 2010,$1400000
47,Kiko Alonso\AlonKi00,27,LB,16,16,239,6-3,Oregon,8/14/1990,4,7,Buffalo Bills / 2nd / 46th pick / 2013,$1075000
44,Stephone Anthony\AnthSt00,25,,8,0,245,6-3,Clemson,7/28/1992,2,1,New Orleans Saints / 1st / 31st pick / 2015,$1004015
68,Isaac Asiata\AsiaIs00,25,,1,0,345,6-3,Utah,12/29/1992,Rook,0,Miami Dolphins / 5th / 164th pick / 2017,$465000
50,Andre Branch\BranAn00,28,DE,14,14,265,6-5,Clemson,7/14/1989,5,6,Jacksonville Jaguars / 2nd / 38th pick / 2012,$2900000
64,Jake Brendel\BrenJa01,25,,16,0,299,6-4,UCLA,9/10/1992,1,1,,$540000
74,Jermon Bushrod\BushJe20,33,RG,10,10,318,6-5,Towson,8/19/1984,10,4,New Orleans Saints / 4th / 125th pick / 2007,$1475000
88,Leonte Carroo\CarrLe00,23,,14,0,215,6-1,Rutgers,1/24/1994,1,1,Miami Dolphins / 3rd / 86th pick / 2016,$560000
6,Jay Cutler\CutlJa00,34,QB,14,14,225,6-3,Vanderbilt,4/29/1983,11,5,Denver Broncos / 1st / 11th pick / 2006,$5000000
77,Jesse Davis\DaviJe00,26,rg,16,10,325,6-6,Idaho,9/15/1991,Rook,4,,$465000
92,John Denney\DennJo20,39,,16,0,242,6-5,BYU,12/13/1978,12,1,,$900000
85,A.J. Derby\DerbA.00,26,,2,0,240,6-5,Arkansas,9/20/1991,1,0,New England Patriots / 6th / 202nd pick / 2015,$615000
32,Kenyan Drake\DrakKe00,23,rb,16,6,211,6-1,Alabama,1/26/1994,1,6,Miami Dolphins / 3rd / 73rd pick / 2016,$595000
