No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
12,Rodney Adams\AdamRo01,23,,1,0,189,,South Florida,9/15/1994,Rook,0,Minnesota Vikings / 5th / 170th pick / 2017,$465000
20,Mackensie Alexander\AlexMa01,24,,14,0,192,5-10,Clemson,11/12/1993,1,1,Minnesota Vikings / 2nd / 54th pick / 2016,$646196
55,Anthony Barr\BarrAn00,25,LB,16,16,255,6-5,UCLA,3/18/1992,3,11,Minnesota Vikings / 1st / 9th pick / 2014,$2157750
81,Blake Bell\BellBl00,26,te,13,3,252,6-6,Oklahoma,8/7/1991,2,0,San Francisco 49ers / 4th / 117th pick / 2015,$615000
61,Joe Berger\BergJo20,35,RG,16,16,303,6-5,Michigan Tech,5/25/1982,12,9,Carolina Panthers / 6th / 207th pick / 2005,$1000000
90,Tashawn Bower\BoweTa00,22,,2,0,250,6-5,LSU,2/18/1995,Rook,0,,$465000
8,Sam Bradford\BradSa00,30,qb,2,2,224,6-4,Oklahoma,11/8/1987,7,1,St. Louis Rams / 1st / 1st pick / 2010,$14000000
5,Teddy Bridgewater\BridTe00,25,,1,0,215,6-2,Louisville,11/10/1992,3,0,Minnesota Vikings / 1st / 32nd pick / 2014,$1354023
24,Tramaine Brock\BrocTr00,29,,11,0,188,5-10,Mississippi Gulf Coast J.C.; Bellhaven,8/20/1988,7,1,,$900000
40,Kentrell Brothers\BrotKe00,24,,16,0,242,6-1,Missouri,2/8/1993,1,1,Minnesota Vikings / 5th / 160th pick / 2016,$540000
31,Mack Brown\BrowMa02,26,,1,0,213,5-11,Florida,9/24/1991,1,0,,$540000
86,Kyle Carter\CartKy01,25,,3,0,245,6-3,Penn St.,12/17/1992,Rook,0,,$100800
13,Stacy Coley\ColeSt00,23,,4,0,195,6-0,Miami (FL),5/13/1994,Rook,0,Minnesota Vikings / 7th / 219th pick / 2017,$465000
76,Aviante Collins\CollAv00,24,,3,0,292,6-4,TCU,4/21/1993,Rook,0,,$465000
33,Dalvin Cook\CookDa01,22,rb,4,4,210,5-10,Florida St.,8/10/1995,Rook,4,Minnesota Vikings / 2nd / 41st pick / 2017,$465000
14,Stefon Diggs\DiggSt00,24,WR,14,14,191,6-0,Maryland,11/29/1993,2,9,Minnesota Vikings / 5th / 146th pick / 2015,$615000
62,Nick Easton\EastNi00,25,LG,12,12,303,6-3,Harvard,6/16/1992,1,7,,$615000
65,Pat Elflein\ElflPa00,23,C,14,14,303,6-3,Ohio St.,7/6/1994,Rook,8,Minnesota Vikings / 3rd / 70th pick / 2017,$465000
18,Michael Floyd\FloyMi00,28,wr,11,1,220,6-3,Notre Dame,11/27/1989,5,1,Arizona Cardinals / 1st / 13th pick / 2012,$887058
2,Kai Forbath\ForbKa00,30,K,16,0,197,5-11,UCLA,9/2/1987,6,3,,$775000
42,Ben Gedeon\GedeBe00,23,LB,16,9,244,6-2,Michigan,10/16/1994,Rook,8,Minnesota Vikings / 4th / 120th pick / 2017,$465000
97,Everson Griffen\GrifEv99,30,DE,15,15,273,6-3,USC,12/22/1987,7,15,Minnesota Vikings / 4th / 100th pick / 2010,$1900000
30,C.J. Ham\HamxC.00,24,fb,16,1,235,5-11,Augustana (SD),7/22/1993,Rook,1,,$465000
41,Anthony Harris\HarrAn01,26,ss,16,3,202,6-1,Virginia,6/4/1991,2,2,,$615000
69,Rashod Hill\HillRa01,25,t,11,7,313,6-6,Southern Miss,1/12/1992,1,4,,$540000
99,Danielle Hunter\HuntDa01,23,DE,16,16,252,6-5,LSU,10/29/1994,2,9,Minnesota Vikings / 3rd / 88th pick / 2015,$636000
63,Danny Isidora\IsidDa00,23,lg,7,1,306,6-3,Miami (FL),6/5/1994,Rook,1,Minnesota Vikings / 5th / 180th pick / 2017,$465000
94,Jaleel Johnson\JohnJa09,23,,5,0,316,6-3,Iowa,7/12/1994,Rook,0,Minnesota Vikings / 4th / 109th pick / 2017,$465000
92,Tom Johnson\JohnTo01,33,DT,16,15,285,6-3,Southern Miss,8/30/1984,6,8,,$2300000
98,Linval Joseph\JoseLi99,29,NT,16,16,329,6-4,East Carolina,10/10/1988,7,13,New York Giants / 2nd / 46th pick / 2010,$1150000
27,Jayron Kearse\KearJa00,23,,15,0,215,6-4,Clemson,2/11/1994,1,1,Minnesota Vikings / 7th / 244th pick / 2016,$540000
7,Case Keenum\KeenCa00,29,QB,15,14,215,6-1,Houston,2/17/1988,5,14,,$950000
54,Eric Kendricks\KendEr00,25,MLB,16,16,232,6-0,UCLA,2/29/1992,2,10,Minnesota Vikings / 2nd / 45th pick / 2015,$903720
59,Emmanuel Lamur\LamuEm00,28,,16,0,245,6-4,Kansas St.,6/8/1989,5,2,,$2450000
47,Kevin McDermott\McDeKe00,27,,15,0,240,6-5,UCLA,1/12/1990,4,1,,$775000
21,Jerick McKinnon\McKiJe00,25,rb,16,1,205,5-9,Georgia Southern,5/3/1992,3,9,Minnesota Vikings / 3rd / 96th pick / 2014,$700000
89,David Morgan\MorgDa01,24,te,15,6,265,6-4,Texas-San Antonio,5/19/1993,1,1,Minnesota Vikings / 6th / 188th pick / 2016,$540000
25,Latavius Murray\MurrLa00,27,RB,16,11,230,6-3,Central Florida,1/18/1990,4,7,Oakland Raiders / 6th / 181st pick / 2013,$900000
23,Terence Newman\NewmTe20,39,cb,16,7,197,5-10,Kansas St.,9/4/1978,14,3,Dallas Cowboys / 1st / 5th pick / 2003,$2400000
44,Jeff Overbaugh\OverJe00,24,,1,0,236,6-0,,11/24/1993,Rook,0,,$27353
4,Ryan Quigley\QuigRy00,27,P,16,0,205,6-2,Boston Col.,1/26/1990,4,1,,$775000
71,Riley Reiff\ReifRi00,29,T,15,15,305,6-6,Iowa,12/1/1988,5,9,Detroit Lions / 1st / 23rd pick / 2012,$6200000
74,Mike Remmers\RemmMi00,28,T,11,11,310,6-5,Oregon St.,4/11/1989,5,6,,$1400000
29,Xavier Rhodes\RhodXa00,27,RCB,16,16,218,6-1,Florida St.,6/19/1990,4,11,Minnesota Vikings / 1st / 25th pick / 2013,$8026000
96,Brian Robison\RobiBr98,34,de,15,1,259,6-3,Texas,4/27/1983,10,2,Minnesota Vikings / 4th / 102nd pick / 2007,$3900000
82,Kyle Rudolph\RudoKy00,28,TE,16,16,265,6-6,Notre Dame,11/9/1989,6,5,Minnesota Vikings / 2nd / 43rd pick / 2011,$5150000
34,Andrew Sendejo\SendAn00,30,SS,13,13,210,6-1,Rice,9/9/1987,7,4,,$2950000
35,Marcus Sherels\SherMa20,30,,16,0,175,5-10,Minnesota,9/30/1987,7,1,,$1950000
75,Jeremiah Sirles\SirlJe00,26,lg,14,4,315,6-6,Nebraska,8/8/1991,3,3,,$690000
22,Harrison Smith\SmitHa00,28,FS,16,16,214,6-2,Notre Dame,2/2/1989,5,12,Minnesota Vikings / 1st / 29th pick / 2012,$5150000
93,Shamar Stephen\StepSh00,26,dt,15,1,309,6-5,Connecticut,2/25/1991,3,2,Minnesota Vikings / 7th / 220th pick / 2014,$1797000
19,Adam Thielen\ThieAd00,27,WR,16,16,200,6-2,Minnesota St.,8/22/1990,4,13,,$2746000
11,Laquon Treadwell\TreaLa00,22,wr,16,7,215,6-2,Mississippi,6/14/1995,1,2,Minnesota Vikings / 1st / 23rd pick / 2016,$901590
26,Trae Waynes\WaynTr00,25,LCB,16,16,190,6-0,Michigan St.,7/25/1992,2,5,Minnesota Vikings / 1st / 11th pick / 2015,$1611761
91,Stephen Weatherly\WeatSt00,23,,15,0,265,6-5,Vanderbilt,3/19/1994,1,1,Minnesota Vikings / 7th / 227th pick / 2016,$540000
50,Eric Wilson\WilsEr00,23,,16,0,230,6-1,Cincinnati,9/26/1994,Rook,1,,$465000
17,Jarius Wright\WrigJa02,28,,16,0,190,5-10,Arkansas,11/25/1989,5,2,Minnesota Vikings / 4th / 118th pick / 2012,$2500000
