No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
83,Dwayne Allen\AlleDw00,27,TE,16,8,265,6-3,Clemson,2/24/1990,5,1,Indianapolis Colts / 3rd / 64th pick / 2012,$2500000
6,Ryan Allen\AlleRy01,27,P,16,0,220,6-2,Louisiana Tech,2/28/1990,4,2,,$1200000
80,Danny Amendola\AmenDa00,32,WR,15,8,190,5-11,Texas Tech,11/2/1985,8,8,,$1250000
60,David Andrews\AndrDa00,25,C,14,14,300,6-3,Georgia,7/10/1992,2,9,,$615000
29,Johnson Bademosi\BadeJo00,27,rcb,16,3,219,6-0,Stanford,7/23/1990,5,2,,$1300000
88,Martellus Bennett\BennMa00,30,,2,0,275,6-6,Texas AM,3/10/1987,9,1,Dallas Cowboys / 2nd / 61st pick / 2008,$900000
38,Brandon Bolden\BoldBr00,27,,16,0,220,5-11,Mississippi,1/26/1990,5,1,,$775000
12,Tom Brady\BradTo00,40,QB,16,16,225,6-4,Michigan,8/3/1977,17,19,New England Patriots / 6th / 199th pick / 2000,$1000000
97,Alan Branch\BranAl99,33,dt,12,6,350,6-6,Michigan,12/29/1984,10,4,Arizona Cardinals / 2nd / 33rd pick / 2007,$1750000
85,Kenny Britt\BritKe00,29,,3,0,230,6-3,Rutgers,9/19/1988,8,0,Tennessee Titans / 1st / 30th pick / 2009,$158824
90,Malcom Brown\BrowMa01,23,DT,13,12,320,6-2,Texas,2/2/1994,2,7,New England Patriots / 1st / 32nd pick / 2015,$1127112
34,Rex Burkhead\BurkRe00,27,rb,10,3,215,5-10,Nebraska,7/2/1990,4,5,Cincinnati Bengals / 6th / 190th pick / 2013,$1800000
70,Adam Butler\ButlAd00,23,de,16,6,300,6-4,Vanderbilt,4/12/1994,Rook,4,,$465000
21,Malcolm Butler\ButlMa01,27,LCB,16,15,190,5-11,West Alabama,3/2/1990,3,6,,$3910000
61,Marcus Cannon\CannMa00,29,t,7,7,335,6-6,TCU,5/6/1988,6,4,New England Patriots / 5th / 138th pick / 2011,$1350000
49,Joe Cardona\CardJo00,25,,16,0,245,6-3,Navy,4/16/1992,2,1,New England Patriots / 5th / 166th pick / 2015,$615000
23,Patrick Chung\ChunPa99,30,S,16,11,215,5-11,Oregon,8/19/1987,8,5,New England Patriots / 2nd / 34th pick / 2009,$2500000
14,Brandin Cooks\CookBr00,24,WR,16,15,183,5-10,Oregon St.,9/25/1993,3,13,New Orleans Saints / 1st / 20th pick / 2014,$781599
74,Cole Croston\CrosCo00,24,,3,0,310,6-5,Iowa,12/25/1993,Rook,0,,$465000
46,James Develin\DeveJa00,29,fb,16,7,255,6-3,Brown,7/23/1988,6,0,,$800000
13,Phillip Dorsett\DorsPh00,24,wr,15,2,192,5-10,Miami (FL),1/5/1993,2,2,Indianapolis Colts / 1st / 29th pick / 2015,$1174583
43,Nate Ebner\EbneNa00,29,,9,0,215,6-0,Ohio St.,12/14/1988,5,1,New England Patriots / 6th / 197th pick / 2012,$825000
71,Cameron Fleming\FlemCa00,25,t,12,6,320,6-6,Stanford,9/3/1992,3,4,New England Patriots / 4th / 140th pick / 2014,$1797000
59,Marquis Flowers\FlowMa00,25,lb,16,2,245,6-2,Arizona,2/16/1992,3,3,Cincinnati Bengals / 6th / 212th pick / 2014,$690000
98,Trey Flowers\FlowTr00,24,DE,14,14,265,6-2,Arkansas,8/16/1993,2,9,New England Patriots / 4th / 101st pick / 2015,$615000
44,Jonathan Freeny\FreeJo01,28,,1,0,245,6-2,Rutgers,6/15/1989,6,0,,$182353
35,Mike Gillislee\GillMi00,27,rb,9,2,210,5-11,Florida,11/1/1990,4,4,Miami Dolphins / 5th / 164th pick / 2013,$1500000
24,Stephon Gilmore\GilmSt00,27,RCB,13,13,202,6-1,South Carolina,9/19/1990,5,5,Buffalo Bills / 1st / 10th pick / 2012,$4500000
3,Stephen Gostkowski\GostSt20,33,K,16,0,215,6-1,Memphis,1/28/1984,11,5,New England Patriots / 4th / 118th pick / 2006,$2700000
50,Nicholas Grigsby\GrigNi01,25,,5,0,230,6-2,Pittsburgh,7/2/1992,1,0,,$158824
96,Geneo Grissom\GrisGe00,25,,8,0,265,6-4,Oklahoma,6/4/1992,2,1,New England Patriots / 3rd / 97th pick / 2015,$542647
87,Rob Gronkowski\GronRo00,28,TE,14,14,265,6-6,Arizona,5/14/1989,7,13,New England Patriots / 2nd / 42nd pick / 2010,$4250000
93,Lawrence Guy\GuyxLa00,27,DE,16,15,315,6-4,Arizona St.,3/17/1990,6,8,Green Bay Packers / 7th / 233rd pick / 2011,$900000
30,Duron Harmon\HarmDu00,26,db,16,3,205,6-1,Rutgers,1/24/1991,4,3,New England Patriots / 3rd / 91st pick / 2013,$1500000
45,David Harris\HarrDa99,33,lb,10,6,250,6-2,Michigan,1/21/1984,10,3,New York Jets / 2nd / 47th pick / 2007,$1000000
92,James Harrison\HarrJa23,39,,1,0,242,6-0,Kent St.,5/4/1978,15,0,,$58824
54,Donta Hightower\HighDo01,27,lb,5,5,260,6-3,Alabama,3/12/1990,5,3,New England Patriots / 1st / 25th pick / 2012,$1250000
15,Chris Hogan\HogaCh00,29,wr,9,7,210,6-1,Monmouth,10/24/1988,6,5,,$2500000
47,Jacob Hollister\HollJa03,24,te,15,1,245,6-4,Wyoming,11/18/1993,Rook,1,,$465000
2,Brian Hoyer\HoyeBr00,32,,5,0,216,6-2,Michigan St.,10/13/1985,8,0,,$476471
94,Ricky Jean-Francois\JeanRi99,31,dt,6,1,309,6-2,LSU,11/23/1986,8,1,San Francisco 49ers / 7th / 244th pick / 2009,$423529
31,Jonathan Jones\JoneJo03,24,db,16,4,190,5-10,Auburn,9/20/1993,1,3,,$540000
75,Ted Karras\KarrTe00,24,c,16,2,305,6-4,Illinois,3/15/1993,1,3,New England Patriots / 6th / 221st pick / 2016,$540000
36,Brandon King\KingBr02,24,,13,0,220,6-2,Auburn,6/8/1993,2,1,,$615000
48,Harvey Langi\LangHa00,25,,1,0,250,6-2,BYU,9/24/1992,Rook,0,,$465000
55,Eric Lee\LeexEr00,23,de,6,5,255,6-3,South Florida,8/6/1994,Rook,3,,$164118
33,Dion Lewis\LewiDi00,27,RB,16,8,195,5-8,Pittsburgh,9/27/1990,6,11,Philadelphia Eagles / 5th / 149th pick / 2011,$1200000
55,Cassius Marsh\MarsCa00,25,lb,9,1,245,6-4,UCLA,7/7/1992,3,2,Seattle Seahawks / 4th / 108th pick / 2014,$690000
69,Shaq Mason\MasoSh01,24,RG,16,16,310,6-1,Georgia Tech,8/28/1993,2,10,New England Patriots / 4th / 131st pick / 2015,$615000
32,Devin McCourty\McCoDe99,30,S,16,16,195,5-10,Rutgers,8/13/1987,7,6,New England Patriots / 1st / 27th pick / 2010,$6500000
17,Bernard Reedy\ReedBe01,26,,2,0,175,5-9,Toledo,12/31/1991,Rook,0,,$136765
51,Trevor Reilly\ReilTr00,29,lb,6,1,240,6-5,Utah,1/17/1988,3,1,New York Jets / 7th / 233rd pick / 2014,$361765
37,Jordan Richards\RichJo00,24,s,16,5,210,5-11,Stanford,1/21/1993,2,3,New England Patriots / 2nd / 64th pick / 2015,$772413
52,Elandon Roberts\RobeEl00,23,LB,15,14,238,6-0,Houston,4/22/1994,1,8,New England Patriots / 6th / 214th pick / 2016,$540000
25,Eric Rowe\RoweEr00,25,db,8,3,205,6-1,Utah,10/3/1992,2,1,Philadelphia Eagles / 2nd / 47th pick / 2015,$878623
18,Matthew Slater\SlatMa00,32,,9,0,205,6-0,UCLA,9/9/1985,9,0,New England Patriots / 5th / 153rd pick / 2008,$900000
77,Nate Solder\SoldNa00,29,T,16,16,325,6-8,Colorado,4/12/1988,6,10,New England Patriots / 1st / 17th pick / 2011,$6500000
62,Joe Thuney\ThunJo00,25,LG,16,16,308,6-5,North Carolina St.,11/19/1992,1,10,New England Patriots / 3rd / 78th pick / 2016,$540000
53,Kyle Van Noy\VanNKy00,26,LB,13,12,250,6-3,BYU,3/26/1991,3,7,Detroit Lions / 2nd / 40th pick / 2014,$990741
68,LaAdrian Waddle\WaddLa01,26,t,12,4,315,6-6,Texas Tech,7/21/1991,4,3,,$800000
28,James White\WhitJa02,25,rb,14,4,205,5-10,Wisconsin,2/3/1992,3,6,New England Patriots / 4th / 130th pick / 2014,$690000
91,Deatrich Wise\WiseDe00,23,dt,16,3,275,6-5,Arkansas,7/26/1994,Rook,3,New England Patriots / 4th / 131st pick / 2017,$465000
