No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
33,Andrew Adams\AdamAn00,25,db,16,4,198,6-0,Connecticut,10/28/1992,1,2,,$540000
89,Jerell Adams\AdamJe01,25,wr,16,1,254,6-5,South Carolina,12/31/1992,1,1,New York Giants / 6th / 184th pick / 2016,$540000
24,Eli Apple\ApplEl00,22,cb,11,7,203,6-1,Ohio St.,8/9/1995,1,3,New York Giants / 1st / 10th pick / 2016,$1138742
55,Ray-Ray Armstrong\ArmsRa01,26,lb,5,1,220,6-3,Miami (FL),3/5/1991,4,1,,$294118
48,Akeem Ayers\AyerAk00,28,,6,0,255,6-3,UCLA,7/10/1989,6,0,Tennessee Titans / 2nd / 39th pick / 2011,$319118
13,Odell Beckham\BeckOd00,25,wr,4,2,198,5-11,LSU,11/5/1992,3,2,New York Giants / 1st / 12th pick / 2014,$1839027
29,Nat Berhe\BerhNa00,26,,15,0,195,5-11,San Diego St.,7/6/1991,3,1,New York Giants / 5th / 152nd pick / 2014,$690000
66,Adam Bisnowaty\BisnAd00,24,t,1,1,305,6-6,Pittsburgh,12/14/1993,Rook,0,New York Giants / 6th / 200th pick / 2017,
96,Jay Bromley\BromJa00,25,,16,0,314,6-3,Syracuse,5/28/1992,3,2,New York Giants / 3rd / 74th pick / 2014,$725000
86,Marquis Bundy\BundMa00,23,wr,1,1,215,6-4,,8/5/1994,Rook,0,,$31765
95,Nordly Capi\CapiNo00,25,,4,0,249,6-3,,7/11/1992,Rook,0,,$382942
52,Jonathan Casillas\CasiJo99,30,LB,8,8,225,6-0,Wisconsin,6/3/1987,8,3,,$2750000
37,Ross Cockrell\CockRo00,26,cb,16,9,190,6-0,Duke,8/6/1991,3,4,Buffalo Bills / 4th / 109th pick / 2014,$1000000
21,Landon Collins\CollLa00,23,SS,15,15,218,6-0,Alabama,1/10/1994,2,8,New York Giants / 2nd / 33rd pick / 2015,$991415
26,Orleans Darkwa\DarkOr00,25,RB,15,11,210,6-0,Tulane,2/28/1992,3,4,,$690000
38,Donte Deayon\DeayDo01,23,,4,0,159,5-9,Boise St.,1/28/1994,Rook,0,,$328236
51,Zak DeOssie\DeOsZa99,33,,16,0,250,6-5,Brown,5/24/1984,10,1,New York Giants / 4th / 116th pick / 2007,$1000000
25,Brandon Dixon\DixoBr00,27,rcb,5,5,203,5-11,NW Missouri St.,4/26/1990,3,2,New York Jets / 6th / 195th pick / 2014,$158825
84,Ed Eagan\EagaEd00,24,,4,0,192,5-10,,6/19/1993,Rook,0,,$328235
