No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
33,Jamal Adams\AdamJa00,22,SS,16,16,213,6-1,LSU,10/17/1995,Rook,7,New York Jets / 1st / 6th pick / 2017,$465000
11,Robby Anderson\AndeRo04,24,WR,16,15,190,6-3,Temple,5/9/1993,1,7,,$540000
47,David Bass\BassDa00,27,lb,13,2,267,6-4,Missouri Western St.,9/11/1990,4,2,Oakland Raiders / 7th / 233rd pick / 2013,$683824
68,Kelvin Beachum\BeacKe00,28,T,16,16,308,6-3,SMU,6/8/1989,5,7,Pittsburgh Steelers / 7th / 248th pick / 2012,$1500000
50,Freddie Bishop\BishFr00,27,,5,0,259,6-2,West. Michigan,2/25/1990,1,1,,$508240
23,Terrence Brooks\BrooTe00,25,db,15,1,200,5-11,Florida St.,3/2/1992,3,2,Baltimore Ravens / 3rd / 79th pick / 2014,$705000
32,Juston Burris\BurrJu00,24,dl,14,1,212,6-0,North Carolina St.,8/4/1993,1,2,New York Jets / 4th / 118th pick / 2016,$540000
39,Travaris Cadet\CadeTr00,28,,3,0,210,6-1,Appalachian St.,2/1/1989,5,0,,$638235
77,James Carpenter\CarpJa00,28,LG,16,16,321,6-5,Alabama,3/22/1989,6,7,Seattle Seahawks / 1st / 25th pick / 2011,$4450000
54,Bruce Carter\CartBr00,29,,14,0,240,6-2,North Carolina,2/19/1988,6,1,Dallas Cowboys / 2nd / 40th pick / 2011,$775000
7,Chandler Catanzaro\CataCh00,26,K,16,0,200,6-3,Clemson,2/26/1991,3,3,,$900000
21,Morris Claiborne\ClaiMo00,27,CB,15,15,192,5-11,LSU,2/7/1990,5,6,Dallas Cowboys / 1st / 6th pick / 2012,$2500000
34,Jeremy Clark\ClarJe04,23,,1,0,220,6-3,Michigan,6/29/1994,Rook,0,New York Jets / 6th / 197th pick / 2017,$348000
38,Xavier Coleman\ColeXa00,22,,2,0,190,5-11,Portland St.,1/13/1995,Rook,0,,$328235
75,Xavier Cooper\CoopXa00,26,,8,0,300,6-4,Washington St.,11/30/1991,2,1,Cleveland Browns / 3rd / 96th pick / 2015,$325588
56,Demario Davis\DaviDe00,28,LB,16,16,248,6-2,Arkansas St.,1/11/1989,5,9,New York Jets / 3rd / 77th pick / 2012,$900000
49,Dylan Donahue\DonaDy00,25,,4,0,248,6-2,West Georgia,8/20/1992,Rook,0,New York Jets / 5th / 181st pick / 2017,$465000
