No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
58,Tyrell Adams\AdamTy00,25,,6,0,230,6-2,West Georgia,4/11/1992,1,0,,$540000
74,Vadal Alexander\AlexVa00,23,t,15,4,325,6-5,LSU,3/23/1994,1,3,Oakland Raiders / 7th / 234th pick / 2016,$540000
29,David Amerson\AmerDa00,26,lcb,6,6,205,6-1,North Carolina St.,12/8/1991,4,2,Washington Redskins / 2nd / 51st pick / 2013,$650000
96,Denico Autry\AutrDe00,27,dt,16,3,270,6-5,Mississippi St.,7/15/1990,3,3,,$1797000
53,NaVorro Bowman\BowmNa99,29,MLB,10,10,230,6-1,Penn St.,3/28/1988,7,5,San Francisco 49ers / 3rd / 91st pick / 2010,$3000000
81,Pharaoh Brown\BrowPh01,23,te,2,1,258,6-6,Oregon,5/4/1994,Rook,0,,$54706
91,Shilique Calhoun\CalhSh00,25,,9,0,250,6-4,Michigan St.,3/20/1992,1,1,Oakland Raiders / 3rd / 75th pick / 2016,$381176
4,Derek Carr\CarrDe02,26,QB,15,15,215,6-3,Fresno St.,3/28/1991,3,10,Oakland Raiders / 2nd / 36th pick / 2014,$5000000
38,T.J. Carrie\CarrTr00,27,RCB,16,15,204,6-0,Ohio,7/28/1990,3,5,Oakland Raiders / 7th / 219th pick / 2014,$1797000
59,Jon Condo\CondJo20,36,,16,0,240,6-3,Maryland,8/26/1981,12,1,,$1000000
22,Gareon Conley\ConlGa00,22,,2,0,195,6-0,Ohio St.,6/29/1995,Rook,0,Oakland Raiders / 1st / 24th pick / 2017,$465000
87,Jared Cook\CookJa02,30,TE,16,16,254,6-5,South Carolina,4/7/1987,8,6,Tennessee Titans / 3rd / 89th pick / 2009,$2500000
89,Amari Cooper\CoopAm00,23,WR,14,12,210,6-1,Alabama,6/18/1994,2,6,Oakland Raiders / 1st / 4th pick / 2015,$615000
47,James Cowser\CowsJa00,27,,16,0,245,6-3,Southern Utah,9/13/1990,1,2,,$540000
15,Michael Crabtree\CrabMi00,30,WR,14,14,215,6-1,Texas Tech,9/14/1987,8,5,San Francisco 49ers / 1st / 10th pick / 2009,$6250000
97,Mario Edwards\EdwaMa01,23,DE,14,14,280,6-3,Florida St.,4/19/1994,2,6,Oakland Raiders / 2nd / 35th pick / 2015,$982015
78,Justin Ellis\ElliJu01,27,NT,16,14,334,6-2,Louisiana Tech,12/27/1990,3,6,Oakland Raiders / 4th / 107th pick / 2014,$1797000
