No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
13,Nelson Agholor\AghoNe00,24,WR,16,10,198,6-0,USC,5/24/1993,2,8,Philadelphia Eagles / 1st / 20th pick / 2015,$1287489
36,Jay Ajayi\AjayJa00,24,rb,7,1,223,6-0,Boise St.,6/15/1993,2,4,Miami Dolphins / 5th / 149th pick / 2015,$615000
94,Beau Allen\AlleBe00,26,dt,15,3,327,6-3,Wisconsin,11/14/1991,3,3,Philadelphia Eagles / 7th / 224th pick / 2014,$690000
38,Kenjon Barner\BarnKe00,27,rb,13,1,195,5-9,Oregon,4/28/1990,4,1,Carolina Panthers / 6th / 182nd pick / 2013,$568235
96,Derek Barnett\BarnDe01,21,,15,0,259,6-3,Tennessee,6/25/1996,Rook,3,Philadelphia Eagles / 1st / 14th pick / 2017,$465000
66,Will Beatty\BeatWi20,32,,1,0,291,6-6,Connecticut,3/2/1985,8,0,New York Giants / 2nd / 60th pick / 2009,$370588
29,LeGarrette Blount\BlouLe00,31,RB,16,11,247,6-0,East Mississippi CCOregon,12/5/1986,7,6,,$900000
53,Nigel Bradham\BradNi00,28,LB,15,15,241,6-2,Florida St.,9/4/1989,5,9,Buffalo Bills / 4th / 105th pick / 2012,$4000000
50,Bryan Braman\BramBr00,30,,3,0,230,6-5,West Texas AM,5/4/1987,6,0,,$158824
79,Brandon Brooks\BrooBr00,28,RG,16,16,335,6-5,Miami (OH),8/19/1989,5,10,Houston Texans / 3rd / 76th pick / 2012,$5000000
88,Trey Burton\BurtTr01,26,te,15,1,235,6-3,Florida,10/29/1991,3,2,,$2746000
87,Brent Celek\CeleBr00,32,TE,16,10,261,6-4,Cincinnati,1/25/1985,10,1,Philadelphia Eagles / 5th / 162nd pick / 2007,$3000000
30,Corey Clement\ClemCo00,23,,16,0,220,5-10,Wisconsin,11/2/1994,Rook,3,,$465000
91,Fletcher Cox\CoxxFl00,27,DT,14,14,310,6-4,Mississippi St.,12/13/1990,5,14,Philadelphia Eagles / 1st / 12th pick / 2012,$3000000
75,Vinny Curry\CurrVi00,29,DE,16,16,279,6-3,Marshall,6/30/1988,5,8,Philadelphia Eagles / 2nd / 59th pick / 2012,$7000000
41,Ronald Darby\DarbRo00,23,cb,8,7,193,5-11,Florida St.,1/2/1994,2,4,Buffalo Bills / 2nd / 50th pick / 2015,$800426
32,Rasul Douglas\DougRa00,22,cb,14,5,209,6-2,West Virginia,8/29/1995,Rook,3,Philadelphia Eagles / 3rd / 99th pick / 2017,$465000
57,Dannell Ellerbe\ElleDa99,32,mlb,3,2,236,6-1,Georgia,11/29/1985,8,1,,$370588
4,Jake Elliott\ElliJa03,22,K,15,0,167,5-9,Memphis,1/21/1995,Rook,3,Cincinnati Bengals / 5th / 153rd pick / 2017,$465000
35,Trae Elston\ElstTr01,23,,1,0,203,6-0,Mississippi,2/16/1994,Rook,0,,$410295
86,Zach Ertz\ErtzZa00,27,TE,14,13,250,6-5,Stanford,11/10/1990,4,8,Philadelphia Eagles / 2nd / 35th pick / 2013,$775000
9,Nick Foles\FoleNi00,28,qb,7,3,243,6-6,Arizona,1/20/1989,5,2,Philadelphia Eagles / 3rd / 88th pick / 2012,$1000000
47,Nathan Gerry\GerrNa00,22,lb,10,1,230,6-2,Nebraska,2/23/1995,Rook,2,Philadelphia Eagles / 5th / 184th pick / 2017,$300883
18,Shelton Gibson\GibsSh00,22,,5,0,191,5-11,West Virginia,3/20/1995,Rook,0,Philadelphia Eagles / 5th / 166th pick / 2017,$465000
52,Najee Goode\GoodNa00,28,lb,16,3,244,6-0,West Virginia,6/4/1989,5,3,Tampa Bay Buccaneers / 5th / 140th pick / 2012,$775000
55,Brandon Graham\GrahBr99,29,DE,15,15,265,6-2,Michigan,4/3/1988,7,9,Philadelphia Eagles / 1st / 13th pick / 2010,$6500000
24,Corey Graham\GrahCo99,32,s,14,1,196,6-0,New Hampshire,7/25/1985,10,2,Chicago Bears / 5th / 168th pick / 2007,$1000000
54,Kamu Grugier-Hill\GrugKa00,23,,16,0,230,6-2,East. Illinois,5/16/1994,1,1,New England Patriots / 6th / 208th pick / 2016,$540000
90,Justin Hamilton\HamiJu00,24,,3,0,315,6-2,,7/27/1993,Rook,0,,$382941
58,Jordan Hicks\HickJo00,25,mlb,7,7,236,6-1,Texas,6/27/1992,2,4,Philadelphia Eagles / 3rd / 84th pick / 2015,$633000
10,Mack Hollins\HollMa00,24,,16,0,221,6-4,North Carolina,9/16/1993,Rook,2,Philadelphia Eagles / 4th / 118th pick / 2017,$465000
17,Alshon Jeffery\JeffAl00,27,WR,16,16,218,6-3,South Carolina,2/14/1990,5,8,Chicago Bears / 2nd / 45th pick / 2012,$1000000
27,Malcolm Jenkins\JenkMa99,30,S,16,16,204,6-0,Ohio St.,12/20/1987,8,10,New Orleans Saints / 1st / 14th pick / 2009,$6000000
93,Timmy Jernigan\JernTi00,25,DT,15,15,295,6-2,Florida St.,9/24/1992,3,7,Baltimore Ravens / 2nd / 48th pick / 2014,$1017284
65,Lane Johnson\JohnLa01,27,T,15,15,317,6-6,Oklahoma,5/8/1990,4,14,Philadelphia Eagles / 1st / 4th pick / 2013,$7750000
14,Marcus Johnson\JohnMa07,23,,10,0,204,6-1,Texas,8/5/1994,Rook,0,,$465000
8,Donnie Jones\JoneDo21,37,P,16,0,221,6-2,LSU,7/5/1980,13,2,Seattle Seahawks / 7th / 224th pick / 2004,$1250000
22,Sidney Jones\JoneSi00,21,,1,0,181,6-0,Washington,5/21/1996,Rook,0,Philadelphia Eagles / 2nd / 43rd pick / 2017,$465000
62,Jason Kelce\KelcJa00,30,C,16,16,295,6-3,Cincinnati,11/5/1987,6,15,Philadelphia Eagles / 6th / 191st pick / 2011,$5000000
95,Mychal Kendricks\KendMy00,27,LB,15,13,240,5-11,California,9/28/1990,5,7,Philadelphia Eagles / 2nd / 46th pick / 2012,$4850000
56,Chris Long\LongCh99,32,de,16,1,270,6-3,Virginia,3/28/1985,9,3,St. Louis Rams / 1st / 2nd pick / 2008,$1000000
45,Rick Lovato\LovaRi00,25,,16,0,249,6-2,Old Dominion,9/9/1992,2,1,,$540000
42,Chris Maragos\MaraCh99,30,s,6,1,200,5-10,Wisconsin,1/6/1987,7,1,,$1250000
33,Dexter McDougle\McDoDe00,26,,8,0,190,5-10,Maryland,4/8/1991,3,1,New York Jets / 3rd / 80th pick / 2014,$615000
23,Rodney McLeod\McLeRo00,27,S,14,14,195,5-10,Virginia,6/23/1990,5,7,,$775000
51,Steven Means\MeanSt00,27,,6,0,263,6-3,Buffalo,9/16/1990,4,1,Tampa Bay Buccaneers / 5th / 147th pick / 2013,$690000
31,Jalen Mills\MillJa02,23,CB,15,15,191,6-0,LSU,4/6/1994,1,7,Philadelphia Eagles / 7th / 233rd pick / 2016,$540000
71,Jason Peters\PeteJa21,35,t,7,7,328,6-4,Arkansas,1/22/1982,13,3,,$3000000
98,Elijah Qualls\QualEl00,22,,6,0,320,6-1,Washington,2/11/1995,Rook,1,Philadelphia Eagles / 6th / 214th pick / 2017,$465000
21,Patrick Robinson\RobiPa99,30,CB,16,8,191,5-11,Florida St.,9/7/1987,7,5,New Orleans Saints / 1st / 32nd pick / 2010,$775000
73,Isaac Seumalo\SeumIs00,24,lg,14,2,303,6-4,Oregon St.,10/29/1993,1,2,Philadelphia Eagles / 3rd / 79th pick / 2016,$574000
28,Wendell Smallwood\SmalWe00,23,rb,8,3,208,5-10,West Virginia,1/29/1994,1,2,Philadelphia Eagles / 5th / 153rd pick / 2016,$540000
82,Torrey Smith\SmitTo02,28,WR,16,14,205,6-0,Maryland,1/26/1989,6,4,Baltimore Ravens / 2nd / 58th pick / 2011,$4000000
43,Darren Sproles\SproDa00,34,,3,0,190,5-6,Kansas St.,6/20/1983,12,1,San Diego Chargers / 4th / 130th pick / 2005,$4000000
6,Caleb Sturgis\SturCa00,28,,1,0,192,5-9,Florida,8/9/1989,4,0,Miami Dolphins / 5th / 166th pick / 2013,$900000
7,Nate Sudfeld\SudfNa00,24,,1,0,227,6-6,Indiana,10/7/1993,Rook,1,Washington Redskins / 6th / 187th pick / 2016,$285882
97,Destiny Vaeao\VaeaDe01,23,,11,0,299,6-4,Washington St.,1/15/1994,1,1,,$540000
72,Halapoulivaati Vaitai\VaitHa00,24,T,16,10,320,6-6,TCU,6/16/1993,1,5,Philadelphia Eagles / 5th / 164th pick / 2016,$540000
59,Joe Walker\WalkJo01,25,mlb,12,3,236,6-2,Oregon,12/11/1992,Rook,2,Philadelphia Eagles / 7th / 251st pick / 2016,$465000
67,Chance Warmack\WarmCh00,26,lg,11,3,323,6-2,Alabama,9/14/1991,4,2,Tennessee Titans / 1st / 10th pick / 2013,$760000
26,Jaylen Watkins\WatkJa01,26,cb,12,1,194,5-11,Florida,11/27/1991,3,1,Philadelphia Eagles / 4th / 101st pick / 2014,$690000
11,Carson Wentz\WentCa00,25,QB,13,13,237,6-5,North Dakota St.,12/30/1992,1,14,Philadelphia Eagles / 1st / 2nd pick / 2016,$1662561
61,Stefen Wisniewski\WisnSt01,28,LG,14,11,305,6-3,Penn St.,3/22/1989,6,6,Oakland Raiders / 2nd / 48th pick / 2011,$775000
