No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
29,Brian Allen\AlleBr01,24,,10,0,215,6-3,Utah,10/21/1993,Rook,1,Pittsburgh Steelers / 5th / 173rd pick / 2017,$465000
94,Tyson Alualu\AluaTy99,30,de,16,5,304,6-3,California,5/12/1987,7,6,Jacksonville Jaguars / 1st / 10th pick / 2010,$1250000
26,LeVeon Bell\BellLe00,25,RB,15,15,225,6-1,Michigan St.,2/18/1992,4,15,Pittsburgh Steelers / 2nd / 48th pick / 2013,$12120000
4,Jordan Berry\BerrJo00,26,P,16,0,195,6-5,East. Kentucky,3/18/1991,2,2,,$615000
9,Chris Boswell\BoswCh00,26,K,16,0,185,6-2,Rice,3/16/1991,2,5,,$615000
84,Antonio Brown\BrowAn04,29,WR,14,14,181,5-10,Central Michigan,7/10/1988,7,15,Pittsburgh Steelers / 6th / 195th pick / 2010,$910000
10,Martavis Bryant\BryaMa00,26,WR,15,8,210,6-4,Clemson,12/20/1991,3,6,Pittsburgh Steelers / 4th / 118th pick / 2014,$615000
25,Artie Burns\BurnAr00,22,RCB,16,16,197,6-0,Miami (FL),5/1/1995,1,6,Pittsburgh Steelers / 1st / 25th pick / 2016,$885954
57,Kameron Canaday\CanaKa00,25,,16,0,245,6-4,Portland St.,8/20/1992,1,1,,$540000
56,Anthony Chickillo\ChicAn00,25,rolb,16,2,255,6-3,Miami (FL),12/10/1992,2,2,Pittsburgh Steelers / 6th / 212th pick / 2015,$615000
30,James Conner\ConnJa00,22,,14,0,233,6-1,Pittsburgh,5/5/1995,Rook,1,Pittsburgh Steelers / 3rd / 105th pick / 2017,$465000
28,Sean Davis\DaviSe00,24,SS,16,16,202,6-1,Maryland,10/23/1993,1,6,Pittsburgh Steelers / 2nd / 58th pick / 2016,$635771
66,David DeCastro\DeCaDa00,27,RG,15,15,316,6-5,Stanford,1/11/1990,5,13,Pittsburgh Steelers / 1st / 24th pick / 2012,$1100000
48,Bud Dupree\DuprAl00,24,LOLB,15,15,269,6-4,Kentucky,2/12/1993,2,7,Pittsburgh Steelers / 1st / 22nd pick / 2015,$1273390
71,Matt Feiler\FeilMa00,25,rg,5,1,330,6-6,Bloomsburg,7/7/1992,3,1,,$465000
67,B.J. Finney\FinnB.01,26,lg,14,4,318,6-4,Kansas St.,10/26/1991,1,3,,$540000
54,L.J. Fort\FortL.00,27,,15,0,232,6-0,Northern Iowa,1/3/1990,5,1,,$542647
73,Ramon Foster\FostRa21,31,LG,14,14,328,6-5,Tennessee,1/7/1986,8,7,,$2675000
