No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
75,Oday Aboushi\AbouOd00,26,RG,8,8,315,6-5,Virginia,6/5/1991,4,4,New York Jets / 5th / 141st pick / 2013,$775000
58,D.J. Alexander\AlexD.00,26,,12,0,233,6-2,Oregon St.,9/30/1991,2,1,Kansas City Chiefs / 5th / 172nd pick / 2015,$615000
56,Cliff Avril\AvriCl99,31,de,4,4,260,6-3,Purdue,4/8/1986,9,2,Detroit Lions / 3rd / 92nd pick / 2008,$4500000
89,Doug Baldwin\BaldDo00,29,WR,16,16,192,5-10,Stanford,9/21/1988,6,8,,$775000
47,David Bass\BassDa00,27,,2,0,267,6-4,Missouri Western St.,9/11/1990,4,0,Oakland Raiders / 7th / 233rd pick / 2013,
72,Michael Bennett\BennMi99,32,DE,16,16,274,6-4,Texas AM,11/13/1985,8,10,,$6500000
68,Justin Britt\BritJu00,26,C,16,16,315,6-6,Missouri,5/29/1991,3,7,Seattle Seahawks / 2nd / 64th pick / 2014,$891400
76,Duane Brown\BrowDu20,32,T,9,9,315,6-4,Virginia Tech,8/30/1985,9,5,Houston Texans / 1st / 26th pick / 2008,$9400000
32,Chris Carson\CarsCh00,23,rb,4,3,222,5-11,Oklahoma St.,9/16/1994,Rook,2,Seattle Seahawks / 7th / 249th pick / 2017,$465000
31,Kam Chancellor\ChanKa99,29,SS,9,9,225,6-3,Virginia Tech,4/3/1988,7,3,Seattle Seahawks / 5th / 133rd pick / 2010,$3000000
55,Frank Clark\ClarFr01,24,DE,16,12,265,6-3,Michigan,6/14/1993,2,6,Seattle Seahawks / 2nd / 63rd pick / 2015,$774294
61,Rodney Coe\CoexRo00,24,,1,0,305,6-3,Iowa St.Akron,5/18/1993,Rook,0,,$136765
28,Justin Coleman\ColeJu01,24,cb,16,5,190,5-11,Tennessee,3/27/1993,2,3,,$615000
84,Amara Darboh\DarbAm00,23,,16,0,215,6-2,Michigan,2/1/1994,Rook,1,Seattle Seahawks / 3rd / 106th pick / 2017,$465000
6,Austin Davis\DaviAu00,28,,3,0,221,6-2,Southern Miss,6/2/1989,5,0,,$775000
39,Mike Davis\DaviMi01,24,rb,6,6,217,5-9,South Carolina,2/19/1993,2,3,San Francisco 49ers / 4th / 126th pick / 2015,$253235
47,Paul Dawson\DawsPa00,24,,3,0,240,6-0,TCU,1/13/1993,2,0,Cincinnati Bengals / 3rd / 99th pick / 2015,$95294
59,Josh Forrest\ForrJo00,25,,2,0,249,6-3,Kentucky,2/24/1992,1,0,Los Angeles Rams / 6th / 190th pick / 2016,$218824
93,Dwight Freeney\FreeDw00,37,,4,0,268,6-1,Syracuse,2/19/1980,15,1,Indianapolis Colts / 1st / 11th pick / 2002,$588235
52,Terence Garvin\GarvTe00,26,lb,15,3,242,6-3,West Virginia,1/1/1991,4,2,,$775000
63,Mark Glowinski\GlowMa00,25,rg,10,2,310,6-4,West Virginia,5/3/1992,2,1,Seattle Seahawks / 4th / 134th pick / 2015,$615000
88,Jimmy Graham\GrahJi00,31,TE,16,13,265,6-7,Miami (FL),11/24/1986,7,4,New Orleans Saints / 3rd / 95th pick / 2010,$7900000
26,Shaquill Griffin\GrifSh00,22,RCB,15,11,198,6-0,Central Florida,7/20/1995,Rook,4,Seattle Seahawks / 3rd / 90th pick / 2017,$465000
42,Delano Hill\HillDe02,22,,15,0,216,6-1,Michigan,11/26/1995,Rook,1,Seattle Seahawks / 3rd / 95th pick / 2017,$465000
65,Germain Ifedi\IfedGe00,23,T,16,16,325,6-5,Texas AM,6/2/1994,1,7,Seattle Seahawks / 1st / 31st pick / 2016,$825687
93,Branden Jackson\JackBr04,25,,12,0,295,6-4,Texas Tech,11/11/1992,1,1,,$412941
99,Quinton Jefferson\JeffQu00,24,,6,0,291,6-4,Maryland,3/31/1993,1,1,Seattle Seahawks / 5th / 147th pick / 2016,$412941
78,Luke Joeckel\JoecLu00,26,LG,11,11,306,6-6,Texas AM,11/6/1991,4,5,Jacksonville Jaguars / 1st / 2nd pick / 2013,$2750000
92,Nazair Jones\JoneNa00,23,rdt,11,2,292,6-5,North Carolina,12/13/1994,Rook,2,Seattle Seahawks / 3rd / 102nd pick / 2017,$465000
95,Dion Jordan\JordDi00,27,,5,0,284,6-6,Oregon,3/5/1990,4,1,Miami Dolphins / 1st / 3rd pick / 2013,$615000
27,Eddie Lacy\LacyEd00,27,rb,9,3,250,5-11,Alabama,6/2/1990,4,2,Green Bay Packers / 2nd / 61st pick / 2013,$1365000
20,Jeremy Lane\LaneJe00,27,rcb,13,6,184,6-0,NW State (LA),7/14/1990,5,2,Seattle Seahawks / 6th / 172nd pick / 2012,$4000000
16,Tyler Lockett\LockTy00,25,WR,16,8,182,5-10,Kansas St.,9/28/1992,2,6,Seattle Seahawks / 3rd / 69th pick / 2015,$695000
38,Tre Madden\MaddTr01,24,fb,8,3,235,6-0,USC,8/16/1993,Rook,1,,$465000
51,Justin March-Lillard\MarcJu00,24,,1,0,222,6-0,Akron,7/5/1993,1,0,,$444710
41,Byron Maxwell\MaxwBy00,29,lcb,7,6,207,6-1,Clemson,2/23/1988,6,2,Seattle Seahawks / 6th / 173rd pick / 2011,$370588
