No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
58,Kwon Alexander\AlexKw00,23,MLB,12,12,227,6-1,LSU,8/3/1994,2,8,Tampa Bay Buccaneers / 4th / 124th pick / 2015,$615000
9,Bryan Anger\AngeBr00,29,P,16,0,205,6-3,California,10/6/1988,5,1,Jacksonville Jaguars / 3rd / 70th pick / 2012,$1500000
82,Antony Auclair\AuclAn00,24,te,8,3,256,6-6,,5/28/1993,Rook,0,,$465000
91,Robert Ayers\AyerRo99,32,DE,12,10,275,6-3,Tennessee,9/6/1985,8,4,Denver Broncos / 1st / 18th pick / 2009,$4000000
90,Chris Baker\BakeCh99,30,DT,15,14,306,6-2,Hampton,10/8/1987,8,6,,$3000000
25,Peyton Barber\BarbPe01,23,rb,16,4,225,5-11,Auburn,2/27/1994,1,3,,$540000
51,Kendell Beckwith\BeckKe00,23,lb,16,11,243,6-2,LSU,12/2/1994,Rook,5,Tampa Bay Buccaneers / 3rd / 107th pick / 2017,$465000
77,Caleb Benenoch\BeneCa00,23,t,13,5,305,6-5,UCLA,8/8/1994,1,3,Tampa Bay Buccaneers / 5th / 148th pick / 2016,$540000
59,Devante Bond\BondDe00,24,lb,14,2,236,6-1,Oklahoma,7/3/1993,Rook,1,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,$465000
84,Cameron Brate\BratCa00,26,te,16,6,245,6-5,Harvard,7/3/1991,3,4,,$690000
49,Riley Bullough\BullRi00,24,,3,0,228,6-2,Michigan St.,11/23/1993,Rook,0,,$82059
94,Will Clarke\ClarWi00,26,de,15,1,275,6-6,West Virginia,5/4/1991,3,2,Cincinnati Bengals / 3rd / 88th pick / 2014,$690000
23,Chris Conte\ContCh00,28,S,16,14,203,6-2,California,2/23/1989,6,4,Chicago Bears / 3rd / 93rd pick / 2011,$1500000
45,Alan Cross\CrosAl00,24,te,8,4,235,6-1,Memphis,5/2/1993,1,0,,$540000
54,Lavonte David\DaviLa00,27,LB,13,13,233,6-1,Fort Scott (KS)Nebraska,1/23/1990,5,7,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,$6000000
62,Evan Dietrich-Smith\DietEv00,31,c,15,6,308,6-2,Idaho St.,7/19/1986,8,4,,$3500000
69,Demar Dotson\DotsDe00,32,T,11,11,315,6-9,Southern Miss,10/11/1985,8,6,,$4250000
35,Javien Elliott\ElliJa01,24,cb,15,1,176,5-11,Florida St.,7/18/1993,1,1,,$540000
21,Justin Evans\EvanJu00,22,S,14,9,199,6-0,Texas AM,8/26/1995,Rook,3,Tampa Bay Buccaneers / 2nd / 50th pick / 2017,$465000
13,Mike Evans\EvanMi00,24,WR,15,15,231,6-5,Texas AM,8/21/1993,3,8,Tampa Bay Buccaneers / 1st / 7th pick / 2014,$690000
14,Ryan Fitzpatrick\FitzRy00,35,qb,6,3,223,6-2,Harvard,11/24/1982,12,3,St. Louis Rams / 7th / 250th pick / 2005,$1750000
2,Nick Folk\FolkNi20,33,,4,0,211,6-2,Arizona,11/5/1984,10,-1,Dallas Cowboys / 6th / 178th pick / 2007,$1000000
92,William Gholston\GholWi00,26,DE,14,10,281,6-6,Michigan St.,7/31/1991,4,4,Tampa Bay Buccaneers / 4th / 126th pick / 2013,$3000000
12,Chris Godwin\GodwCh00,21,wr,16,2,209,6-1,Penn St.,2/27/1996,Rook,4,Tampa Bay Buccaneers / 3rd / 84th pick / 2017,$465000
24,Brent Grimes\GrimBr20,34,CB,13,13,185,5-10,Shippensburg,7/19/1983,10,5,,$6000000
