No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
53,Daren Bates\BateDa00,27,,16,0,225,5-11,Auburn,11/27/1990,4,1,,$1250000
48,Beau Brinkley\BrinBe00,27,,16,0,260,6-4,Missouri,1/25/1990,5,1,,$1000000
55,Jayon Brown\BrowJa06,22,,16,0,226,6-0,UCLA,2/26/1995,Rook,2,Tennessee Titans / 5th / 155th pick / 2017,$465000
31,Kevin Byard\ByarKe01,24,FS,16,16,212,5-11,Middle Tenn. St.,8/17/1993,1,13,Tennessee Titans / 3rd / 64th pick / 2016,$618566
44,Josh Carraway\CarrJo00,23,,1,0,242,6-3,TCU,4/13/1994,Rook,0,Tennessee Titans / 7th / 227th pick / 2017,$465000
99,Jurrell Casey\CaseJu00,28,DT,16,16,305,6-1,USC,12/5/1989,6,10,Tennessee Titans / 3rd / 77th pick / 2011,$1400000
16,Matt Cassel\CassMa00,35,qb,2,1,225,6-4,USC,5/17/1982,12,0,New England Patriots / 7th / 230th pick / 2005,$1750000
78,Jack Conklin\ConkJa00,23,T,16,16,308,6-6,Michigan St.,8/17/1994,1,7,Tennessee Titans / 1st / 8th pick / 2016,$1172621
37,Johnathan Cyprien\CyprJo00,27,SS,10,10,211,6-1,Florida International,7/29/1990,4,3,Jacksonville Jaguars / 2nd / 33rd pick / 2013,$2000000
84,Corey Davis\DaviCo03,22,WR,11,9,209,6-3,West. Michigan,1/11/1995,Rook,3,Tennessee Titans / 1st / 5th pick / 2017,$465000
87,Eric Decker\DeckEr00,30,WR,16,8,214,6-3,Minnesota,3/15/1987,7,5,Denver Broncos / 3rd / 87th pick / 2010,$1350000
92,Kevin Dodd\DoddKe00,25,,9,0,277,6-5,Clemson,7/14/1992,1,1,Tennessee Titans / 2nd / 33rd pick / 2016,$747832
83,Harry Douglas\DougHa00,33,,2,0,183,6-0,Louisville,9/16/1984,9,0,Atlanta Falcons / 3rd / 84th pick / 2008,$1200000
32,David Fluellen\FlueDa00,25,,16,0,224,5-11,Toledo,1/29/1992,Rook,0,,$540000
45,Jalston Fowler\FowlJa00,27,fb,10,1,261,5-11,Alabama,7/26/1990,2,0,Tennessee Titans / 4th / 108th pick / 2015,$615000
22,Derrick Henry\HenrDe00,23,rb,16,2,247,6-3,Alabama,1/4/1994,1,6,Tennessee Titans / 2nd / 45th pick / 2016,$695815
25,Adoree Jackson\JackAd00,22,CB,16,16,185,5-11,USC,9/18/1995,Rook,6,Tennessee Titans / 1st / 18th pick / 2017,$465000
94,Austin Johnson\JohnAu01,23,de,16,3,314,6-4,Penn St.,5/8/1994,1,3,Tennessee Titans / 2nd / 43rd pick / 2016,$707374
60,Ben Jones\JoneBe01,28,C,16,16,308,6-3,Georgia,7/2/1989,5,7,Houston Texans / 4th / 99th pick / 2012,$3500000
90,DaQuan Jones\JoneDa04,26,DE,12,12,322,6-4,Penn St.,12/17/1991,3,5,Tennessee Titans / 4th / 112th pick / 2014,$1797000
71,Dennis Kelly\KellDe00,27,,16,1,321,6-8,Purdue,1/16/1990,5,2,Philadelphia Eagles / 5th / 153rd pick / 2012,$775000
6,Brett Kern\KernBr20,31,P,16,0,214,6-2,Toledo,2/17/1986,9,4,,$2800000
95,David King\KingDa00,28,,7,0,281,6-4,Oklahoma,12/27/1989,4,1,Philadelphia Eagles / 7th / 239th pick / 2013,$690000
64,Josh Kline\KlinJo01,28,RG,16,16,300,6-3,Kent St.,12/29/1989,4,7,,$1400000
97,Karl Klug\KlugKa00,29,,15,0,278,6-3,Iowa,3/31/1988,6,2,Tennessee Titans / 5th / 142nd pick / 2011,$1250000
77,Taylor Lewan\LewaTa00,26,T,16,16,309,6-7,Michigan,7/21/1991,3,10,Tennessee Titans / 1st / 11th pick / 2014,$1986136
8,Marcus Mariota\MariMa01,24,QB,15,15,222,6-4,Oregon,10/30/1993,2,12,Tennessee Titans / 1st / 2nd pick / 2015,$615000
18,Rishard Matthews\MattRi00,28,WR,14,11,217,6-0,Nevada,10/12/1989,5,7,Miami Dolphins / 7th / 227th pick / 2012,$5000000
23,Brice McCain\McCaBr99,31,cb,16,1,190,5-9,Utah,12/10/1986,8,1,Houston Texans / 6th / 188th pick / 2009,$2000000
91,Derrick Morgan\MorgDe99,28,LB,14,14,261,6-4,Georgia Tech,1/6/1989,7,7,Tennessee Titans / 1st / 16th pick / 2010,$6000000
29,DeMarco Murray\MurrDe00,29,RB,15,15,220,6-1,Oklahoma,2/12/1988,6,7,Dallas Cowboys / 3rd / 71st pick / 2011,$6250000
98,Brian Orakpo\OrakBr99,31,LB,16,16,257,6-4,Texas,7/31/1986,8,7,Washington Redskins / 1st / 13th pick / 2009,$6200000
50,Nate Palmer\PalmNa01,28,,10,0,248,6-2,Illinois St.,9/23/1989,4,1,Green Bay Packers / 6th / 193rd pick / 2013,$850000
24,Kalan Reed\ReedKa00,24,,3,0,199,5-11,Southern Miss,12/29/1993,1,0,Tennessee Titans / 7th / 253rd pick / 2016,$540000
35,Curtis Riley\RileCu00,25,,7,0,190,6-0,Fresno St.,7/18/1992,1,1,,$540000
26,Logan Ryan\RyanLo00,26,CB,15,15,195,5-11,Rutgers,2/9/1991,4,5,New England Patriots / 3rd / 83rd pick / 2013,$5000000
62,Brian Schwenke\SchwBr00,26,lg,16,2,318,6-3,California,3/22/1991,4,2,Tennessee Titans / 4th / 107th pick / 2013,$775000
21,DaNorris Searcy\SearDa00,29,ss,16,6,205,5-11,North Carolina,11/16/1988,6,3,Buffalo Bills / 4th / 100th pick / 2011,$2400000
36,LeShaun Sims\SimsLe00,24,cb,13,5,203,6-0,Southern Utah,9/18/1993,1,2,Tennessee Titans / 5th / 157th pick / 2016,$540000
81,Jonnu Smith\SmitJo01,22,TE,16,13,248,6-3,Florida International,8/22/1995,Rook,1,Tennessee Titans / 3rd / 100th pick / 2017,$465000
33,Tye Smith\SmitTy01,24,cb,15,1,195,6-0,Towson,5/3/1993,2,1,Seattle Seahawks / 5th / 170th pick / 2015,$540000
67,Quinton Spain\SpaiQu00,26,LG,14,14,330,6-4,West Virginia,8/7/1991,2,7,,$615000
88,Luke Stocker\StocLu00,29,te,3,2,253,6-5,Tennessee,7/17/1988,6,0,Tampa Bay Buccaneers / 4th / 104th pick / 2011,
4,Ryan Succop\SuccRy44,31,K,16,0,218,6-2,South Carolina,9/19/1986,8,3,Kansas City Chiefs / 7th / 256th pick / 2009,$2400000
