No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
95,Jonathan Allen\AlleJo01,22,de,5,5,294,6-3,Alabama,1/16/1995,Rook,2,Washington Redskins / 1st / 17th pick / 2017,$465000
52,Ryan Anderson\AndeRy00,23,,14,0,253,6-2,Alabama,8/12/1994,Rook,1,Washington Redskins / 2nd / 49th pick / 2017,$465000
63,Brandon Banks\BankBr01,23,,1,0,267,6-3,,7/13/1994,Rook,0,,$218824
66,Tony Bergstrom\BergTo00,31,c,9,3,310,6-5,Utah,8/8/1986,5,2,Oakland Raiders / 3rd / 95th pick / 2012,$455882
39,Kapri Bibbs\BibbKa00,24,,3,0,203,5-10,Colorado St.,1/10/1993,3,1,,$108528
26,Bashaud Breeland\BreeBa00,25,CB,15,15,195,5-11,Clemson,1/30/1992,3,6,Washington Redskins / 4th / 102nd pick / 2014,$1797000
34,Mack Brown\BrowMa02,26,,3,0,213,5-11,Florida,9/24/1991,1,0,,$540000
53,Zach Brown\BrowZa00,28,MLB,13,13,250,6-1,North Carolina,10/23/1989,5,7,Tennessee Titans / 2nd / 52nd pick / 2012,$1550000
55,Chris Carter\CartCh00,28,,13,0,245,6-1,Fresno St.,4/6/1989,6,1,Pittsburgh Steelers / 5th / 162nd pick / 2011,$775000
68,Tyler Catalina\CataTy00,24,rg,7,2,315,6-6,Georgia,1/24/1993,Rook,1,,$465000
69,T.J. Clemmings\ClemT.00,26,t,6,2,310,6-5,Pittsburgh,11/18/1991,2,1,Minnesota Vikings / 4th / 110th pick / 2015,$615000
51,William Compton\CompWi00,28,mlb,9,3,235,6-1,Nebraska,9/19/1989,4,2,,$1797000
8,Kirk Cousins\CousKi00,29,QB,16,16,202,6-3,Michigan St.,8/19/1988,5,12,Washington Redskins / 4th / 102nd pick / 2012,$23943600
80,Jamison Crowder\CrowJa00,24,wr,15,6,177,5-9,Duke,6/17/1993,2,6,Washington Redskins / 4th / 105th pick / 2015,$615000
46,LeShun Daniels\DaniLe00,22,,4,0,222,5-11,,6/4/1995,Rook,0,,$164118
19,Robert Davis\DaviRo00,22,,1,0,212,6-3,Georgia St.,4/2/1995,Rook,0,Washington Redskins / 6th / 209th pick / 2017,$109412
85,Vernon Davis\DaviVe00,33,TE,16,16,244,6-3,Maryland,1/31/1984,11,5,San Francisco 49ers / 1st / 6th pick / 2006,$2000000
18,Josh Doctson\DoctJo00,25,WR,16,14,202,6-2,TCUWyoming,12/3/1992,1,4,Washington Redskins / 1st / 22nd pick / 2016,$906802
47,Quinton Dunbar\DunbQu00,25,cb,15,4,197,6-2,Florida,7/22/1992,2,2,,$615000
22,Deshazor Everett\EverDe01,25,SS,14,8,195,6-0,Texas AM,2/22/1992,2,3,,$615000
54,Mason Foster\FostMa00,28,mlb,5,4,250,6-1,Washington,3/1/1989,6,3,Tampa Bay Buccaneers / 3rd / 84th pick / 2011,$1225000
64,A.J. Francis\FranA.00,27,,6,0,337,6-5,Maryland,5/7/1990,4,1,,$397936
74,Orlando Franklin\FranOr00,30,,1,0,315,6-6,Miami (FL),12/16/1987,6,0,Denver Broncos / 2nd / 46th pick / 2011,$455882
29,Kendall Fuller\FullKe00,22,cb,16,6,198,5-11,Virginia Tech,2/13/1995,1,4,Washington Redskins / 3rd / 84th pick / 2016,$557500
58,Junior Galette\GaleJu00,29,,16,0,257,6-2,TempleStillman,3/27/1988,7,3,,$775000
14,Ryan Grant\GranRy01,27,wr,16,7,204,6-0,Tulane,12/19/1990,3,4,Washington Redskins / 5th / 142nd pick / 2014,$690000
23,DeAngelo Hall\HallDe99,34,cb,5,2,197,5-10,Virginia Tech,11/19/1983,13,1,Atlanta Falcons / 1st / 8th pick / 2004,$1100000
13,Maurice Harris\HarrMa05,25,,6,0,200,6-3,California,11/11/1992,1,0,,$218824
40,Josh Harvey-Clemons\HarvJo01,23,,10,0,230,6-4,Louisville,2/20/1994,Rook,1,Washington Redskins / 7th / 230th pick / 2017,$465000
38,Joshua Holsey\HolsJo01,23,,12,0,195,5-11,Auburn,6/25/1994,Rook,1,Washington Redskins / 7th / 235th pick / 2017,$465000
90,Evander Hood\HoodEv99,30,NT,15,13,305,6-3,Missouri,2/16/1987,8,6,Pittsburgh Steelers / 1st / 32nd pick / 2009,$900000
3,Dustin Hopkins\HopkDu00,27,K,8,0,203,6-2,Florida St.,10/1/1990,4,1,Buffalo Bills / 6th / 177th pick / 2013,$690000
98,Matthew Ioannidis\IoanMa01,23,DE,14,10,305,6-3,Temple,1/11/1994,1,5,Washington Redskins / 5th / 152nd pick / 2016,$540000
