Team,First,Last
ARI,BRUCE,ARIANS
ATL,DAN,QUINN
BAL,JOHN,HARBAUGH
BUF,SEAN,MCDERMOTT
CAR,RON,RIVERA
CHI,JOHN,FOX
CIN,MARVIN,LEWIS
CLE,HUE,JACKSON
DAL,JASON,GARRETT
DEN,VANCE,JOSEPH
DET,JIM,CALDWELL
GB,MIKE,MCARTHY
HOU,BILL,OBRIEN
IND,CHUCK,PAGANO
JAX,DOUG,MARRONE
KC,ANDY,REID
LAC,ANTHONY,LYNN
LA,SEAN,MCVAY
MIA,ADAM,GASE
MIN,MIKE,ZIMMER
NE,BILL,BELICHICK
NO,SEAN,PAYTON
NYG,BEN,MCADOO
NYJ,TODD,BOWLES
OAK,JACK,RIO
PHI,DOUG,PEDERSON
PIT,MIKE,TOMLIN
SEA,PETE,CARROL
SF,KYLE,SHANAHAN
TB,DIRK,KOETTER
TEN,MIKE,MULARKEY
WAS,JAY,GRUDEN
