No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
57,Lorenzo Alexander\AlexLo99,35,LB,16,8,245,6-1,California,5/31/1983,11,7,,$2450000
17,Josh Allen\AlleJo02,22,QB,12,11,237,6-5,Wyoming,5/21/1996,Rook,6,Buffalo Bills / 1st / 7th pick / 2018,$480000
3,Derek Anderson\AndeDe00,35,qb,2,2,235,6-6,Oregon St.,6/15/1983,12,1,Baltimore Ravens / 6th / 213th pick / 2005,$716471
5,Matt Barkley\BarkMa00,28,qb,1,1,227,6-2,USC,9/8/1990,5,1,Philadelphia Eagles / 4th / 98th pick / 2013,$418235
13,Kelvin Benjamin\BenjKe00,27,WR,12,10,245,6-5,Florida St.,2/5/1991,4,2,Carolina Panthers / 1st / 28th pick / 2014,$8459000
66,Russell Bodine\BodiRu00,26,C,10,10,308,6-3,North Carolina,6/30/1992,4,3,Cincinnati Bengals / 4th / 111th pick / 2014,$1150000
65,Ike Boettger\BoetIk00,24,,4,0,313,6-6,,10/5/1994,Rook,0,,$451760
9,Corey Bojorquez\BojoCo00,22,P,8,0,208,6-0,,9/13/1996,Rook,1,,$480000
13,Victor Bolden\BoldVi00,23,,2,0,178,5-8,Oregon St.,4/4/1995,1,0,,$65294
20,Rafael Bush\BushRa00,31,db,15,7,203,5-11,South Carolina St.,5/12/1987,7,3,,$1300000
85,Charles Clay\ClayCh00,29,TE,13,12,255,6-3,Tulsa,2/13/1989,7,1,Miami Dolphins / 6th / 174th pick / 2011,$4500000
80,Jason Croom\CrooJa00,24,te,15,3,246,6-5,Tennessee,2/28/1994,Rook,2,,$480000
8,Matt Darr\DarrMa00,26,,5,0,217,6-1,Tennnessee,7/2/1992,3,0,,$185294
22,Vontae Davis\DaviVo99,30,rcb,1,1,207,5-11,Illinois,5/27/1988,9,0,Miami Dolphins / 1st / 25th pick / 2009,$2250000
73,Dion Dawkins\DawkDi00,24,T,16,16,320,6-5,Temple,4/26/1994,1,6,Buffalo Bills / 2nd / 63rd pick / 2017,$655147
42,Patrick DiMarco\DiMaPa00,29,fb,16,5,234,6-1,South Carolina,4/30/1989,6,0,,$1500000
62,Vlad Ducasse\DucaVl20,31,LG,10,9,329,6-5,Massachusetts,10/15/1987,8,3,New York Jets / 2nd / 61st pick / 2010,$1300000
49,Tremaine Edmunds\EdmuTr01,20,MLB,15,15,250,6-5,Virginia Tech,5/2/1998,Rook,9,Buffalo Bills / 1st / 16th pick / 2018,$480000
69,Reid Ferguson\FergRe00,24,,16,0,244,6-1,LSU,3/24/1994,1,1,,$555000
35,Keith Ford\FordKe00,24,rb,2,1,219,5-10,,4/18/1994,Rook,1,,$129200
16,Robert Foster\FostRo01,24,wr,13,3,196,6-2,Alabama,5/7/1994,Rook,4,,$480000
28,Phillip Gaines\GainPh00,27,cb,7,6,193,6-0,Rice,4/4/1991,4,2,Kansas City Chiefs / 3rd / 87th pick / 2014,$790000
72,Ryan Groy\GroyRy00,28,c,15,6,320,6-5,Wisconsin,9/30/1990,4,2,,$1500000
4,Stephen Hauschka\HausSt00,33,K,16,0,210,6-4,MiddleburyNorth Carolina St.,6/29/1985,10,3,,$1750000
18,Andre Holmes\HolmAn00,30,wr,12,3,210,6-4,Hillsdale,6/16/1988,7,1,,$1000000
55,Jerry Hughes\HughJe99,30,DE,16,16,254,6-2,TCU,8/13/1988,8,9,Indianapolis Colts / 1st / 31st pick / 2010,$6350000
