No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
23,Robert Alford\AlfoRo00,30,CB,15,15,186,5-10,SE Louisiana,11/1/1988,5,4,Atlanta Falcons / 2nd / 60th pick / 2013,$9000000
37,Ricardo Allen\AlleRi00,27,s,3,3,186,5-9,Purdue,12/18/1991,4,1,Atlanta Falcons / 5th / 147th pick / 2014,$1914000
69,Zane Beadles\BeadZa20,32,rg,9,5,305,6-4,Utah,11/19/1986,8,3,Denver Broncos / 2nd / 45th pick / 2010,$484412
44,Vic Beasley\BeasVi00,26,DE,16,9,246,6-3,Clemson,7/8/1992,3,5,Atlanta Falcons / 1st / 8th pick / 2015,$705000
93,Michael Bennett\BennMi01,25,,2,0,287,6-2,Ohio St.,2/24/1993,3,0,Jacksonville Jaguars / 6th / 180th pick / 2015,$539118
28,Justin Bethel\BethJu00,28,,14,0,200,6-0,Presbyterian,6/17/1990,6,1,Arizona Cardinals / 6th / 177th pick / 2012,$850000
5,Matthew Bosher\BoshMa00,31,P,16,0,208,6-0,Miami (FL),10/18/1987,7,2,Atlanta Falcons / 6th / 192nd pick / 2011,$2200000
3,Matt Bryant\bryanmat01,43,K,13,0,203,5-9,Baylor,5/29/1975,16,4,,$1100000
39,Deante Burton\BurtDe00,24,,1,0,205,6-2,Kansas St.,7/12/1994,Rook,0,,
59,DeVondre Campbell\CampDe00,25,LB,16,13,232,6-4,Minnesota,7/3/1993,2,9,Atlanta Falcons / 4th / 115th pick / 2016,$630000
55,Bruce Carter\CartBr00,30,,11,0,240,6-2,North Carolina,2/19/1988,7,1,Dallas Cowboys / 2nd / 40th pick / 2011,$753529
26,Tevin Coleman\ColeTe01,25,RB,16,14,210,6-1,Indiana,4/16/1993,3,8,Atlanta Falcons / 3rd / 73rd pick / 2015,$791628
46,Jon Condo\CondJo20,37,,4,0,240,6-3,Maryland,8/26/1981,13,0,,$238824
95,Jack Crawford\CrawJa00,30,DT,16,11,288,6-5,Penn St.,9/7/1988,6,5,Oakland Raiders / 5th / 158th pick / 2012,$2250000
24,Devonta Freeman\FreeDe00,26,rb,2,2,206,5-8,Florida St.,3/15/1992,4,1,Atlanta Falcons / 4th / 103rd pick / 2014,$2000000
65,Brandon Fusco\FuscBr00,30,rg,7,7,306,6-4,Slippery Rock,7/26/1988,7,4,Minnesota Vikings / 6th / 172nd pick / 2011,$2250000
83,Russell Gage\GageRu00,22,,15,0,184,6-0,LSU,1/22/1996,Rook,1,Atlanta Falcons / 6th / 194th pick / 2018,$480000
63,Ben Garland\GarlBe00,30,rg,14,4,308,6-5,Air Force,4/6/1988,7,3,,$2914000
17,Marvin Hall\HallMa02,25,,16,0,190,5-10,,4/10/1993,1,1,,$555000
14,Justin Hardy\HardJu00,27,,16,0,192,5-10,East Carolina,12/18/1991,3,1,Atlanta Falcons / 4th / 107th pick / 2015,$705000
47,Josh Harris\HarrJo02,29,,11,0,224,6-1,Auburn,4/27/1989,6,0,,$805000
32,Brian Hill\HillBr02,23,,10,0,219,6-1,Wyoming,11/9/1995,1,1,Atlanta Falcons / 5th / 156th pick / 2017,$522353
81,Austin Hooper\HoopAu00,24,te,16,7,254,6-4,Stanford,11/4/1994,2,6,Atlanta Falcons / 3rd / 81st pick / 2016,$630000
52,Bruce Irvin\IrviBr00,31,de,8,3,250,6-3,West Virginia,11/1/1987,6,2,Seattle Seahawks / 1st / 15th pick / 2012,$1500000
36,Kemal Ishmael\IshmKe00,27,,16,0,206,6-0,Central Florida,5/6/1991,5,1,Atlanta Falcons / 7th / 243rd pick / 2013,$790000
97,Grady Jarrett\JarrGr00,25,DT,14,14,305,6-0,Clemson,4/28/1993,3,6,Atlanta Falcons / 5th / 137th pick / 2015,$1907000
52,Richard Jarvis\JarvRi00,23,,1,0,220,6-2,,4/20/1995,Rook,0,,$129200
45,Deion Jones\JoneDe01,24,lb,6,6,227,6-1,LSU,11/4/1994,2,3,Atlanta Falcons / 2nd / 52nd pick / 2016,$863240
11,Julio Jones\JoneJu02,29,WR,16,16,220,6-3,Alabama,2/3/1989,7,14,Atlanta Falcons / 1st / 6th pick / 2011,$9000000
27,Damontae Kazee\KazeDa00,25,S,16,15,190,5-11,San Diego St.,6/5/1993,1,5,Atlanta Falcons / 5th / 149th pick / 2017,$555000
43,Jeremy Langford\LangJe00,27,,1,0,211,6-0,Michigan St.,12/6/1991,3,0,Chicago Bears / 4th / 106th pick / 2015,$74118
67,Andy Levitre\LeviAn20,32,lg,2,2,303,6-2,Oregon St.,5/15/1986,9,1,Buffalo Bills / 2nd / 51st pick / 2009,$3500000
51,Alex Mack\MackAl20,33,C,16,16,311,6-4,California,11/19/1985,9,11,Cleveland Browns / 1st / 21st pick / 2009,$8500000
70,Jake Matthews\MattJa00,26,T,16,16,309,6-5,Texas A&M,2/11/1992,4,13,Atlanta Falcons / 1st / 6th pick / 2014,$5500000
99,Terrell McClain\McClTe00,30,dt,13,5,302,6-2,South Florida,7/20/1988,7,2,Carolina Panthers / 3rd / 65th pick / 2011,$825000
98,Takkarist McKinley\McKiTa00,23,DE,15,8,265,6-2,UCLA,11/2/1995,1,4,Atlanta Falcons / 1st / 26th pick / 2017,$929388
56,Steven Means\MeanSt00,28,de,8,4,263,6-3,Buffalo,9/16/1990,5,2,Tampa Bay Buccaneers / 5th / 147th pick / 2013,$790000
22,Keanu Neal\NealKe01,23,s,1,1,216,6-1,Florida,7/26/1995,2,0,Atlanta Falcons / 1st / 17th pick / 2016,$1426150
40,Ryan Neal\NealRy00,23,,1,0,200,6-3,,12/24/1995,Rook,0,,$129200
41,Sharrod Neasman\NeasSh00,27,,12,0,198,6-0,Florida Atlantic,10/14/1991,2,1,,$518824
55,Corey Nelson\NelsCo00,26,,1,0,226,6-1,Oklahoma,4/22/1992,4,0,Denver Broncos / 7th / 242nd pick / 2014,$743529
20,Isaiah Oliver\OlivIs00,22,cb,14,2,210,6-0,Colorado,9/30/1996,Rook,1,Atlanta Falcons / 2nd / 58th pick / 2018,$480000
54,Foyesade Oluokun\OluoFo00,23,lb,16,7,215,6-2,Yale,8/2/1995,Rook,4,Atlanta Falcons / 6th / 200th pick / 2018,$480000
30,Ricky Ortiz\OrtiRi00,24,FB,12,9,233,6-0,,4/15/1994,Rook,0,,$480000
46,Jeff Overbaugh\OverJe00,25,,1,0,236,6-0,,11/24/1993,1,0,,
82,Logan Paulsen\PaulLo00,31,TE,15,10,268,6-5,UCLA,2/26/1987,8,1,,$915000
34,Brian Poole\PoolBr01,26,cb,16,9,211,5-10,Florida,10/20/1992,2,4,,$630000
50,Brooks Reed\ReedBr00,31,de,16,8,254,6-3,Arizona,2/28/1987,7,4,Houston Texans / 2nd / 42nd pick / 2011,$3000000
29,Jordan Richards\RichJo00,25,S,15,12,210,5-11,Stanford,1/21/1993,3,3,New England Patriots / 2nd / 64th pick / 2015,$941121
