No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
29,Mike Adams\AdamMi21,37,FS,16,16,205,5-11,Delaware,3/24/1981,14,6,,$1500000
97,Mario Addison\AddiMa00,31,DE,16,16,260,6-3,Troy,9/6/1987,7,7,,$6250000
7,Kyle Allen\AlleKy00,22,qb,2,1,210,6-3,Texas A&MHouston,3/8/1996,Rook,1,,$56470
20,C.J. Anderson\AndeC.00,27,rb,9,1,225,5-8,California,2/10/1991,5,1,,$800000
40,Alex Armah\ArmaAl00,24,fb,16,2,255,6-2,West Georgia,5/17/1994,1,0,Carolina Panthers / 6th / 192nd pick / 2017,$555000
34,Cameron Artis-Payne\ArtiCa00,28,,9,0,215,5-10,Auburn,6/23/1990,3,1,Carolina Panthers / 5th / 174th pick / 2015,$705000
23,Kenjon Barner\BarnKe00,28,,4,0,195,5-9,Oregon,4/28/1990,5,0,Carolina Panthers / 6th / 182nd pick / 2013,$743529
24,James Bradberry\BradJa00,25,LCB,16,16,212,6-1,SamfordArkansas St.,8/4/1993,2,5,Carolina Panthers / 2nd / 62nd pick / 2016,$810076
92,Vernon Butler\ButlVe00,24,,14,0,330,6-4,Louisiana Tech,6/14/1994,2,1,Carolina Panthers / 1st / 30th pick / 2016,$1213319
18,Damiere Byrd\ByrdDa00,25,,8,0,180,5-9,South Carolina,1/27/1993,2,0,,$630000
38,Travaris Cadet\CadeTr00,29,,1,0,210,6-1,Appalachian St.,2/1/1989,6,0,,$325294
56,Jermaine Carter\CartJe00,23,lb,16,1,225,6-0,Maryland,1/14/1995,Rook,1,Carolina Panthers / 5th / 161st pick / 2018,$480000
4,Chandler Catanzaro\CataCh00,27,,4,0,200,6-3,Clemson,2/26/1991,4,1,,$185882
74,Chris Clark\ClarCh21,33,T,15,13,305,6-5,Southern Miss,10/1/1985,8,8,,$861176
91,Bryan Cox\CoxxBr01,24,,11,0,270,6-3,Florida,6/25/1994,1,1,,$555000
58,Thomas Davis\DaviTh20,35,LB,12,12,235,6-1,Georgia,3/22/1983,13,5,Carolina Panthers / 1st / 14th pick / 2005,$3500000
20,Lorenzo Doss\DossLo00,24,,1,0,185,5-11,Tulane,4/20/1994,3,0,Denver Broncos / 5th / 164th pick / 2015,$705000
35,Corn Elder\EldeCo00,24,,13,0,185,5-10,Miami (FL),10/9/1994,Rook,1,Carolina Panthers / 5th / 152nd pick / 2017,$480000
14,Mose Frazier\FrazMo00,25,,1,0,190,5-11,,8/30/1993,1,0,,$129200
17,Devin Funchess\FuncDe00,24,WR,14,12,225,6-4,Michigan,5/21/1994,3,5,Carolina Panthers / 2nd / 41st pick / 2015,$1087850
9,Graham Gano\GanoGr44,31,K,12,0,202,6-2,Florida St.,4/9/1987,9,3,,$1850000
28,Rashaan Gaulden\GaulRa00,23,,15,0,200,6-0,Tennessee,1/23/1995,Rook,1,Carolina Panthers / 3rd / 85th pick / 2018,$480000
3,Garrett Gilbert\GilbGa01,27,,1,0,230,6-4,TexasSMU,7/1/1991,4,0,St. Louis Rams / 6th / 214th pick / 2014,
23,Josh Hawkins\HawkJo00,25,,5,0,189,5-10,East Carolina,1/23/1993,2,0,,$555882
98,Marquis Haynes\HaynMa01,25,,4,0,235,6-2,Mississippi,12/16/1993,Rook,0,Carolina Panthers / 4th / 136th pick / 2018,$480000
62,Taylor Hearn\HearTa00,22,,4,0,315,6-4,Clemson,1/11/1996,Rook,0,,$129200
6,Taylor Heinicke\HeinTa00,25,qb,6,1,210,6-1,,3/15/1993,1,1,,$705000
96,Wes Horton\HortWe00,29,DE,16,8,265,6-5,USC,12/17/1989,5,4,,$900000
26,Donte Jackson\JackDo02,23,RCB,16,16,180,5-10,LSU,11/8/1995,Rook,6,Carolina Panthers / 2nd / 55th pick / 2018,$480000
53,Ben Jacobs\JacoBe00,30,,16,0,240,6-4,Fresno St.,4/17/1988,7,1,,$790000
44,J.J. Jansen\JansJ.00,32,,16,0,235,6-2,Notre Dame,1/20/1986,9,1,,$915000
42,Colin Jones\JoneCo01,31,ss,16,1,205,6-0,TCU,10/27/1987,7,2,San Francisco 49ers / 6th / 190th pick / 2011,$1100000
67,Ryan Kalil\KaliRy20,33,C,16,16,300,6-2,USC,3/29/1985,11,8,Carolina Panthers / 2nd / 59th pick / 2007,$4500000
59,Luke Kuechly*+\KuecLu00,27,MLB,16,16,238,6-3,Boston Col.,4/20/1991,6,14,Carolina Panthers / 1st / 9th pick / 2012,$790000
69,Tyler Larsen\LarsTy00,27,rg,16,3,325,6-4,Utah St.,7/8/1991,2,3,,$630000
93,Kyle Love\LoveKy00,32,dt,16,2,310,6-1,Mississippi St.,11/18/1986,8,2,,$915000
63,Brendan Mahon\MahoBr00,23,,2,0,320,6-4,,1/17/1995,Rook,0,,$480000
82,Chris Manhertz\ManhCh00,26,te,16,4,255,6-6,Canisius,4/10/1992,4,0,,$630000
55,David Mayo\MayoDa00,25,lb,16,3,245,6-2,Texas St.,8/8/1993,3,2,Carolina Panthers / 5th / 169th pick / 2015,$705000
22,Christian McCaffrey\McCaCh01,22,RB,16,16,205,5-11,Stanford,6/7/1996,1,16,Carolina Panthers / 1st / 8th pick / 2017,$1248695
12,D.J. Moore\MoorD.00,21,WR,16,10,215,5-11,Maryland,4/14/1997,Rook,8,Carolina Panthers / 1st / 24th pick / 2018,$480000
72,Taylor Moton\MotoTa00,24,T,16,16,325,6-5,West. Michigan,8/18/1994,1,10,Carolina Panthers / 2nd / 64th pick / 2017,$654007
41,Captain Munnerlyn\MunnCa99,30,db,16,5,195,5-9,South Carolina,4/10/1988,9,3,Carolina Panthers / 7th / 216th pick / 2009,$1900000
71,Marshall Newhouse\NewhMa20,30,t,11,2,330,6-4,TCU,9/29/1988,7,2,Green Bay Packers / 5th / 169th pick / 2010,$823529
1,Cam Newton\NewtCa00,29,QB,14,14,245,6-5,FloridaBlinn College (TX)Auburn,5/11/1989,7,13,Carolina Panthers / 1st / 1st pick / 2011,$14500000
52,Jared Norris\NorrJa00,25,,3,0,238,6-1,Utah,7/19/1993,2,0,,$630000
71,Efe Obada\ObadEf00,26,,10,0,265,6-6,,4/13/1992,Rook,1,,$480000
88,Greg Olsen\OlseGr00,33,TE,9,9,255,6-5,Miami (FL),3/11/1985,11,3,Chicago Bears / 1st / 31st pick / 2007,$1015000
5,Michael Palardy\PalaMi00,26,P,16,0,200,5-11,Tennessee,7/6/1992,4,2,,$630000
90,Julius Peppers\PeppJu99,38,DE,16,8,295,6-7,North Carolina,1/18/1980,16,4,Carolina Panthers / 1st / 2nd pick / 2002,$2250000
95,Dontari Poe\PoexDo00,28,DT,16,16,346,6-3,Memphis,8/18/1990,6,6,Kansas City Chiefs / 1st / 11th pick / 2012,$800000
25,Eric Reid\ReidEr00,27,SS,13,13,215,6-1,LSU,12/10/1991,5,4,San Francisco 49ers / 1st / 18th pick / 2013,$823529
77,Corey Robinson\RobiCo00,26,,1,0,315,6-7,South Carolina,5/21/1992,3,0,Detroit Lions / 7th / 240th pick / 2015,$705000
10,Curtis Samuel\SamuCu00,22,WR,13,8,195,5-11,Ohio St.,8/11/1996,1,5,Carolina Panthers / 2nd / 40th pick / 2017,$758349
21,Da'Norris Searcy\SearDa00,30,ss,2,2,205,5-11,North Carolina,11/16/1988,7,1,Buffalo Bills / 4th / 100th pick / 2011,$1000000
99,Kawann Short*\ShorKa00,29,DT,14,14,315,6-3,Purdue,2/2/1989,5,8,Carolina Panthers / 2nd / 44th pick / 2013,$12500000
65,Amini Silatolu\SilaAm00,30,,6,0,305,6-4,Midwestern St.,9/16/1988,6,1,Carolina Panthers / 2nd / 40th pick / 2012,$790000
57,Andre Smith\SmitAn04,21,,3,0,240,6-0,North Carolina,4/20/1997,Rook,0,Carolina Panthers / 7th / 234th pick / 2018,$480000
11,Torrey Smith\SmitTo02,29,wr,11,6,205,6-0,Maryland,1/26/1989,7,2,Baltimore Ravens / 2nd / 58th pick / 2011,$5000000
80,Ian Thomas\ThomIa00,22,te,16,6,260,6-3,Indiana,6/6/1996,Rook,3,Carolina Panthers / 4th / 101st pick / 2018,$480000
54,Shaq Thompson\ThomSh01,24,LB,14,11,230,6-0,Washington,4/21/1994,3,5,Carolina Panthers / 1st / 25th pick / 2015,$936000
70,Trai Turner*\TurnTr01,25,RG,13,13,315,6-3,LSU,6/14/1993,4,9,Carolina Panthers / 3rd / 92nd pick / 2014,$4703000
73,Greg Van Roten\VanRGr00,28,LG,16,16,305,6-3,Pennsylvanua,2/26/1990,6,8,,$705000
60,Daryl Williams\WillDa06,26,t,1,1,330,6-6,Oklahoma,8/31/1992,3,1,Carolina Panthers / 4th / 102nd pick / 2015,$1907000
13,Jarius Wright\WrigJa02,29,wr,16,6,190,5-10,Arkansas,11/25/1989,6,4,Minnesota Vikings / 4th / 118th pick / 2012,$800000
