No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
93,Sam Acho\AchoSa00,30,,4,0,259,6-3,Texas,9/6/1988,7,0,Arizona Cardinals / 4th / 103rd pick / 2011,$1450000
38,Adrian Amos\AmosAd00,25,S,16,16,214,6-0,Penn St.,4/29/1993,3,6,Chicago Bears / 5th / 142nd pick / 2015,$1907000
20,Prince Amukamara\AmukPr00,29,CB,15,15,204,6-0,Nebraska,6/6/1989,7,6,New York Giants / 1st / 19th pick / 2011,$3500000
15,Josh Bellamy\BellJo02,29,wr,16,2,208,6-0,Louisville,5/18/1989,6,1,,$1907000
84,Ben Braunecker\BrauBe00,24,te,15,2,252,6-4,Harvard,2/7/1994,2,0,,$630000
85,Daniel Brown\BrowDa04,26,,14,0,247,6-5,James Madison,5/26/1992,3,0,,$705000
90,Jonathan Bullard\BullJo00,25,de,16,1,296,6-3,Florida,10/22/1993,2,2,Chicago Bears / 3rd / 72nd pick / 2016,$718000
46,Michael Burton\BurtMi00,26,fb,8,1,240,6-0,Rutgers,2/1/1992,3,0,Detroit Lions / 5th / 168th pick / 2015,$705000
80,Trey Burton\BurtTr01,27,TE,16,16,235,6-3,Florida,10/29/1991,4,5,,$2800000
26,Deon Bush\BushDe00,25,s,15,2,205,6-0,Miami (FL),8/14/1993,2,1,Chicago Bears / 4th / 124th pick / 2016,$630000
37,Bryce Callahan\CallBr00,27,db,13,10,188,5-9,Rice,10/23/1991,3,4,,$1907000
29,Tarik Cohen*+\CoheTa00,23,rb,16,7,181,5-6,North Carolina A&T,7/26/1995,1,10,Chicago Bears / 4th / 119th pick / 2017,$555000
31,Marcus Cooper\CoopMa00,28,,2,0,197,6-2,Rutgers,2/1/1990,5,0,San Francisco 49ers / 7th / 252nd pick / 2013,$900000
30,Benny Cunningham\CunnBe01,28,,15,0,218,5-10,Middle Tenn. St.,7/7/1990,5,0,,$800000
4,Chase Daniel\DaniCh00,32,qb,5,2,225,6-0,Missouri,10/7/1986,9,2,,$2000000
68,James Daniels\DaniJa01,21,LG,16,10,295,6-4,Iowa,9/13/1997,Rook,5,Chicago Bears / 2nd / 39th pick / 2018,$480000
49,Kylie Fitts\FittKy00,24,,6,0,265,6-4,UCLAUtah,10/11/1994,Rook,0,Chicago Bears / 6th / 181st pick / 2018,$480000
94,Leonard Floyd\FloyLe00,26,LB,16,16,251,6-4,Georgia,9/8/1992,2,9,Chicago Bears / 1st / 9th pick / 2016,$1884806
23,Kyle Fuller*+\FullKy00,26,CB,16,16,190,5-11,Virginia Tech,2/16/1992,4,15,Chicago Bears / 1st / 14th pick / 2014,$1000000
