No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
97,Geno Atkins\AtkiGe99,30,DT,16,16,300,6-1,Georgia,3/28/1988,8,8,Cincinnati Bengals / 4th / 120th pick / 2010,$8000000
30,Jessie Bates\BateJe00,21,FS,16,16,200,6-1,Wake Forest,2/26/1997,Rook,5,Cincinnati Bengals / 2nd / 54th pick / 2018,$480000
51,Brandon Bell\BellBr01,23,,6,0,238,6-1,Penn St.,1/9/1995,1,0,,$228529
25,Giovani Bernard\BernGi00,27,rb,12,4,205,5-9,North Carolina,11/22/1991,5,3,Cincinnati Bengals / 2nd / 37th pick / 2013,$3100000
99,Andrew Billings\BillAn00,23,NT,16,16,325,6-1,Baylor,3/6/1995,1,6,Cincinnati Bengals / 4th / 122nd pick / 2016,$630000
65,Clint Boling\BoliCl00,29,LG,16,16,305,6-5,Georgia,5/9/1989,7,9,Cincinnati Bengals / 4th / 101st pick / 2011,$4550000
83,Tyler Boyd\BoydTy00,24,WR,14,14,203,6-2,Pittsburgh,11/15/1994,2,9,Cincinnati Bengals / 2nd / 55th pick / 2016,$787179
52,Preston Brown\BrowPr00,26,mlb,7,7,251,6-1,Louisville,10/27/1992,4,3,Buffalo Bills / 3rd / 73rd pick / 2014,$1000000
4,Randy Bullock\BullRa00,29,K,16,0,210,5-9,Texas A&M,12/16/1989,6,3,Houston Texans / 5th / 161st pick / 2012,$790000
55,Vontaze Burfict\BurfVo00,28,lb,7,7,255,6-1,Arizona St.,9/24/1990,6,2,,$3810000
33,Tra Carson\CarsTr01,26,,2,0,228,5-11,Texas A&M,10/24/1992,Rook,0,,$480000
16,Cody Core\CoreCo00,24,wr,14,3,210,6-3,Mississippi,4/17/1994,2,1,Cincinnati Bengals / 6th / 199th pick / 2016,$630000
14,Andy Dalton\DaltAn00,31,QB,11,11,220,6-2,TCU,10/29/1987,7,8,Cincinnati Bengals / 2nd / 35th pick / 2011,$13700000
21,Darqueze Dennard\DennDa00,27,db,13,9,200,5-11,Michigan St.,10/10/1991,4,3,Cincinnati Bengals / 1st / 24th pick / 2014,$8526000
6,Jeff Driskel\DrisJe00,25,qb,9,5,233,6-4,FloridaLouisiana Tech,4/23/1993,Rook,2,San Francisco 49ers / 6th / 207th pick / 2016,$630000
96,Carlos Dunlap\DunlCa99,29,DE,16,16,280,6-6,Florida,2/28/1989,8,6,Cincinnati Bengals / 2nd / 54th pick / 2010,$1000000
95,Kasim Edebali\EdebKa00,29,,1,0,253,6-2,Boston Col.,8/17/1989,4,0,,$278824
85,Tyler Eifert\EifeTy00,28,te,4,2,255,6-6,Notre Dame,9/8/1990,5,2,Cincinnati Bengals / 1st / 21st pick / 2013,$1000000
12,Alex Erickson\EricAl01,26,wr,16,6,195,6-0,WisconsinWisconsin,11/6/1992,2,2,,$630000
50,Jordan Evans\EvanJo01,23,lb,14,5,242,6-3,Oklahoma,1/27/1995,1,3,Cincinnati Bengals / 6th / 193rd pick / 2017,$555000
42,Clayton Fejedelem\FejeCl00,25,db,16,1,205,6-0,Illinois,6/2/1993,2,2,Cincinnati Bengals / 7th / 245th pick / 2016,$630000
74,Jake Fisher\FishJa00,25,t,11,1,305,6-6,Oregon,4/23/1993,3,1,Cincinnati Bengals / 2nd / 53rd pick / 2015,$965884
88,Jordan Franks\FranJo03,22,,6,0,240,6-4,,1/1/1996,Rook,0,,$129200
98,Ryan Glasgow\GlasRy00,25,,3,0,300,6-3,Michigan,9/30/1993,1,0,Cincinnati Bengals / 4th / 138th pick / 2017,$555000
77,Cordy Glenn\GlenCo00,29,T,13,13,345,6-6,Georgia,9/18/1989,6,7,Buffalo Bills / 2nd / 41st pick / 2012,$9250000
18,A.J. Green\GreeA.00,30,WR,9,9,210,6-4,Georgia,7/31/1988,7,6,Cincinnati Bengals / 1st / 4th pick / 2011,$10550000
46,Clark Harris\HarrCl20,34,,16,0,250,6-5,Rutgers,7/10/1984,10,1,Green Bay Packers / 7th / 243rd pick / 2007,$1015000
35,Davontae Harris\HarrDa05,23,,3,0,200,5-11,Illinois St.,1/21/1995,Rook,0,Cincinnati Bengals / 5th / 151st pick / 2018,$363000
68,Bobby Hart\HartBo00,24,T,16,16,318,6-5,Florida St.,8/21/1994,3,9,New York Giants / 7th / 226th pick / 2015,$705000
66,Trey Hopkins\HopkTr01,26,c,16,9,316,6-3,Texas,7/6/1992,4,5,,$555000
94,Sam Hubbard\HubbSa00,23,,16,0,265,6-5,Ohio St.,6/29/1995,Rook,2,Cincinnati Bengals / 3rd / 77th pick / 2018,$480000
10,Kevin Huber\HubeKe20,33,P,16,0,210,6-1,Cincinnati,7/16/1985,9,2,Cincinnati Bengals / 5th / 142nd pick / 2009,$1400000
22,William Jackson\JackWi02,26,RCB,16,16,196,6-0,HoustonTrinity Valley CC (TX),10/27/1992,1,4,Cincinnati Bengals / 1st / 24th pick / 2016,$1332331
45,Malik Jefferson\JeffMa00,22,,12,0,241,6-2,Texas,11/15/1996,Rook,1,Cincinnati Bengals / 3rd / 78th pick / 2018,$480000
90,Michael Johnson\JohnMi98,31,DE,15,15,280,6-7,Georgia Tech,2/7/1987,9,6,Cincinnati Bengals / 3rd / 70th pick / 2009,$4550000
27,Dre Kirkpatrick\KirkDr00,29,LCB,13,13,196,6-2,Alabama,10/26/1989,6,3,Cincinnati Bengals / 1st / 17th pick / 2012,$4750000
81,Tyler Kroft\KrofTy00,26,te,5,2,252,6-6,Rutgers,10/15/1992,3,0,Cincinnati Bengals / 3rd / 85th pick / 2015,$1897000
58,Carl Lawson\LawsCa00,23,,7,0,265,6-2,Auburn,6/29/1995,1,1,Cincinnati Bengals / 4th / 116th pick / 2017,$555000
89,Matt Lengel\LengMa00,28,te,11,2,265,6-7,NortheasternEast. Kentucky,12/27/1990,2,0,,$444706
80,Josh Malone\MaloJo00,22,,9,0,205,6-3,Tennessee,3/21/1996,1,0,Cincinnati Bengals / 4th / 128th pick / 2017,$555000
29,Tony McRae\McRaTo00,25,db,12,1,185,5-10,,5/3/1993,1,1,,$555000
28,Joe Mixon\MixoJo00,22,RB,14,13,220,6-1,Oklahoma,7/24/1996,1,11,Cincinnati Bengals / 2nd / 48th pick / 2017,$712735
56,Hardy Nickerson\NickHa02,24,lb,16,7,235,6-0,IllinoisCalifornia,1/5/1994,1,3,,$555000
70,Cedric Ogbuehi\OgbuCe00,26,,2,0,308,6-5,Texas A&M,4/25/1992,3,0,Cincinnati Bengals / 1st / 21st pick / 2015,$1706684
23,Darius Phillips\PhilDa02,23,db,15,1,190,5-10,West. Michigan,6/26/1995,Rook,1,Cincinnati Bengals / 5th / 170th pick / 2018,$480000
53,Billy Price\PricBi01,24,C,10,10,308,6-4,Ohio St.,10/11/1994,Rook,5,Cincinnati Bengals / 1st / 21st pick / 2018,$480000
31,Thomas Rawls\RawlTh00,25,,1,0,215,5-9,Central Michigan,8/3/1993,3,0,,$622065
62,Alex Redmond\RedmAl01,23,RG,15,15,310,6-5,UCLA,1/18/1995,1,7,,$555000
57,Vincent Rey\ReyxVi00,31,lb,16,2,240,6-0,Duke,9/6/1987,8,1,,$2250000
79,Christian Ringo\RingCh00,26,,5,0,298,6-1,Louisiana,3/10/1992,2,1,Green Bay Packers / 6th / 210th pick / 2015,$222354
15,John Ross\RossJo00,24,WR,13,10,190,5-11,Washington,11/27/1994,1,2,Cincinnati Bengals / 1st / 9th pick / 2017,$1242994
20,KeiVarae Russell\RussKe00,25,db,7,1,196,5-11,Notre Dame,10/19/1993,2,1,Kansas City Chiefs / 3rd / 74th pick / 2016,$129200
86,Mason Schreck\SchrMa00,25,,6,0,252,6-5,Buffalo,11/4/1993,Rook,0,Cincinnati Bengals / 7th / 251st pick / 2017,$480000
69,Niles Scott\ScotNi00,23,,6,0,280,6-3,,9/30/1995,Rook,0,,$169410
71,Andre Smith\SmitAn23,31,,3,0,330,6-4,Alabama,1/25/1987,9,0,Cincinnati Bengals / 1st / 6th pick / 2009,$915000
19,Auden Tate\TateAu00,21,,7,0,228,6-5,Florida St.,2/3/1997,Rook,0,Cincinnati Bengals / 7th / 253rd pick / 2018,$480000
91,Josh Tupou\TupoJo00,24,,6,0,345,6-3,Colorado,5/2/1994,1,0,,$555000
87,C.J. Uzomah\UzomC.00,25,TE,16,15,265,6-6,Auburn,1/14/1993,3,4,Cincinnati Bengals / 5th / 157th pick / 2015,$705000
59,Nick Vigil\VigiNi00,25,LB,11,10,240,6-2,Utah St.,8/20/1993,2,4,Cincinnati Bengals / 3rd / 87th pick / 2016,$630000
32,Mark Walton\WaltMa00,21,,14,0,202,5-10,Miami (FL),3/29/1997,Rook,1,Cincinnati Bengals / 4th / 112th pick / 2018,$480000
92,Adolphus Washington\WashAd00,24,,4,0,295,6-4,Ohio St.,11/24/1994,2,0,Buffalo Bills / 3rd / 80th pick / 2016,$518824
63,Christian Westerman\WestCh02,25,,14,0,305,6-3,Arizona St.,2/23/1993,1,1,Cincinnati Bengals / 5th / 161st pick / 2016,$630000
36,Shawn Williams\WillSh02,27,SS,16,16,212,6-0,Georgia,5/13/1991,5,5,Cincinnati Bengals / 3rd / 84th pick / 2013,$3200000
75,Jordan Willis\WillJo09,23,de,16,1,275,6-4,Kansas St.,5/2/1995,1,2,Cincinnati Bengals / 3rd / 73rd pick / 2017,$628000
40,Brandon Wilson\WilsBr01,24,,16,0,200,5-10,Houston,7/27/1994,1,1,Cincinnati Bengals / 6th / 207th pick / 2017,$555000
