No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
52,Ray-Ray Armstrong\ArmsRa01,27,,9,0,220,6-3,Miami (FL),3/5/1991,5,1,,$464706
55,Genard Avery\AverGe00,23,lb,16,5,250,6-0,Memphis,4/26/1995,Rook,4,Cleveland Browns / 5th / 150th pick / 2018,$480000
75,Joel Bitonio*\BitoJo00,27,LG,16,16,305,6-4,Nevada,10/11/1991,4,10,Cleveland Browns / 2nd / 35th pick / 2014,$5500000
20,Briean Boddy-Calhoun\BoddBr01,25,db,16,8,193,5-9,Minnesota,1/21/1993,2,3,,$630000
52,James Burgess\BurgJa01,24,lb,3,2,230,6-0,Louisville,3/9/1994,1,1,,$555000
31,Juston Burris\BurrJu00,25,,4,0,212,6-0,North Carolina St.,8/4/1993,2,0,New York Jets / 4th / 118th pick / 2016,$296471
11,Antonio Callaway\CallAn00,21,WR,16,11,200,5-11,Florida,1/9/1997,Rook,4,Cleveland Browns / 4th / 105th pick / 2018,$480000
38,T.J. Carrie\CarrTr00,28,CB,16,8,204,6-0,Ohio,7/28/1990,4,4,Oakland Raiders / 7th / 219th pick / 2014,$2000000
82,Orson Charles\CharOr00,27,te,13,2,257,6-3,Georgia,1/27/1991,6,0,Cincinnati Bengals / 4th / 116th pick / 2012,$790000
24,Nick Chubb\ChubNi00,23,RB,16,9,227,5-11,Georgia,12/27/1995,Rook,6,Cleveland Browns / 2nd / 35th pick / 2018,$480000
93,Trevon Coley\ColeTr01,24,DT,16,14,310,6-1,Florida Atlantic,7/13/1994,1,7,,$555000
51,Jamie Collins\CollJa00,29,LB,16,16,250,6-3,Southern Miss,10/20/1989,5,9,New England Patriots / 2nd / 52nd pick / 2013,$10650000
4,Britton Colquitt\ColqBr00,33,P,16,0,210,6-3,Tennessee,3/20/1985,8,2,,$2550000
63,Austin Corbett\CorbAu00,23,,11,1,306,6-4,Nevada,9/5/1995,Rook,1,Cleveland Browns / 2nd / 33rd pick / 2018,$480000
94,Carl Davis\DaviCa01,26,,5,0,320,6-5,Iowa,3/2/1992,3,0,Baltimore Ravens / 3rd / 90th pick / 2015,$720750
87,Seth Devalve\DevaSe00,25,te,13,4,245,6-3,Princeton,1/29/1993,2,1,Cleveland Browns / 4th / 138th pick / 2016,$630000
88,Darren Fells\FellDa01,32,TE,16,11,270,6-7,UC Irvine,4/22/1986,5,1,,$1150000
28,E.J. Gaines\GainE.00,26,cb,6,2,191,5-10,Missouri,2/23/1992,4,1,St. Louis Rams / 6th / 188th pick / 2014,$1750000
28,Phillip Gaines\GainPh00,27,,4,0,193,6-0,Rice,4/4/1991,4,0,Kansas City Chiefs / 3rd / 87th pick / 2014,$790000
95,Myles Garrett*\GarrMy00,23,DE,16,16,272,6-4,Texas A&M,12/29/1995,1,14,Cleveland Browns / 1st / 1st pick / 2017,$1847375
2,Zane Gonzalez\GonzZa00,23,,2,0,202,6-0,Arizona St.,5/7/1995,1,-1,Cleveland Browns / 7th / 224th pick / 2017,$555000
12,Josh Gordon\GordJo02,27,wr,1,1,225,6-3,UtahBaylor,4/13/1991,6,0,Cleveland Browns / 2nd / 1st pick / 2012 Supp,$790000
69,Desmond Harrison\HarrDe05,25,T,8,8,295,6-6,,10/8/1993,Rook,4,,$480000
81,Rashard Higgins\HiggRa00,24,wr,13,1,198,6-1,Colorado St.,10/7/1994,2,4,Cleveland Browns / 5th / 172nd pick / 2016,$630000
25,Dontrell Hilliard\HillDo00,23,,11,0,202,5-11,Tulane,2/26/1995,Rook,1,,$129200
59,D'Juan Hines\HineDJ00,24,,13,0,235,6-1,,9/13/1994,Rook,1,,$423529
74,Chris Hubbard\HubbCh00,27,T,16,16,295,6-4,Ala-Birmingham,4/23/1991,5,8,,$2500000
47,Charley Hughlett\HughCh01,28,,16,0,248,6-4,Central Florida,5/16/1990,4,1,,$705000
34,Carlos Hyde\HydeCa00,28,rb,6,5,229,6-0,Ohio St.,9/20/1990,4,2,San Francisco 49ers / 2nd / 57th pick / 2014,$1500000
29,Duke Johnson\JohnDu00,25,rb,16,2,210,5-9,Miami (FL),9/23/1993,3,4,Cleveland Browns / 3rd / 77th pick / 2015,$957000
17,Greg Joseph\JoseGr00,24,K,14,0,208,6-0,,8/4/1994,Rook,2,,$423529
68,Kyle Kalis\KaliKy00,25,,3,0,306,6-4,Michigan,12/21/1993,1,0,,$163325
26,Derrick Kindred\KindDe00,25,db,16,2,210,5-10,TCU,12/15/1993,2,2,Cleveland Browns / 4th / 129th pick / 2016,$630000
58,Christian Kirksey\KirkCh00,26,lb,7,7,235,6-2,Iowa,8/31/1992,4,4,Cleveland Browns / 3rd / 71st pick / 2014,$5000000
80,Jarvis Landry*\LandJa00,26,WR,16,14,206,5-11,LSU,11/28/1992,4,7,Miami Dolphins / 2nd / 63rd pick / 2014,$3500000
99,Devaroe Lawrence\LawrDe02,26,,1,0,295,6-2,Auburn,10/13/1992,Rook,0,,$480000
6,Baker Mayfield\MayfBa00,23,QB,14,13,215,6-1,Oklahoma,4/14/1995,Rook,10,Cleveland Browns / 1st / 1st pick / 2018,$480000
36,Jeremiah McKinnon\McKiJe01,25,,1,0,192,5-11,,6/29/1993,Rook,0,,$129200
39,Terrance Mitchell\MitcTe00,26,cb,8,7,191,5-11,Oregon,5/17/1992,4,3,Dallas Cowboys / 7th / 254th pick / 2014,$1500000
85,David Njoku\NjokDa00,22,TE,16,14,246,6-4,Miami (FL),7/10/1996,1,5,Cleveland Browns / 1st / 29th pick / 2017,$897959
90,Emmanuel Ogbah\OgbaEm00,25,DE,14,14,275,6-4,Oklahoma St.,11/6/1993,2,7,Cleveland Browns / 2nd / 32nd pick / 2016,$1050876
65,Larry Ogunjobi\OgunLa00,24,DT,16,16,305,6-3,Charlotte,6/3/1994,1,8,Cleveland Browns / 3rd / 65th pick / 2017,$642500
22,Jabrill Peppers\PeppJa00,23,S,16,16,213,5-11,Michigan,10/4/1995,1,6,Cleveland Browns / 1st / 25th pick / 2017,$935090
