
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
70,Oday Aboushi\AbouOd00,27,rg,8,6,315,6-5,Virginia,6/5/1991,5,2,New York Jets / 5th / 141st pick / 2013,$464710
38,David Amerson\AmerDa00,27,cb,6,5,205,6-1,North Carolina St.,12/8/1991,5,2,Washington Redskins / 2nd / 51st pick / 2013,$278824
58,Thurston Armbrister\ArmbTh00,26,,1,0,239,6-2,Miami (FL),12/25/1992,3,0,,$185295
36,Budda Baker\BakeBu00,22,SS,14,13,195,5-10,Washington,1/10/1996,1,5,Arizona Cardinals / 2nd / 36th pick / 2017,$775455
60,Joe Barksdale\BarkJo00,30,t,4,4,326,6-5,LSU,1/1/1988,7,1,Oakland Raiders / 3rd / 92nd pick / 2011,$212294
23,Bene Benwikere\BenwBe00,27,CB,11,8,195,6-0,San Jose St.,9/3/1991,4,3,Carolina Panthers / 5th / 148th pick / 2014,$790000
41,Antoine Bethea\BethAn20,34,FS,16,16,206,5-11,Howard,7/27/1984,12,5,Indianapolis Colts / 6th / 207th pick / 2006,$3000000
33,Tre Boston\BostTr00,26,S,14,13,205,6-1,North Carolina,6/25/1992,4,5,Carolina Panthers / 4th / 128th pick / 2014,$1000000
9,Sam Bradford\BradSa00,31,qb,3,3,224,6-4,Oklahoma,11/8/1987,8,1,St. Louis Rams / 1st / 1st pick / 2010,$5000000
46,Aaron Brewer\BrewAa00,28,,16,0,232,6-5,San Diego St.,7/5/1990,6,1,,$790000
20,Deone Bucannon\BucaDe00,26,lb,13,6,211,6-1,Washington St.,8/30/1992,4,4,Arizona Cardinals / 1st / 27th pick / 2014,$8718000
57,Josh Bynes\ByneJo00,29,MLB,11,11,235,6-1,Auburn,8/24/1989,7,6,,$790000
75,Blaine Clausell\ClauBl01,26,,2,0,330,6-6,Mississippi St.,1/31/1992,Rook,0,,$555000
64,Mason Cole\ColeMa02,22,C,16,16,292,6-5,Michigan,3/28/1996,Rook,4,Arizona Cardinals / 3rd / 97th pick / 2018,$480000
32,Derrick Coleman\ColeDe00,28,fb,16,4,233,6-0,UCLA,10/18/1990,6,0,,$790000
10,Pharoh Cooper\CoopPh00,23,,2,0,208,5-11,South Carolina,3/7/1995,2,0,Los Angeles Rams / 4th / 117th pick / 2016,$406941
79,Korey Cunningham\CunnKo00,23,t,6,6,305,6-6,Cincinnati,5/17/1995,Rook,2,Arizona Cardinals / 7th / 254th pick / 2018,$480000
81,Darrell Daniels\DaniDa02,24,te,2,1,254,6-3,Washington,11/22/1994,1,0,,$555000
4,Phil Dawson\dawsophi01,43,K,10,0,200,5-11,Texas,1/23/1975,19,1,,$2500000
54,Vontarrius Dora\DoraVo00,26,,3,0,256,6-4,Louisiana Tech,9/7/1992,2,0,,$130588
15,Malachi Dupre\DuprMa01,23,,1,0,196,6-2,LSU,10/12/1995,Rook,0,Green Bay Packers / 7th / 247th pick / 2017,$28235
29,Chase Edmonds\EdmoCh00,22,,16,0,210,5-9,Fordham,4/13/1996,Rook,2,Arizona Cardinals / 4th / 134th pick / 2018,$480000
11,Larry Fitzgerald\FitzLa00,35,WR,16,16,218,6-3,Pittsburgh,8/31/1983,14,5,Arizona Cardinals / 1st / 3rd pick / 2004,$11000000
30,Rudy Ford\FordRu00,24,s,13,1,204,5-11,Auburn,11/1/1994,1,1,Arizona Cardinals / 6th / 208th pick / 2017,$555000
92,Dennis Gardeck\GardDe01,24,,16,0,242,6-0,,8/9/1994,Rook,1,,$480000
7,Mike Glennon\GlenMi00,29,,2,0,229,6-6,North Carolina St.,12/12/1989,5,0,Tampa Bay Buccaneers / 3rd / 73rd pick / 2013,$1000000
44,Markus Golden\GoldMa00,27,DE,11,11,260,6-3,Missouri,3/13/1991,3,5,Arizona Cardinals / 2nd / 58th pick / 2015,$969318
75,Zack Golditch\GoldZa00,23,,2,0,260,6-6,,2/22/1995,Rook,0,,$225880
5,Zane Gonzalez\GonzZa00,23,,5,0,202,6-0,Arizona St.,5/7/1995,1,1,Cleveland Browns / 7th / 224th pick / 2017,$163235
78,Colby Gossett\GossCo00,23,lg,5,4,311,6-5,Appalachian St.,6/23/1995,Rook,1,Minnesota Vikings / 6th / 213th pick / 2018,$254115
84,Jermaine Gresham\GresJe00,30,TE,13,11,260,6-5,Oklahoma,6/16/1988,8,1,Cincinnati Bengals / 1st / 21st pick / 2010,$5250000
