No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
48,Shaquil Barrett\BarrSh00,26,,13,0,250,6-2,Colorado St.,11/17/1992,4,1,,$2914000
40,Keishawn Bierria\BierKe00,23,,16,0,230,6-0,Washington,7/26/1995,Rook,1,Denver Broncos / 6th / 217th pick / 2018,$480000
72,Garett Bolles\BollGa00,26,T,16,16,297,6-5,Utah,5/27/1992,1,8,Denver Broncos / 1st / 20th pick / 2017,$966450
23,Devontae Booker\BookDe00,26,,16,0,219,5-11,Utah,5/27/1992,2,3,Denver Broncos / 4th / 136th pick / 2016,$630000
22,Tramaine Brock\BrocTr00,30,rcb,12,5,188,5-10,Mississippi Gulf Coast J.C.; Bellhaven,8/20/1988,8,2,,$2000000
80,Jake Butt\ButtJa00,23,te,3,3,250,6-6,Michigan,7/11/1995,Rook,1,Denver Broncos / 5th / 145th pick / 2017,$480000
55,Bradley Chubb\ChubBr00,22,LB,16,16,269,6-4,North Carolina St.,6/24/1996,Rook,8,Denver Broncos / 1st / 5th pick / 2018,$480000
11,River Cracraft\CracRi00,24,,8,0,198,6-0,Washington St.,11/1/1994,Rook,0,,$254115
21,Sua Cravens\CravSu00,23,,5,0,224,6-1,USC,7/7/1995,2,1,Washington Redskins / 2nd / 53rd pick / 2016,$651408
51,Todd Davis\DaviTo01,26,LB,16,16,230,6-1,Sacramento St.,5/17/1992,4,9,,$3000000
28,Royce Freeman\FreeRo00,22,RB,14,8,229,6-0,Oregon,2/24/1996,Rook,3,Denver Broncos / 3rd / 71st pick / 2018,$480000
76,Max Garcia\GarcMa00,27,lg,9,4,309,6-4,Florida,11/9/1991,3,2,Denver Broncos / 4th / 133rd pick / 2015,$1907000
99,Adam Gotsis\GotsAd00,26,DE,16,12,287,6-4,Georgia Tech,9/23/1992,2,7,Denver Broncos / 2nd / 63rd pick / 2016,$807991
75,Gino Gradkowski\GradGi00,30,,7,0,300,6-3,Delaware,11/5/1988,6,0,Baltimore Ravens / 4th / 98th pick / 2012,$325297
17,DaeSean Hamilton\HamiDa01,23,wr,14,5,203,6-1,Penn St.,3/10/1995,Rook,2,Denver Broncos / 4th / 113th pick / 2018,$480000
25,Chris Harris\HarrCh01,29,RCB,12,12,199,5-10,Kansas,6/18/1989,7,9,,$7400000
96,Shelby Harris\HarrSh00,27,,16,0,300,6-3,Illinois St.,8/11/1991,4,2,Oakland Raiders / 7th / 235th pick / 2014,$705000
85,Temarrick Hemingway\HemiTe00,25,,5,0,246,6-5,South Carolina St.,7/30/1993,2,0,Los Angeles Rams / 6th / 177th pick / 2016,$185294
82,Jeff Heuerman\HeueJe00,26,TE,11,10,255,6-5,Ohio St.,11/24/1992,2,2,Denver Broncos / 3rd / 92nd pick / 2015,$705000
46,Jeff Holland\HollJe01,21,,3,0,249,6-2,Auburn,9/27/1997,Rook,0,,$129200
18,Andre Holmes\HolmAn00,30,,3,0,210,6-4,Hillsdale,6/16/1988,7,0,,$1000000
