No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
21,Ameer Abdullah\AbduAm00,25,,3,0,203,5-9,Nebraska,6/13/1993,3,0,Detroit Lions / 2nd / 54th pick / 2015,$876745
39,Jamal Agnew\AgneJa00,23,,6,0,190,5-10,San Diego,4/3/1995,1,1,Detroit Lions / 5th / 165th pick / 2017,$555000
94,Ezekiel Ansah\AnsaEz00,29,de,7,2,275,6-5,BYU,5/29/1989,5,2,Detroit Lions / 1st / 5th pick / 2013,$17143000
99,John Atkins\AtkiJo01,26,,2,0,320,6-3,,12/21/1992,Rook,0,,$56470
53,Trevor Bates\BateTr00,25,,9,0,247,6-2,Maine,8/28/1993,2,1,Indianapolis Colts / 7th / 239th pick / 2016,$129200
43,Nick Bellore\BellNi01,29,fb,14,4,250,6-1,Central Michigan,5/12/1989,7,0,,$915000
29,LeGarrette Blount\BlouLe00,32,RB,16,8,247,6-0,East Mississippi CCOregon,12/5/1986,8,3,,$1000000
,Don Carey\CareDo00,31,,1,0,202,5-11,Norfolk St.,2/14/1987,8,0,Cleveland Browns / 6th / 177th pick / 2009,
8,Matt Cassel\CassMa00,36,,2,0,225,6-4,USC,5/17/1982,13,0,New England Patriots / 7th / 230th pick / 2005,$1015000
21,Marcus Cooper\CoopMa00,28,,4,0,197,6-2,Rutgers,2/1/1990,5,0,San Francisco 49ers / 7th / 252nd pick / 2013,$900000
65,Tyrell Crosby\CrosTy00,23,t,10,2,309,6-4,Oregon,9/5/1995,Rook,2,Detroit Lions / 5th / 153rd pick / 2018,$480000
86,Jerome Cunningham\CunnJe00,27,,3,0,250,6-3,Southern Connecticut,5/25/1991,4,0,,$111176
66,Joe Dahl\DahlJo00,25,fb,10,1,305,6-4,Washington St.,4/9/1993,2,1,Detroit Lions / 5th / 151st pick / 2016,$630000
40,Jarrad Davis\DaviJa01,23,MLB,16,16,238,6-1,Florida,11/16/1995,1,9,Detroit Lions / 1st / 21st pick / 2017,$963599
68,Taylor Decker\DeckTa00,25,T,16,16,311,6-7,Ohio St.,8/23/1993,2,8,Detroit Lions / 1st / 16th pick / 2016,$1446998
28,Quandre Diggs\DiggQu00,25,SS,16,16,200,5-9,Texas,1/22/1993,3,6,Detroit Lions / 6th / 200th pick / 2015,$1000000
70,Andrew Donnal\DonnAn00,26,,2,0,305,6-6,Iowa,3/3/1992,3,0,St. Louis Rams / 4th / 119th pick / 2015,$705000
12,Bruce Ellington\ElliBr00,27,wr,4,2,200,5-9,South Carolina,8/22/1991,4,1,San Francisco 49ers / 4th / 106th pick / 2014,$371765
