No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
50,Tyrell Adams\AdamTy00,26,,4,0,230,6-2,West Georgia,4/11/1992,2,0,,$481765
88,Jordan Akins\AkinJo00,26,te,16,6,243,6-4,Central Florida,4/19/1992,Rook,2,Houston Texans / 3rd / 98th pick / 2018,$480000
20,Johnson Bademosi\BadeJo00,28,,16,0,219,6-0,Stanford,7/23/1990,6,1,,$1250000
97,Angelo Blackson\BlacAn00,26,de,16,4,319,6-4,Auburn,11/14/1992,3,4,Tennessee Titans / 4th / 100th pick / 2015,$850000
28,Alfred Blue\BlueAl00,27,rb,16,2,229,6-2,LSU,4/27/1991,4,5,Houston Texans / 6th / 181st pick / 2014,$790000
39,Deante Burton\BurtDe00,24,,2,0,205,6-2,Kansas St.,7/12/1994,Rook,0,,$254115
14,DeAndre Carter\CartDe02,25,wr,7,3,190,5-8,,4/10/1993,Rook,2,,$480000
90,Jadeveon Clowney\ClowJa00,25,LB,15,14,255,6-5,South Carolina,2/14/1993,4,11,Houston Texans / 1st / 1st pick / 2014,$12306000
18,Sammie Coates\CoatSa00,25,,12,0,213,6-1,Auburn,3/31/1993,3,0,Pittsburgh Steelers / 3rd / 87th pick / 2015,$705000
51,Dylan Cole\ColeDy00,24,,8,0,237,6-0,Missouri State,5/19/1994,1,1,,$555000
22,Aaron Colvin\ColvAa00,27,cb,10,2,191,6-0,Oklahoma,10/2/1991,4,2,Jacksonville Jaguars / 4th / 114th pick / 2014,$2500000
16,Keke Coutee\CoutKe00,21,wr,6,2,180,5-11,Texas Tech,1/14/1997,Rook,2,Houston Texans / 4th / 103rd pick / 2018,$480000
95,Christian Covington\CoviCh00,25,de,12,2,310,6-2,Rice,10/16/1993,3,2,Houston Texans / 6th / 216th pick / 2015,$705000
41,Zach Cunningham\CunnZa00,24,LB,14,14,238,6-3,Vanderbilt,12/12/1994,1,9,Houston Texans / 2nd / 57th pick / 2017,$668261
8,Trevor Daniel\DaniTr00,24,P,16,0,231,6-1,,12/8/1994,Rook,2,,$480000
70,Julien Davenport\DaveJu00,23,T,16,15,325,6-7,Bucknell,1/9/1995,1,8,Houston Texans / 4th / 130th pick / 2017,$555000
92,Brandon Dunn\DunnBr00,26,NT,14,10,310,6-2,Louisville,9/5/1992,4,5,,$790000
53,Duke Ejiofor\EjioDu00,23,,12,0,255,6-4,Wake Forest,4/24/1995,Rook,1,Houston Texans / 6th / 177th pick / 2018,$480000
12,Bruce Ellington\ElliBr00,27,wr,3,1,200,5-9,South Carolina,8/22/1991,4,1,San Francisco 49ers / 4th / 106th pick / 2014,$730000
21,Tyler Ervin\ErviTy00,25,,9,0,185,5-10,San Jose St.,10/7/1993,2,0,Houston Texans / 4th / 119th pick / 2016,$630000
7,Kaimi Fairbairn\FairKa01,24,K,16,0,183,6-0,UCLA,1/29/1994,1,4,,$555000
27,DOnta Foreman\ForeDO00,22,,1,0,236,6-1,Texas,4/24/1996,1,0,Houston Texans / 3rd / 89th pick / 2017,$588500
15,Will Fuller\FullWi01,24,wr,7,7,184,6-0,Notre Dame,4/16/1994,2,4,Houston Texans / 1st / 21st pick / 2016,$1378028
73,Zach Fulton\FultZa00,27,RG,13,13,321,6-5,Tennessee,9/23/1991,4,6,Kansas City Chiefs / 6th / 193rd pick / 2014,$1500000
84,Ryan Griffin\GrifRy00,28,TE,14,11,264,6-6,Connecticut,1/11/1990,5,3,Houston Texans / 6th / 201st pick / 2013,$2250000
29,Andre Hal\HalxAn00,26,s,8,2,184,5-10,Vanderbilt,5/30/1992,4,2,Houston Texans / 7th / 216th pick / 2014,$3250000
93,Joel Heath\HeatJo00,25,,5,0,302,6-6,Michigan St.,6/18/1993,2,0,,$630000
76,Seantrel Henderson\HendSe00,26,t,1,1,351,6-7,Miami (FL),1/21/1992,4,1,Buffalo Bills / 7th / 237th pick / 2014,$1700000
10,DeAndre Hopkins\HopkDe00,26,WR,16,16,212,6-1,Clemson,6/6/1992,5,13,Houston Texans / 1st / 27th pick / 2013,$12500000
38,Buddy Howell\HoweBu00,22,,4,0,218,6-1,,3/27/1996,Rook,0,,$480000
38,Gregory Howell\HoweGr00,22,,15,0,215,6-1,,3/27/1996,Rook,0,,$480000
25,Kareem Jackson\JackKa99,30,CB,16,16,183,5-10,Alabama,4/10/1988,8,7,Houston Texans / 1st / 20th pick / 2010,$6500000
27,Natrell Jamerson\JameNa00,23,,10,0,201,5-11,Wisconsin,12/15/1995,Rook,1,New Orleans Saints / 5th / 164th pick / 2018,$480000
30,Kevin Johnson\JohnKe04,26,cb,1,1,182,6-0,Wake Forest,8/5/1992,3,0,Houston Texans / 1st / 16th pick / 2015,$1805375
63,Roderick Johnson\JohnRo06,23,,1,0,306,6-6,Florida St.,11/28/1995,Rook,0,Cleveland Browns / 5th / 160th pick / 2017,$451765
24,Johnathan Joseph\JoseJo20,34,CB,14,14,186,5-11,South Carolina,4/16/1984,12,6,Cincinnati Bengals / 1st / 24th pick / 2006,$2400000
58,Peter Kalambayi\KalaPe00,23,,15,0,254,6-3,Stanford,6/26/1995,Rook,1,Houston Texans / 6th / 214th pick / 2018,$480000
64,Senio Kelemete\KeleSe00,28,LG,15,14,301,6-3,Washington,5/10/1990,6,6,Arizona Cardinals / 5th / 151st pick / 2012,$1250000
49,Josh Keyes\KeyeJo00,25,,3,0,225,6-2,Boston Col.,1/23/1993,3,0,,$456176
74,Kendall Lamm\LammKe00,26,T,15,13,299,6-6,Appalachian St.,6/5/1992,3,7,,$705000
65,Greg Mancz\MancGr00,26,rg,16,4,302,6-4,Toledo,4/23/1992,3,3,,$1907000
66,Nick Martin\MartNi00,25,C,16,16,295,6-4,Notre Dame,4/29/1993,1,7,Houston Texans / 2nd / 50th pick / 2016,$884088
32,Tyrann Mathieu\MathTy00,26,S,16,16,190,5-9,LSU,5/13/1992,5,7,Arizona Cardinals / 3rd / 69th pick / 2013,$2000000
55,Benardrick McKinney\McKiBe00,26,MLB,16,16,257,6-4,Mississippi St.,11/19/1992,3,11,Houston Texans / 2nd / 43rd pick / 2015,$1163880
59,Whitney Mercilus\MercWh00,28,LB,16,9,258,6-4,Illinois,7/21/1990,6,5,Houston Texans / 1st / 26th pick / 2012,$4750000
26,Lamar Miller\MillLa01,27,RB,14,14,221,5-10,Miami (FL),4/25/1991,6,8,Miami Dolphins / 4th / 97th pick / 2012,$5000000
11,Steven Mitchell\MitcSt02,24,,1,0,186,5-10,USC,5/2/1994,Rook,0,,$68400
33,A.J. Moore\MoorA.00,23,,16,0,200,5-11,,12/15/1995,Rook,1,,$480000
52,Brian Peters\PeteBr00,30,,11,0,237,6-4,Northwestern,10/31/1988,3,1,,$705000
75,Martinas Rankin\RankMa00,24,t,16,4,311,6-5,Mississippi St.,10/20/1994,Rook,3,Houston Texans / 3rd / 80th pick / 2018,$480000
98,D.J. Reader\ReadD.00,24,DE,16,16,347,6-3,Clemson,7/1/1994,2,8,Houston Texans / 5th / 166th pick / 2016,$630000
20,Justin Reid\ReidJu00,21,S,16,12,203,6-1,Stanford,2/15/1997,Rook,6,Houston Texans / 3rd / 68th pick / 2018,$480000
57,Brennan Scarlett\ScarBr00,25,lb,12,3,263,6-4,CaliforniaStanford,7/31/1993,2,3,,$630000
71,David Sharpe\SharDa02,23,,2,0,343,6-6,Florida,10/21/1995,1,0,Oakland Raiders / 4th / 129th pick / 2017,$457059
17,Vyncint Smith\SmitVy00,22,wr,7,1,202,6-3,Limestone,6/9/1996,Rook,1,,$480000
87,Demaryius Thomas\ThomDe03,31,wr,7,7,229,6-3,Georgia Tech,12/25/1987,8,2,Denver Broncos / 1st / 22nd pick / 2010,$8500000
83,Jordan Thomas\ThomJo05,22,TE,16,10,277,6-5,Mississippi St.,8/2/1996,Rook,2,Houston Texans / 6th / 211th pick / 2018,$480000
34,Michael Tyson\TysoMi00,25,s,10,2,200,6-2,Cincinnati,7/27/1993,Rook,1,Seattle Seahawks / 6th / 187th pick / 2017,$391765
91,Carlos Watkins\WatkCa00,25,,4,0,297,6-3,Clemson,12/5/1993,1,0,Houston Texans / 4th / 142nd pick / 2017,$555000
4,Deshaun Watson\WatsDe00,23,QB,16,16,220,6-2,Clemson,9/14/1995,1,16,Houston Texans / 1st / 12th pick / 2017,$1094740
99,J.J. Watt\WattJ.00,29,DE,16,16,288,6-5,Central MichiganWisconsin,3/22/1989,7,16,Houston Texans / 1st / 11th pick / 2011,$11000000
5,Joe Webb\WebbJo00,32,,16,0,231,6-4,Ala-Birmingham,11/14/1986,8,0,Minnesota Vikings / 6th / 199th pick / 2010,$915000
36,Kayvon Webster\WebsKa00,27,cb,2,2,193,5-11,South Florida,2/1/1991,5,1,Denver Broncos / 3rd / 90th pick / 2013,$790000
3,Brandon Weeden\WeedBr00,35,,1,0,227,6-3,Oklahoma St.,10/14/1983,6,0,Cleveland Browns / 1st / 22nd pick / 2012,$790000
46,Jon Weeks\WeekJo00,32,,16,0,242,5-10,Baylor,2/17/1986,8,1,,$915000
