No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
54,Eli Ankou\AnkoEl00,24,,2,0,325,6-3,UCLA,6/8/1994,1,0,,$555000
87,Blake Bell\BellBl00,27,te,10,4,252,6-6,Oklahoma,8/7/1991,3,0,San Francisco 49ers / 4th / 117th pick / 2015,$456176
40,Tommy Bohanon\BohaTo00,28,fb,16,6,246,6-1,Wake Forest,9/10/1990,5,0,New York Jets / 7th / 215th pick / 2013,$790000
31,Breon Borders\BordBr00,23,,1,0,189,6-0,Duke,7/22/1995,1,0,,$65294
5,Blake Bortles\BortBl00,26,QB,13,12,236,6-5,Central Florida,4/28/1992,4,6,Jacksonville Jaguars / 1st / 3rd pick / 2014,$5000000
21,A.J. Bouye\BouyA.00,27,RCB,13,13,191,6-0,Central Florida,8/16/1991,5,5,,$13000000
53,Blair Brown\BrowBl00,24,,15,0,238,5-11,Ohio,5/27/1994,1,1,Jacksonville Jaguars / 5th / 148th pick / 2017,$555000
90,Taven Bryan\BryaTa00,22,dt,16,1,291,6-4,Florida,3/11/1996,Rook,2,Jacksonville Jaguars / 1st / 29th pick / 2018,$480000
93,Calais Campbell*\CampCa99,32,DE,16,16,300,6-8,Miami (FL),9/1/1986,10,13,Arizona Cardinals / 2nd / 50th pick / 2008,$15000000
60,A.J. Cann\CannA.00,27,RG,15,15,325,6-3,South Carolina,10/3/1991,3,5,Jacksonville Jaguars / 3rd / 67th pick / 2015,$1907000
17,DJ Chark\CharDJ00,22,,11,0,198,6-4,LSU,9/23/1996,Rook,1,Jacksonville Jaguars / 2nd / 61st pick / 2018,$480000
31,Jamaal Charles\CharJa00,32,,2,0,199,5-11,Texas,12/27/1986,10,0,Kansas City Chiefs / 3rd / 73rd pick / 2008,$716471
42,Barry Church\ChurBa99,30,SS,11,11,218,6-2,Toledo,2/11/1988,8,4,,$4500000
84,Keelan Cole\ColeKe00,25,WR,16,11,194,6-1,,4/20/1993,1,3,,$555000
9,Logan Cooke\CookLo00,23,P,16,0,200,6-5,Mississippi St.,7/28/1995,Rook,2,Jacksonville Jaguars / 7th / 247th pick / 2018,$480000
99,Marcell Dareus\DareMa00,28,NT,15,15,331,6-3,Alabama,3/13/1990,7,8,Buffalo Bills / 1st / 3rd pick / 2011,$9925000
22,Cody Davis\DaviCo02,29,,16,0,203,6-2,Texas Tech,6/6/1989,5,1,,$1500000
37,Dee Delaney\DelaDe00,23,,2,0,200,5-11,The CitadelMiami (FL),2/20/1995,Rook,0,,$129200
57,Nick DeLuca\DeLuNi00,23,lb,9,2,251,6-3,,1/27/1995,Rook,2,,$129200
75,Ereck Flowers\FlowEr00,24,t,8,7,334,6-6,Miami (FL),4/25/1994,3,3,New York Giants / 1st / 9th pick / 2015,$497647
2,Kai Forbath\ForbKa00,31,,3,0,197,5-11,UCLA,9/2/1987,7,0,,$139412
27,Leonard Fournette\FourLe00,23,RB,8,8,228,6-0,LSU,1/18/1995,1,3,Jacksonville Jaguars / 1st / 4th pick / 2017,$1699129
56,Dante Fowler\FowlDa00,24,,7,0,255,6-3,Florida,8/3/1994,2,1,Jacksonville Jaguars / 1st / 3rd pick / 2015,$3638216
39,Tashaun Gipson\GipsTa00,28,FS,16,16,212,5-11,Wyoming,8/7/1990,6,6,,$5750000
30,Corey Grant\GranCo00,27,rb,5,1,203,5-11,Auburn,12/19/1991,3,1,,$2914000
13,Rashad Greene\GreeRa00,26,wr,8,1,186,5-11,Florida St.,9/23/1992,3,0,Jacksonville Jaguars / 5th / 139th pick / 2015,$705000
86,David Grinnage\GrinDa00,24,te,4,2,265,6-5,North Carolina St.,2/24/1994,Rook,0,,$129200
36,Ronnie Harrison\HarrRo02,21,s,14,8,214,6-3,Alabama,4/18/1997,Rook,4,Jacksonville Jaguars / 3rd / 93rd pick / 2018,$480000
25,D.J. Hayden\HaydDJ00,28,cb,10,6,190,5-11,Houston,6/27/1990,5,3,Oakland Raiders / 1st / 12th pick / 2013,$2250000
41,Tre Herndon\HernTr00,22,,11,0,185,5-11,,3/5/1996,Rook,1,,$480000
34,Carlos Hyde\HydeCa00,28,rb,8,2,229,6-0,Ohio St.,9/20/1990,4,1,San Francisco 49ers / 2nd / 57th pick / 2014,$1500000
44,Myles Jack\JackMy00,23,MLB,16,16,244,6-1,UCLA,9/3/1995,2,10,Jacksonville Jaguars / 2nd / 36th pick / 2016,$1025858
