No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
73,Jeff Allen\AlleJe01,28,lg,10,4,305,6-4,Illinois,1/8/1990,6,3,Kansas City Chiefs / 2nd / 44th pick / 2012,$511176
97,Allen Bailey\BailAl00,29,DE,16,13,288,6-3,Miami (FL),3/25/1989,7,6,Kansas City Chiefs / 3rd / 86th pick / 2011,$5400000
81,Kelvin Benjamin\BenjKe00,27,,3,0,245,6-5,Florida St.,2/5/1991,4,0,Carolina Panthers / 1st / 28th pick / 2014,$185882
29,Eric Berry\BerrEr99,30,s,2,2,212,6-0,Tennessee,12/29/1988,8,1,Kansas City Chiefs / 1st / 5th pick / 2010,$8900000
7,Harrison Butker\ButkHa00,23,K,16,0,205,6-3,Georgia Tech,7/14/1995,1,4,Carolina Panthers / 7th / 233rd pick / 2017,$555000
2,Dustin Colquitt\ColqDu20,36,P,16,0,210,6-3,Tennessee,5/6/1982,13,2,Kansas City Chiefs / 3rd / 99th pick / 2005,$1015000
17,Chris Conley\ConlCh00,26,WR,16,13,205,6-3,Georgia,10/25/1992,3,4,Kansas City Chiefs / 3rd / 76th pick / 2015,$1882000
65,Jordan Devey\DeveJo00,30,rg,7,2,320,6-6,Memphis,1/11/1988,5,2,,$790000
12,Gehrig Dieter\DietGe00,25,,4,0,208,6-2,Alabama,2/24/1993,Rook,0,,$129200
76,Laurent Duvernay-Tardif\DuveLa00,27,rg,5,5,321,6-5,McGill,2/11/1991,4,3,Kansas City Chiefs / 6th / 200th pick / 2014,$3310000
82,Alex Ellis\ElliAl01,25,,2,0,236,6-4,Tennessee,2/10/1993,2,0,,$555000
75,Cameron Erving\ErviCa00,26,LG,14,13,313,6-5,Florida St.,8/23/1992,3,7,Cleveland Browns / 1st / 19th pick / 2015,$1720781
72,Eric Fisher*\FishEr00,27,T,16,16,315,6-7,Central Michigan,1/5/1991,5,14,Kansas City Chiefs / 1st / 1st pick / 2013,$11150000
55,Dee Ford*\FordDe00,27,LOLB,16,16,252,6-2,Auburn,3/19/1991,4,8,Kansas City Chiefs / 1st / 23rd pick / 2014,$8718000
23,Kendall Fuller\FullKe00,23,lcb,15,15,198,5-11,Virginia Tech,2/13/1995,2,4,Washington Redskins / 3rd / 84th pick / 2016,$647500
74,Justin Hamilton\HamiJu00,25,,4,0,315,6-2,,7/27/1993,1,0,,$555000
84,Demetrius Harris\HarrDe03,27,te,15,3,230,6-7,Wisconsin–Milwaukee,7/29/1991,5,2,,$1850000
4,Chad Henne\HennCh01,33,,1,0,222,6-3,Michigan,7/2/1985,10,0,Miami Dolphins / 2nd / 57th pick / 2008,$1015000
10,Tyreek Hill*+\HillTy00,24,WR,16,16,185,5-10,West Alabama,3/1/1994,2,18,Kansas City Chiefs / 5th / 165th pick / 2016,$630000
53,Anthony Hitchens\HitcAn00,26,LILB,15,15,235,6-0,Iowa,6/10/1992,4,6,Dallas Cowboys / 4th / 119th pick / 2014,$790000
50,Justin Houston\HousJu00,29,lolb,12,12,258,6-3,Georgia,1/12/1989,7,5,Kansas City Chiefs / 3rd / 70th pick / 2011,$14750000
27,Kareem Hunt\HuntKa00,23,RB,11,11,216,5-11,Toledo,8/6/1995,1,11,Kansas City Chiefs / 3rd / 86th pick / 2017,$575250
