No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
35,Walt Aikens\AikeWa00,27,s,16,1,208,6-1,Liberty,6/19/1991,4,1,Miami Dolphins / 4th / 125th pick / 2014,$800000
59,Chase Allen\AlleCh02,25,lb,5,1,250,6-3,Southern Illinois,8/29/1993,1,1,,$555000
47,Kiko Alonso\AlonKi00,28,LB,15,15,239,6-3,Oregon,8/14/1990,5,7,Buffalo Bills / 2nd / 46th pick / 2013,$7875000
80,Danny Amendola\AmenDa00,33,WR,15,15,190,5-11,Texas Tech,11/2/1985,9,4,,$2950000
44,Stephone Anthony\AnthSt00,26,,16,0,245,6-3,Clemson,7/28/1992,3,1,New Orleans Saints / 1st / 31st pick / 2015,$1087150
31,Cornell Armstrong\ArmsCo00,23,,15,0,185,6-0,Southern Miss,9/22/1995,Rook,1,Miami Dolphins / 6th / 209th pick / 2018,$480000
68,Isaac Asiata\AsiaIs00,26,,1,0,345,6-3,Utah,12/29/1992,1,0,Miami Dolphins / 5th / 164th pick / 2017,$129200
55,Jerome Baker\BakeJe00,22,LB,16,11,215,6-2,Ohio St.,12/25/1996,Rook,6,Miami Dolphins / 3rd / 73rd pick / 2018,$480000
27,Kalen Ballage\BallKa00,23,,12,0,237,6-2,Arizona St.,12/22/1995,Rook,2,Miami Dolphins / 4th / 131st pick / 2018,$480000
38,Brandon Bolden\BoldBr00,28,,16,0,220,5-11,Mississippi,1/26/1990,6,1,,$790000
50,Andre Branch\BranAn00,29,de,14,1,265,6-5,Clemson,7/14/1989,6,2,Jacksonville Jaguars / 2nd / 38th pick / 2012,$7900000
64,Jake Brendel\BrenJa01,26,lg,4,3,299,6-4,UCLA,9/10/1992,2,1,,$393000
14,Brice Butler\ButlBr00,28,wr,6,1,220,6-3,San Diego St.,1/29/1990,5,0,Oakland Raiders / 7th / 209th pick / 2013,$325294
88,Leonte Carroo\CarrLe00,24,,9,0,215,6-1,Rutgers,1/24/1994,2,1,Miami Dolphins / 3rd / 86th pick / 2016,$129200
1,Jalen Davis\DaviJa06,22,,3,0,185,5-10,Utah St.,2/2/1996,Rook,0,,$129200
77,Jesse Davis\DaviJe00,27,RG,16,16,325,6-6,Idaho,9/15/1991,1,10,,$555000
92,John Denney\DennJo20,40,,16,0,242,6-5,BYU,12/13/1978,13,1,,$1015000
85,A.J. Derby\DerbA.00,27,,4,0,240,6-5,Arkansas,9/20/1991,2,0,New England Patriots / 6th / 202nd pick / 2015,$705000
32,Kenyan Drake\DrakKe00,24,rb,16,7,211,6-1,Alabama,1/26/1994,2,7,Miami Dolphins / 3rd / 73rd pick / 2016,$705000
29,Minkah Fitzpatrick\FitzMi00,22,S,16,11,202,6-1,Alabama,11/4/1996,Rook,4,Miami Dolphins / 1st / 11th pick / 2018,$480000
84,Isaiah Ford\FordIs00,22,,1,0,189,6-2,Virginia Tech,2/9/1996,Rook,0,Miami Dolphins / 7th / 237th pick / 2017,$129200
86,Mike Gesicki\GesiMi00,23,te,16,7,245,6-6,Penn St.,10/3/1995,Rook,2,Miami Dolphins / 2nd / 42nd pick / 2018,$480000
56,Davon Godchaux\GodcDa00,24,DT,16,16,315,6-3,LSU,11/11/1994,1,7,Miami Dolphins / 5th / 178th pick / 2017,$555000
21,Frank Gore\GoreFr00,35,RB,14,14,212,5-9,Miami (FL),5/14/1983,13,5,San Francisco 49ers / 3rd / 65th pick / 2005,$1015000
19,Jakeem Grant\GranJa00,26,wr,10,2,169,5-7,Texas Tech,9/30/1992,2,4,Miami Dolphins / 6th / 186th pick / 2016,$630000
2,Matt Haack\HaacMa00,24,P,16,0,202,6-0,Arizona St.,6/25/1994,1,2,,$555000
90,Charles Harris\HarrCh03,23,de,11,1,250,6-3,Missouri,3/6/1995,1,1,Miami Dolphins / 1st / 22nd pick / 2017,$957897
95,William Hayes\HayeWi99,33,,3,0,265,6-3,Winston-Salem St.,5/2/1985,10,0,Tennessee Titans / 4th / 103rd pick / 2008,$4000000
97,Evander Hood\HoodEv99,31,,8,0,305,6-3,Missouri,2/16/1987,9,1,Pittsburgh Steelers / 1st / 32nd pick / 2009,$537353
25,Xavien Howard*\HowaXa00,25,CB,12,12,192,6-1,Baylor,7/4/1993,2,9,Miami Dolphins / 2nd / 38th pick / 2016,$1007094
45,Mike Hull\HullMi01,27,lb,8,1,235,6-0,Penn St.,5/25/1991,3,1,,$705000
70,Ja'Wuan James\JameJa01,26,T,15,15,312,6-6,Tennessee,6/3/1992,4,7,Miami Dolphins / 1st / 19th pick / 2014,$9341000
73,Wesley Johnson\JohnWe00,27,,10,0,309,6-5,Vanderbilt,1/9/1991,4,1,Pittsburgh Steelers / 5th / 173rd pick / 2014,$604118
20,Reshad Jones\JoneRe99,30,S,14,13,215,6-1,Georgia,2/25/1988,8,4,Miami Dolphins / 5th / 163rd pick / 2010,$970000
67,Daniel Kilgore\KilgDa00,31,c,4,4,291,6-3,Appalachian St.,12/18/1987,7,2,San Francisco 49ers / 5th / 163rd pick / 2011,$2525000
62,Ted Larsen\LarsTe20,31,LG,15,13,323,6-3,North Carolina St.,6/13/1987,8,5,New England Patriots / 6th / 205th pick / 2010,$1500000
75,Cameron Malveaux\MalvCa00,24,,5,0,265,6-5,Houston,9/22/1994,1,0,,$367059
28,Bobby McCain\McCaBo01,25,CB,14,13,192,5-11,Memphis,8/18/1993,3,4,Miami Dolphins / 5th / 145th pick / 2015,$705000
22,T.J. McDonald\McDoTJ00,27,S,14,14,223,6-2,USC,1/26/1991,5,4,St. Louis Rams / 3rd / 71st pick / 2013,$1500000
16,Tanner McEvoy\McEvTa01,25,,2,0,230,6-6,Wisconsin,1/26/1993,2,0,,$630000
52,Raekwon McMillan\McMiRa02,23,LB,16,16,248,6-2,Ohio St.,11/17/1995,Rook,7,Miami Dolphins / 2nd / 54th pick / 2017,$678524
24,Torry McTyer\McTyTo00,23,cb,15,4,188,5-11,UNLV,4/10/1995,1,1,,$555000
83,Nick O'Leary\OLeaNi00,26,te,12,7,252,6-3,Florida St.,8/31/1992,3,1,Buffalo Bills / 6th / 194th pick / 2015,$617123
