No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
21,Ameer Abdullah\AbduAm00,25,,7,0,203,5-9,Nebraska,6/13/1993,3,0,Detroit Lions / 2nd / 54th pick / 2015,$876745
20,Mackensie Alexander\AlexMa01,25,cb,15,6,192,5-10,Clemson,11/12/1993,2,3,Minnesota Vikings / 2nd / 54th pick / 2016,$842391
5,Dan Bailey\BailDa00,30,K,14,0,190,6-0,Oklahoma St.,1/26/1988,7,1,,$1750000
55,Anthony Barr\BarrAn00,26,LB,13,13,255,6-5,UCLA,3/18/1992,4,9,Minnesota Vikings / 1st / 9th pick / 2014,$12306000
12,Chad Beebe\BeebCh00,24,,3,0,183,5-10,Northern Illinois,6/1/1994,Rook,0,,$129200
44,Mike Boone\BoonMi00,23,,8,0,206,5-10,,6/30/1995,Rook,0,,$480000
90,Tashawn Bower\BoweTa00,23,,5,0,250,6-5,LSU,2/18/1995,1,1,,$555000
40,Kentrell Brothers\BrotKe00,25,,12,0,242,6-1,Missouri,2/8/1993,2,1,Minnesota Vikings / 5th / 160th pick / 2016,$630000
7,Daniel Carlson\CarlDa00,23,,2,0,213,6-5,Auburn,1/23/1995,Rook,-1,Minnesota Vikings / 5th / 167th pick / 2018,$480000
13,Stacy Coley\ColeSt00,24,,2,0,195,6-0,Miami (FL),5/13/1994,1,0,Minnesota Vikings / 7th / 219th pick / 2017,$555000
79,Tom Compton\CompTo00,29,LG,14,14,315,6-6,South Dakota,5/10/1989,6,6,Washington Redskins / 6th / 193rd pick / 2012,$800000
83,Tyler Conklin\ConkTy00,23,te,16,3,254,6-3,Central Michigan,7/30/1995,Rook,1,Minnesota Vikings / 5th / 157th pick / 2018,$480000
33,Dalvin Cook\CookDa01,23,RB,11,10,210,5-10,Florida St.,8/10/1995,1,6,Minnesota Vikings / 2nd / 41st pick / 2017,$753788
8,Kirk Cousins\CousKi00,30,QB,16,16,202,6-3,Michigan St.,8/19/1988,6,12,Washington Redskins / 4th / 102nd pick / 2012,$22500000
14,Stefon Diggs\DiggSt00,25,WR,15,14,191,6-0,Maryland,11/29/1993,3,8,Minnesota Vikings / 5th / 146th pick / 2015,$1907000
57,Devante Downs\DownDe00,23,,11,0,252,6-2,California,10/18/1995,Rook,1,Minnesota Vikings / 7th / 225th pick / 2018,$480000
65,Pat Elflein\ElflPa00,24,C,14,13,303,6-3,Ohio St.,7/6/1994,1,6,Minnesota Vikings / 3rd / 70th pick / 2017,$637000
42,Ben Gedeon\GedeBe00,24,LB,15,8,244,6-2,Michigan,10/16/1994,1,5,Minnesota Vikings / 4th / 120th pick / 2017,$555000
97,Everson Griffen\GrifEv99,31,DE,11,10,273,6-3,USC,12/22/1987,8,6,Minnesota Vikings / 4th / 100th pick / 2010,$3900000
30,C.J. Ham\HamxC.00,25,rb,15,2,235,5-11,Augustana (SD),7/22/1993,1,1,,$555000
41,Anthony Harris\HarrAn01,27,ss,15,9,202,6-1,Virginia,6/4/1991,3,4,,$705000
24,Holton Hill\HillHo00,21,rcb,16,3,196,6-2,Texas,3/28/1997,Rook,2,,$480000
69,Rashod Hill\HillRa01,26,T,16,8,313,6-6,Southern Miss,1/12/1992,2,5,,$630000
92,Jalyn Holmes\HolmJa01,22,,5,0,283,6-5,Ohio St.,1/25/1996,Rook,1,Minnesota Vikings / 4th / 102nd pick / 2018,$480000
21,Mike Hughes\HughMi00,21,cb,6,2,189,5-10,North CarolinaCentral Florida,2/11/1997,Rook,2,Minnesota Vikings / 1st / 30th pick / 2018,$480000
99,Danielle Hunter\HuntDa01,24,DE,16,16,252,6-5,LSU,10/29/1994,3,17,Minnesota Vikings / 3rd / 88th pick / 2015,$1907000
23,George Iloka\IlokGe00,28,ss,16,3,225,6-4,Boise St.,3/31/1990,6,2,Cincinnati Bengals / 5th / 167th pick / 2012,$790000
63,Danny Isidora\IsidDa00,24,lg,14,2,306,6-3,Miami (FL),6/5/1994,1,2,Minnesota Vikings / 5th / 180th pick / 2017,$555000
36,Craig James\JameCr01,22,,3,0,195,5-10,,4/29/1996,Rook,0,,$141175
94,Jaleel Johnson\JohnJa09,24,nt,16,1,316,6-3,Iowa,7/12/1994,1,2,Minnesota Vikings / 4th / 109th pick / 2017,$555000
96,Tom Johnson\JohnTo01,34,,13,0,285,6-3,Southern Miss,8/30/1984,7,3,,$882353
61,Brett Jones\JoneBr04,27,c,14,3,315,6-2,Regina (Canada),7/29/1991,2,2,,$2914000
98,Linval Joseph\JoseLi99,30,NT,15,15,329,6-4,East Carolina,10/10/1988,8,9,New York Giants / 2nd / 46th pick / 2010,$1150000
27,Jayron Kearse\KearJa00,24,cb,16,1,215,6-4,Clemson,2/11/1994,2,1,Minnesota Vikings / 7th / 244th pick / 2016,$630000
54,Eric Kendricks\KendEr00,26,MLB,14,14,232,6-0,UCLA,2/29/1992,3,8,Minnesota Vikings / 2nd / 45th pick / 2015,$1138080
47,Kevin McDermott\McDeKe00,28,,16,0,240,6-5,UCLA,1/12/1990,5,1,,$790000
89,David Morgan\MorgDa01,25,te,11,6,265,6-4,Texas-San Antonio,5/19/1993,2,0,Minnesota Vikings / 6th / 188th pick / 2016,$630000
25,Latavius Murray\MurrLa00,28,rb,16,6,230,6-3,Central Florida,1/18/1990,5,5,Oakland Raiders / 6th / 181st pick / 2013,$3650000
72,Storm Norton\NortSt00,24,,1,0,317,6-7,Toledo,5/16/1994,Rook,0,,$129200
75,Brian ONeill\ONeiBr00,23,T,15,11,297,6-7,Pittsburgh,9/15/1995,Rook,6,Minnesota Vikings / 2nd / 62nd pick / 2018,$480000
60,David Parry\ParrDa00,26,,3,0,317,6-2,Stanford,3/7/1992,3,0,Indianapolis Colts / 5th / 151st pick / 2015,$630000
71,Riley Reiff\ReifRi00,30,T,13,13,305,6-6,Iowa,12/1/1988,6,7,Detroit Lions / 1st / 23rd pick / 2012,$9100000
74,Mike Remmers\RemmMi00,29,RG,16,16,310,6-5,Oregon St.,4/11/1989,6,7,,$3900000
29,Xavier Rhodes\RhodXa00,28,RCB,14,14,218,6-1,Florida St.,6/19/1990,5,5,Minnesota Vikings / 1st / 25th pick / 2013,$10400000
93,Sheldon Richardson\RichSh00,28,DT,16,16,295,6-3,Missouri,11/29/1990,5,8,New York Jets / 1st / 13th pick / 2013,$5800000
17,Aldrick Robinson\RobiAl00,30,,14,0,185,5-10,SMU,9/24/1988,7,2,Washington Redskins / 6th / 178th pick / 2011,$697059
82,Kyle Rudolph\RudoKy00,29,TE,16,16,265,6-6,Notre Dame,11/9/1989,7,5,Minnesota Vikings / 2nd / 43rd pick / 2011,$6025000
34,Andrew Sendejo\SendAn00,31,ss,5,5,210,6-1,Rice,9/9/1987,8,2,,$3450000
35,Marcus Sherels\SherMa20,31,,12,0,175,5-10,Minnesota,9/30/1987,8,1,,$1050000
22,Harrison Smith\SmitHa00,29,FS,16,16,214,6-2,Notre Dame,2/2/1989,6,12,Minnesota Vikings / 1st / 29th pick / 2012,$7650000
19,Adam Thielen\ThieAd00,28,WR,16,16,200,6-2,Minnesota St.,8/22/1990,5,11,,$3850000
32,Roc Thomas\ThomRo05,23,,5,0,198,5-10,,9/2/1995,Rook,0,,$480000
11,Laquon Treadwell\TreaLa00,23,wr,15,7,215,6-2,Mississippi,6/14/1995,2,2,Minnesota Vikings / 1st / 23rd pick / 2016,$1353180
26,Trae Waynes\WaynTr00,26,LCB,14,14,190,6-0,Michigan St.,7/25/1992,3,5,Minnesota Vikings / 1st / 11th pick / 2015,$2200142
91,Stephen Weatherly\WeatSt00,24,de,16,6,265,6-5,Vanderbilt,3/19/1994,2,5,Minnesota Vikings / 7th / 227th pick / 2016,$630000
6,Matt Wile\WileMa01,26,P,16,0,225,6-2,Michigan,6/20/1992,2,2,,$555000
50,Eric Wilson\WilsEr00,24,lb,16,4,230,6-1,Cincinnati,9/26/1994,1,3,,$555000
15,Brandon Zylstra\ZylsBr00,25,,16,0,215,6-2,,3/25/1993,Rook,0,,$480000
