No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
47,Alex Anzalone\AnzaAl00,24,mlb,16,7,241,6-3,Florida,9/22/1994,1,4,New Orleans Saints / 3rd / 76th pick / 2017,$610000
24,Eli Apple\ApplEl00,23,LCB,10,10,203,6-1,Ohio St.,8/9/1995,2,4,New York Giants / 1st / 10th pick / 2016,$1827484
72,Terron Armstead\ArmsTe00,27,T,10,10,304,6-5,Ark-Pine Bluff,7/23/1991,5,10,New Orleans Saints / 3rd / 75th pick / 2013,$10200000
85,Dan Arnold\ArnoDa00,23,te,10,1,220,6-6,Wisconsin–Platteville,3/15/1995,Rook,2,,$480000
31,Chris Banjo\BanjCh00,28,,16,0,207,5-10,SMU,2/26/1990,5,1,,$1000000
24,Vonn Bell\BellVo00,24,ss,16,8,205,5-11,Ohio St.,12/12/1994,2,3,New Orleans Saints / 2nd / 61st pick / 2016,$811118
59,Vince Biegel\BiegVi00,25,,14,0,246,6-3,Wisconsin,7/2/1993,1,1,Green Bay Packers / 4th / 108th pick / 2017,$555000
9,Drew Brees\BreeDr00,39,QB,15,15,209,6-0,Purdue,1/15/1979,17,17,San Diego Chargers / 2nd / 32nd pick / 2001,$10200000
5,Teddy Bridgewater\BridTe00,26,qb,5,1,215,6-2,Louisville,11/10/1992,4,1,Minnesota Vikings / 1st / 32nd pick / 2014,$915000
90,Jay Bromley\BromJa00,26,,2,0,314,6-3,Syracuse,5/28/1992,4,0,New York Giants / 3rd / 74th pick / 2014,$697059
74,Jermon Bushrod\BushJe20,34,t,11,6,318,6-5,Towson,8/19/1984,11,4,New Orleans Saints / 4th / 125th pick / 2007,$955294
80,Austin Carr\CarrAu00,25,wr,14,2,195,6-1,Northwestern,12/25/1993,1,1,,$555000
64,Will Clapp\ClapWi00,23,lg,3,1,311,6-5,LSU,12/10/1995,Rook,1,New Orleans Saints / 7th / 245th pick / 2018,$480000
