No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
83,Dwayne Allen\AlleDw00,28,te,13,8,265,6-3,Clemson,2/24/1990,6,0,Indianapolis Colts / 3rd / 64th pick / 2012,$3380000
6,Ryan Allen\AlleRy01,28,P,16,0,220,6-2,Louisiana Tech,2/28/1990,5,2,,$1300000
60,David Andrews\AndrDa00,26,C,16,16,300,6-3,Georgia,7/10/1992,3,8,,$900000
38,Kenjon Barner\BarnKe00,28,,5,0,195,5-9,Oregon,4/28/1990,5,0,Carolina Panthers / 6th / 182nd pick / 2013,$743529
51,JaWhaun Bentley\BentJa00,22,lb,3,2,255,6-2,Purdue,8/24/1996,Rook,2,New England Patriots / 5th / 143rd pick / 2018,$480000
12,Tom Brady\BradTo00,41,QB,16,16,225,6-4,Michigan,8/3/1977,18,14,New England Patriots / 6th / 199th pick / 2000,$4000000
90,Malcom Brown\BrowMa01,24,DT,15,14,320,6-2,Texas,2/2/1994,3,8,New England Patriots / 1st / 32nd pick / 2015,$1473167
67,Trent Brown\BrowTr02,25,T,16,16,380,6-8,Florida,4/13/1993,3,10,San Francisco 49ers / 7th / 244th pick / 2015,$190700
34,Rex Burkhead\BurkRe00,28,rb,8,4,215,5-10,Nebraska,7/2/1990,5,2,Cincinnati Bengals / 6th / 190th pick / 2013,$1000000
70,Adam Butler\ButlAd00,24,,16,0,300,6-4,Vanderbilt,4/12/1994,1,2,,$555000
61,Marcus Cannon\CannMa00,30,T,13,13,335,6-6,TCU,5/6/1988,7,8,New England Patriots / 5th / 138th pick / 2011,$4000000
49,Joe Cardona\CardJo00,26,,16,0,245,6-3,Navy,4/16/1992,3,1,New England Patriots / 5th / 166th pick / 2015,$705000
23,Patrick Chung\ChunPa99,31,S,15,14,215,5-11,Oregon,8/19/1987,9,5,New England Patriots / 2nd / 34th pick / 2009,$915000
94,Adrian Clayborn\ClayAd00,30,de,14,1,280,6-3,Iowa,7/6/1988,7,2,Tampa Bay Buccaneers / 1st / 20th pick / 2011,$1500000
35,Keion Crossen\CrosKe00,22,,11,0,185,5-10,West. Carolina,4/17/1996,Rook,1,New England Patriots / 7th / 243rd pick / 2018,$480000
74,Cole Croston\CrosCo00,25,,2,0,310,6-5,Iowa,12/25/1993,1,0,,$129200
58,Keionta Davis\DaviKe03,24,de,6,3,280,6-3,,3/1/1994,Rook,2,,$480000
46,James Develin\DeveJa00,30,fb,16,8,255,6-3,Brown,7/23/1988,7,1,,$800000
13,Phillip Dorsett\DorsPh00,25,wr,16,2,192,5-10,Miami (FL),1/5/1993,3,3,Indianapolis Colts / 1st / 29th pick / 2015,$1094373
43,Nate Ebner\EbneNa00,30,,15,0,215,6-0,Ohio St.,12/14/1988,6,1,New England Patriots / 6th / 197th pick / 2012,$1200000
11,Julian Edelman\EdelJu00,32,WR,12,12,198,5-10,Kent St.,5/22/1986,9,9,New England Patriots / 7th / 232nd pick / 2009,$1529412
66,James Ferentz\FereJa00,29,,2,0,300,6-2,Iowa,6/5/1989,4,0,,$129200
98,Trey Flowers\FlowTr00,25,DE,15,15,265,6-2,Arkansas,8/16/1993,3,9,New England Patriots / 4th / 101st pick / 2015,$1907000
24,Stephon Gilmore\GilmSt00,28,RCB,16,16,202,6-1,South Carolina,9/19/1990,6,14,Buffalo Bills / 1st / 10th pick / 2012,$8500000
10,Josh Gordon\GordJo02,27,WR,11,11,225,6-3,UtahBaylor,4/13/1991,6,7,Cleveland Browns / 2nd / 1st pick / 2012 Supp,$790000
3,Stephen Gostkowski\GostSt20,34,K,16,0,215,6-1,Memphis,1/28/1984,12,3,New England Patriots / 4th / 118th pick / 2006,$3200000
50,Nicholas Grigsby\GrigNi01,26,,9,0,230,6-2,Pittsburgh,7/2/1992,2,1,,$630000
96,Geneo Grissom\GrisGe00,26,,4,0,265,6-4,Oklahoma,6/4/1992,3,0,New England Patriots / 3rd / 97th pick / 2015,$705000
87,Rob Gronkowski\GronRo00,29,TE,13,11,265,6-6,Arizona,5/14/1989,8,6,New England Patriots / 2nd / 42nd pick / 2010,$8000000
93,Lawrence Guy\GuyxLa00,28,DT,16,15,315,6-4,Arizona St.,3/17/1990,7,8,Green Bay Packers / 7th / 233rd pick / 2011,$1400000
21,Duron Harmon\HarmDu00,27,db,16,6,205,6-1,Rutgers,1/24/1991,5,3,New England Patriots / 3rd / 91st pick / 2013,$1500000
54,Donta Hightower\HighDo01,28,LB,15,15,260,6-3,Alabama,3/12/1990,6,8,New England Patriots / 1st / 25th pick / 2012,$5750000
33,Jeremy Hill\HillJe01,26,,1,0,230,6-1,LSU,10/20/1992,4,0,Cincinnati Bengals / 2nd / 55th pick / 2014,$1000000
15,Chris Hogan\HogaCh00,30,wr,16,7,210,6-1,Monmouth,10/24/1988,7,5,,$3000000
47,Jacob Hollister\HollJa03,25,wr,8,1,245,6-4,Wyoming,11/18/1993,1,0,,$555000
2,Brian Hoyer\HoyeBr00,33,,5,0,216,6-2,Michigan St.,10/13/1985,9,0,,$915000
50,Ramon Humber\HumbRa00,31,,6,0,232,5-11,North Dakota St.,8/10/1987,9,0,,$376765
27,J.C. Jackson\JackJ.00,23,db,13,5,198,6-1,FloridaRiverside CCMaryland,11/17/1995,Rook,3,,$480000
41,Cyrus Jones\JoneCy00,25,,2,0,195,5-10,Alabama,11/29/1993,2,0,New England Patriots / 2nd / 60th pick / 2016,$718235
31,Jonathan Jones\JoneJo03,25,db,16,5,190,5-10,Auburn,9/20/1993,2,3,,$630000
97,Ufomba Kamalu\KamaUf00,26,,2,0,295,6-6,Miami (FL),11/2/1992,2,0,,$74118
75,Ted Karras\KarrTe00,25,rg,13,2,305,6-4,Illinois,3/15/1993,2,2,New England Patriots / 6th / 221st pick / 2016,$630000
36,Brandon King\KingBr02,25,,15,0,220,6-2,Auburn,6/8/1993,3,1,,$775000
69,Shaq Mason\MasoSh01,25,RG,14,14,310,6-1,Georgia Tech,8/28/1993,3,7,New England Patriots / 4th / 131st pick / 2015,$907000
17,Riley McCarron\McCaRi00,25,,1,0,198,5-9,,6/16/1993,Rook,0,,
59,Albert McClellan\McClAl00,32,,7,0,235,6-2,Marshall,6/4/1986,7,1,,$371765
