No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
24,Eli Apple\ApplEl00,23,lcb,5,5,203,6-1,Ohio St.,8/9/1995,2,2,New York Giants / 1st / 10th pick / 2016,$1827484
55,Ray-Ray Armstrong\ArmsRa01,27,lb,6,1,220,6-3,Miami (FL),3/5/1991,5,1,,$1000000
26,Saquon Barkley\BarkSa00,21,RB,16,16,233,5-11,Penn St.,2/9/1997,Rook,14,New York Giants / 1st / 2nd pick / 2018,$480000
53,Connor Barwin\BarwCo99,32,lb,15,3,255,6-4,Cincinnati,10/15/1986,9,2,Houston Texans / 2nd / 46th pick / 2009,$1270000
13,Odell Beckham\BeckOd00,26,WR,12,12,198,5-11,LSU,11/5/1992,4,9,New York Giants / 1st / 12th pick / 2014,$1459000
68,Jamon Brown\BrowJa04,25,RG,8,8,340,6-4,Louisville,3/15/1993,3,4,St. Louis Rams / 3rd / 72nd pick / 2015,$1682647
59,Lorenzo Carter\CartLo01,23,lb,15,2,250,6-5,Georgia,12/10/1995,Rook,2,New York Giants / 3rd / 66th pick / 2018,$480000
36,Sean Chandler\ChanSe00,22,,16,0,205,5-10,Temple,4/27/1996,Rook,1,,$480000
15,Kaelin Clay\ClayKa00,26,,2,0,195,5-10,Utah,1/3/1992,3,0,Tampa Bay Buccaneers / 6th / 184th pick / 2015,$630000
19,Corey Coleman\ColeCo00,24,wr,8,1,185,5-11,Baylor,7/6/1994,2,1,Cleveland Browns / 1st / 15th pick / 2016,$370588
13,Stacy Coley\ColeSt00,24,,1,0,195,6-0,Miami (FL),5/13/1994,1,0,Minnesota Vikings / 7th / 219th pick / 2017,$555000
21,Landon Collins\CollLa00,24,SS,12,12,218,6-0,Alabama,1/10/1994,3,5,New York Giants / 2nd / 33rd pick / 2015,$1269620
80,Jawill Davis\DaviJa07,23,,7,0,193,6-0,,4/6/1995,Rook,0,,$129200
58,Tae Davis\DaviTa00,22,lb,14,4,224,6-1,,8/14/1996,Rook,3,,$480000
38,Donte Deayon\DeayDo01,24,,4,0,159,5-9,Boise St.,1/28/1994,1,0,,$555000
51,Zak DeOssie\DeOsZa99,34,,16,0,250,6-5,Brown,5/24/1984,11,1,New York Giants / 4th / 116th pick / 2007,$1015000
47,Garrett Dickerson\DickGa00,23,,4,0,248,6-3,Northwestern,12/30/1995,Rook,0,,$129200
15,Riley Dixon\DixoRi00,25,P,16,0,221,6-4,Syracuse,8/24/1993,2,2,Denver Broncos / 7th / 228th pick / 2016,$630000
99,Mario Edwards\EdwaMa01,24,,15,0,280,6-3,Florida St.,4/19/1994,3,1,Oakland Raiders / 2nd / 35th pick / 2015,$1255521
45,Ukeme Eligwe\EligUk00,24,,10,0,239,6-2,Georgia Southern,4/27/1994,1,1,Kansas City Chiefs / 5th / 183rd pick / 2017,$359118
85,Rhett Ellison\ElliRh00,30,TE,14,12,255,6-5,USC,10/3/1988,6,2,Minnesota Vikings / 4th / 128th pick / 2012,$2475000
88,Evan Engram\EngrEv00,24,TE,11,8,240,6-3,Mississippi,9/2/1994,1,5,New York Giants / 1st / 23rd pick / 2017,$952196
74,Ereck Flowers\FlowEr00,24,t,5,2,334,6-6,Miami (FL),4/25/1994,3,1,New York Giants / 1st / 9th pick / 2015,$2397507
18,Bennie Fowler\FowlBe00,27,wr,10,5,212,6-1,Michigan St.,6/10/1991,4,2,,$456176
22,Wayne Gallman\GallWa00,24,rb,15,2,210,6-0,Clemson,10/1/1994,1,2,New York Giants / 4th / 140th pick / 2017,$555000
93,B.J. Goodson\GoodB.00,25,LB,15,13,241,6-1,Clemson,4/29/1993,2,6,New York Giants / 4th / 109th pick / 2016,$630000
73,John Greco\GrecJo20,33,c,15,7,318,6-4,Toledo,3/24/1985,10,4,St. Louis Rams / 3rd / 65th pick / 2008,$1015000
75,Jon Halapio\HalaJo00,27,c,2,2,315,6-3,Florida,6/23/1991,4,1,New England Patriots / 6th / 179th pick / 2014,$555000
34,Grant Haley\HaleGr00,22,db,10,9,190,5-9,,1/6/1996,Rook,3,,$129200
30,Antonio Hamilton\HamiAn01,25,,13,0,190,6-0,South Carolina St.,1/24/1993,2,1,,$630000
98,Damon Harrison\HarrDa03,30,dl,7,7,353,6-3,William Penn,11/29/1988,6,3,,$7750000
