No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
33,Jamal Adams\AdamJa00,23,SS,16,16,213,6-1,LSU,10/17/1995,1,9,New York Jets / 1st / 6th pick / 2017,$555000
96,Henry Anderson\AndeHe00,27,dl,16,3,301,6-6,Stanford,8/3/1991,3,4,Indianapolis Colts / 3rd / 93rd pick / 2015,$1907000
11,Robby Anderson\AndeRo04,25,WR,14,9,190,6-3,Temple,5/9/1993,2,6,,$630000
55,Jeremiah Attaochu\AttaJe00,25,,11,0,252,6-3,Georgia Tech,1/17/1993,4,1,San Diego Chargers / 2nd / 50th pick / 2014,$790000
93,Tarell Basham\BashTa00,24,lb,10,1,266,6-4,Ohio,3/18/1994,1,1,Indianapolis Colts / 3rd / 80th pick / 2017,$590000
68,Kelvin Beachum\BeacKe00,29,T,16,16,308,6-3,SMU,6/8/1989,6,7,Pittsburgh Steelers / 7th / 248th pick / 2012,$8000000
69,Ben Braden\BradBe00,24,,2,0,329,6-6,Michigan,3/9/1994,Rook,0,,$141175
23,Terrence Brooks\BrooTe00,26,,16,0,200,5-11,Florida St.,3/2/1992,4,1,Baltimore Ravens / 3rd / 79th pick / 2014,$1400000
18,Deontay Burnett\BurnDe00,21,wr,5,1,186,6-0,USC,10/4/1997,Rook,1,,$310585
32,Juston Burris\BurrJu00,25,,4,0,212,6-0,North Carolina St.,8/4/1993,2,0,New York Jets / 4th / 118th pick / 2016,$630000
39,Ibraheim Campbell\CampIb00,26,,1,0,210,5-11,Northwestern,5/13/1992,3,0,Cleveland Browns / 4th / 115th pick / 2015,
40,Trenton Cannon\CannTr00,24,,16,0,185,5-11,Virginia St.,7/23/1994,Rook,2,New York Jets / 6th / 204th pick / 2018,$480000
77,James Carpenter\CarpJa00,29,LG,10,10,321,6-5,Alabama,3/22/1989,7,3,Seattle Seahawks / 1st / 25th pick / 2011,$4450000
21,Morris Claiborne\ClaiMo00,28,CB,15,15,192,5-11,LSU,2/7/1990,6,5,Dallas Cowboys / 1st / 6th pick / 2012,$3850000
34,Jeremy Clark\ClarJe04,24,,1,0,220,6-3,Michigan,6/29/1994,1,0,New York Jets / 6th / 197th pick / 2017,$129200
51,Brandon Copeland\CopeBr00,27,LB,16,10,263,6-3,Pennsylvania,7/2/1991,5,5,,$1000000
20,Isaiah Crowell\CrowIs00,25,rb,13,6,225,5-11,Alabama St.,1/8/1993,4,5,,$1000000
14,Sam Darnold\DarnSa00,21,QB,13,13,225,6-3,USC,6/5/1997,Rook,7,New York Jets / 1st / 3rd pick / 2018,$480000
70,Dakota Dozier\DoziDa00,27,lg,6,2,313,6-4,Furman,4/30/1991,4,1,New York Jets / 4th / 137th pick / 2014,$790000
4,Lac Edwards\EdwaLa01,26,P,16,0,209,6-4,Sam Houston St.,4/27/1992,2,3,New York Jets / 7th / 235th pick / 2016,$630000
81,Quincy Enunwa\EnunQu00,26,WR,11,10,225,6-2,Nebraska,5/31/1992,4,4,New York Jets / 6th / 209th pick / 2014,$2914000
94,Folorunso Fatukasi\FatuFo00,23,,1,0,318,6-4,Connecticut,3/4/1995,Rook,0,New York Jets / 6th / 180th pick / 2018,$480000
78,Jonotthan Harrison\HarrJo03,27,c,16,8,300,6-4,Florida,8/25/1991,4,3,,$7900000
35,DeAngelo Henderson\HendDe01,26,,3,0,208,5-7,Coastal Carolina,11/24/1992,1,0,Denver Broncos / 6th / 203rd pick / 2017,$97941
42,Thomas Hennessy\HennTh00,24,,16,0,246,6-2,Duke,6/11/1994,1,1,,$555000
89,Chris Herndon\HernCh00,22,TE,16,12,253,6-4,Miami (FL),2/23/1996,Rook,4,New York Jets / 4th / 107th pick / 2018,$480000
46,Neville Hewitt\HewiNe00,25,lb,16,4,234,6-2,Marshall,4/6/1993,3,3,,$705000
48,Jordan Jenkins\JenkJo01,24,LB,16,11,259,6-3,Georgia,7/1/1994,2,6,New York Jets / 3rd / 83rd pick / 2016,$6500000
22,Trumaine Johnson\JohnTr05,28,CB,10,10,213,6-2,Montana,1/1/1990,6,4,St. Louis Rams / 3rd / 65th pick / 2012,$6000000
31,Derrick Jones\JoneDe02,24,,1,0,188,6-2,Mississippi,12/4/1994,1,0,New York Jets / 6th / 204th pick / 2017,$555000
84,JJ Jones\JoneJJ00,26,,1,0,174,5-10,,12/6/1992,Rook,0,,$28235
91,Bronson Kaufusi\KaufBr01,27,,3,0,275,6-6,BYU,7/6/1991,1,0,Baltimore Ravens / 3rd / 70th pick / 2016,$148236
10,Jermaine Kearse\KearJe01,28,WR,14,9,209,6-1,Washington,2/6/1990,6,3,,$5000000
57,Emmanuel Lamur\LamuEm00,29,,1,0,245,6-4,Kansas St.,6/8/1989,6,0,,$92941
58,Darron Lee\LeexDa00,24,LB,12,12,232,6-1,Ohio St.,10/18/1994,2,7,New York Jets / 1st / 20th pick / 2016,$1379241
86,Jordan Leggett\LeggJo00,23,te,15,4,258,6-5,Clemson,1/31/1995,Rook,1,New York Jets / 5th / 150th pick / 2017,$555000
61,Spencer Long\LongSp00,28,C,13,13,318,6-5,Nebraska,11/8/1990,4,4,Washington Redskins / 3rd / 78th pick / 2014,$5000000
50,Frankie Luvu\LuvuFr00,22,lb,14,1,236,6-3,,9/19/1996,Rook,2,,$480000
95,Josh Martin\MartJo02,27,,1,0,245,6-3,Columbia,11/7/1991,5,0,,$1800000
82,Rishard Matthews\MattRi00,29,,5,0,217,6-0,Nevada,10/12/1989,6,0,Miami Dolphins / 7th / 227th pick / 2012,$538235
26,Marcus Maye\MayeMa00,25,fs,6,6,207,6-0,Florida,3/9/1993,1,2,New York Jets / 2nd / 39th pick / 2017,$762911
15,Josh McCown\McCoJo01,39,qb,4,3,218,6-4,SMUSam Houston St.,7/4/1979,16,2,Arizona Cardinals / 3rd / 81st pick / 2002,$5000000
25,Elijah McGuire\McGuEl00,24,rb,8,3,214,5-10,Louisiana,6/1/1994,1,3,New York Jets / 6th / 188th pick / 2017,$378000
99,Steve McLendon\McLeSt00,32,DL,16,14,310,6-3,Troy,1/3/1986,8,7,,$3125000
36,Doug Middleton\MiddDo01,25,fs,7,4,210,6-0,Appalachian St.,9/25/1993,2,1,,$630000
45,Rontez Miles\MileRo00,30,fs,8,1,203,6-0,California (PA),11/25/1988,5,1,,$1907000
2,Jason Myers\MyerJa00,27,K,16,0,190,5-10,Marist,5/12/1991,3,5,,$705000
43,Parry Nickerson\NickPa00,24,cb,16,2,182,5-10,Tulane,10/11/1994,Rook,1,New York Jets / 6th / 179th pick / 2018,$480000
17,Charone Peake\PeakCh00,26,,13,0,209,6-2,Clemson,10/16/1992,2,0,New York Jets / 7th / 241st pick / 2016,$630000
