No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
53,Daren Bates\BateDa00,28,,16,0,225,5-11,Auburn,11/27/1990,5,1,,$1800000
17,Cameron Batson\BatsCa00,23,wr,11,2,175,5-8,,12/20/1995,Rook,1,,$480000
48,Beau Brinkley\BrinBe00,28,,16,0,260,6-4,Missouri,1/25/1990,6,1,,$1100000
55,Jayon Brown\BrowJa06,23,LB,16,9,226,6-0,UCLA,2/26/1995,1,8,Tennessee Titans / 5th / 155th pick / 2017,$555000
21,Malcolm Butler\ButlMa01,28,CB,16,11,190,5-11,West Alabama,3/2/1990,4,6,,$3500000
31,Kevin Byard\ByarKe01,25,FS,16,16,212,5-11,Middle Tenn. St.,8/17/1993,2,8,Tennessee Titans / 3rd / 64th pick / 2016,$784566
99,Jurrell Casey*\CaseJu00,29,DT,15,15,305,6-1,USC,12/5/1989,7,12,Tennessee Titans / 3rd / 77th pick / 2011,$10600000
51,William Compton\CompWi00,29,lb,12,2,235,6-1,Nebraska,9/19/1989,5,2,,$1000000
78,Jack Conklin\ConkJa00,24,T,9,9,308,6-6,Michigan St.,8/17/1994,2,5,Tennessee Titans / 1st / 8th pick / 2016,$1895242
44,Kamalei Correa\CorrKa00,24,lb,13,4,241,6-3,Boise St.,4/27/1994,2,3,Baltimore Ravens / 2nd / 42nd pick / 2016,$972694
29,Dane Cruikshank\CruiDa00,23,,12,0,209,6-1,Arizona,4/27/1995,Rook,1,Tennessee Titans / 5th / 152nd pick / 2018,$480000
84,Corey Davis\DaviCo03,23,WR,16,16,209,6-3,West. Michigan,1/11/1995,1,7,Tennessee Titans / 1st / 5th pick / 2017,$555000
39,Dalyn Dawkins\DawkDa01,24,,2,0,183,5-7,Colorado St.,12/12/1994,Rook,0,,$129200
92,Matt Dickerson\DickMa00,23,,3,0,292,6-5,,9/11/1995,Rook,0,,$480000
20,Kenneth Durden\DurdKe00,26,,5,0,180,6-1,,5/16/1992,Rook,0,,$480000
