No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
33,Josh Adams\AdamJo03,22,rb,14,5,225,6-2,Notre Dame,10/26/1996,Rook,3,,$1050000
13,Nelson Agholor\AghoNe00,25,WR,16,16,198,6-0,USC,5/24/1993,3,6,Philadelphia Eagles / 1st / 20th pick / 2015,$129200
81,Kamar Aiken\AikeKa00,29,wr,5,1,216,6-2,Central Florida,5/30/1989,7,0,,$743529
26,Jay Ajayi\AjayJa00,25,rb,4,3,223,6-0,Boise St.,6/15/1993,3,1,Miami Dolphins / 5th / 149th pick / 2015,$1907000
57,D.J. Alexander\AlexD.00,27,,12,0,233,6-2,Oregon St.,9/30/1991,3,1,Kansas City Chiefs / 5th / 172nd pick / 2015,$705000
96,Derek Barnett\BarnDe01,22,de,6,6,259,6-3,Tennessee,6/25/1996,1,3,Philadelphia Eagles / 1st / 14th pick / 2017,$1049126
33,DeVante Bausby\BausDe00,25,cb,6,1,190,6-2,Pittsburg St.,1/15/1993,2,1,,$228529
59,B.J. Bello\BellB.00,24,,3,0,229,6-3,Illinois St.,10/31/1994,1,0,,$97941
77,Michael Bennett\BennMi99,33,DE,16,10,274,6-4,Texas A&M,11/13/1985,9,6,,$1650000
53,Nigel Bradham\BradNi00,29,LB,15,15,241,6-2,Florida St.,9/4/1989,6,7,Buffalo Bills / 4th / 105th pick / 2012,$941176
79,Brandon Brooks\BrooBr00,29,RG,16,16,335,6-5,Miami (OH),8/19/1989,6,9,Houston Texans / 3rd / 76th pick / 2012,$790000
16,DeAndre Carter\CartDe02,25,wr,7,1,190,5-8,,4/10/1993,Rook,0,,$480000
30,Corey Clement\ClemCo00,24,,11,0,220,5-10,Wisconsin,11/2/1994,1,3,,$555000
91,Fletcher Cox\CoxxFl00,28,DT,16,16,310,6-4,Mississippi St.,12/13/1990,6,15,Philadelphia Eagles / 1st / 12th pick / 2012,$11500000
21,Ronald Darby\DarbRo00,24,CB,9,9,193,5-11,Florida St.,1/2/1994,3,3,Buffalo Bills / 2nd / 50th pick / 2015,$1008139
32,Rasul Douglas\DougRa00,23,cb,16,7,209,6-2,West Virginia,8/29/1995,1,4,Philadelphia Eagles / 3rd / 99th pick / 2017,$580000
4,Jake Elliott\ElliJa03,23,K,16,0,167,5-9,Memphis,1/21/1995,1,3,Cincinnati Bengals / 5th / 153rd pick / 2017,$555000
86,Zach Ertz\ErtzZa00,28,TE,16,16,250,6-5,Stanford,11/10/1990,5,9,Philadelphia Eagles / 2nd / 35th pick / 2013,$790000
