No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
92,Olasunkanmi Adeniyi\AdenOl00,21,,1,0,248,6-1,Toledo,9/12/1997,Rook,0,,$363000
29,Brian Allen\AlleBr01,25,,6,0,215,6-3,Utah,10/21/1993,1,0,Pittsburgh Steelers / 5th / 173rd pick / 2017,$129200
27,Marcus Allen\AlleMa03,22,,2,0,215,6-2,Penn St.,8/7/1996,Rook,0,Pittsburgh Steelers / 5th / 148th pick / 2018,$480000
94,Tyson Alualu\AluaTy99,31,de,15,2,304,6-3,California,5/12/1987,8,2,Jacksonville Jaguars / 1st / 10th pick / 2010,$3000000
31,Nat Berhe\BerhNa00,27,,4,0,195,5-11,San Diego St.,7/6/1991,4,0,New York Giants / 5th / 152nd pick / 2014,$790000
4,Jordan Berry\BerrJo00,27,P,16,0,195,6-5,East. Kentucky,3/18/1991,3,2,,$1907000
51,Jonathan Bostic\BostJo00,27,LILB,16,14,245,6-1,Florida,5/5/1991,5,7,Chicago Bears / 2nd / 50th pick / 2013,$800000
9,Chris Boswell\BoswCh00,27,K,15,0,185,6-2,Rice,3/16/1991,3,0,,$705000
84,Antonio Brown\BrowAn04,30,WR,15,15,181,5-10,Central Michigan,7/10/1988,8,10,Pittsburgh Steelers / 6th / 195th pick / 2010,$915000
42,Morgan Burnett\BurnMo99,29,ss,11,2,209,6-1,Georgia Tech,1/13/1989,8,1,Green Bay Packers / 3rd / 71st pick / 2010,$1000000
25,Artie Burns\BurnAr00,23,rcb,16,6,197,6-0,Miami (FL),5/1/1995,2,3,Pittsburgh Steelers / 1st / 25th pick / 2016,$1321907
57,Kameron Canaday\CanaKa00,26,,16,0,245,6-4,Portland St.,8/20/1992,2,1,,$630000
56,Anthony Chickillo\ChicAn00,26,,16,0,255,6-3,Miami (FL),12/10/1992,3,2,Pittsburgh Steelers / 6th / 212th pick / 2015,$1907000
30,James Conner\ConnJa00,23,RB,13,12,233,6-1,Pittsburgh,5/5/1995,1,10,Pittsburgh Steelers / 3rd / 105th pick / 2017,$578000
37,Jordan Dangerfield\DangJo00,28,fs,16,1,199,5-11,Towson,12/25/1990,4,2,,$555000
21,Sean Davis\DaviSe00,25,FS,15,15,202,6-1,Maryland,10/23/1993,2,6,Pittsburgh Steelers / 2nd / 58th pick / 2016,$821543
66,David DeCastro\DeCaDa00,28,RG,14,14,316,6-5,Stanford,1/11/1990,6,8,Pittsburgh Steelers / 1st / 24th pick / 2012,$790000
