No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
11,Marcell Ateman\AtemMa00,24,wr,7,6,216,6-4,Oklahoma St.,9/16/1994,Rook,1,Oakland Raiders / 7th / 228th pick / 2018,$129200
37,Bene Benwikere\BenwBe00,27,,4,0,195,6-0,San Jose St.,9/3/1991,4,0,Carolina Panthers / 5th / 148th pick / 2014,$185882
80,Saeed Blacknall\BlacSa00,22,,1,0,208,6-2,Penn St.,3/17/1996,Rook,0,,$129200
95,Fadol Brown\BrowFa00,25,,8,0,282,6-4,Mississippi,4/15/1993,Rook,1,,$480000
10,Martavis Bryant\BryaMa00,27,wr,8,2,210,6-4,Clemson,12/20/1991,4,2,Pittsburgh Steelers / 4th / 118th pick / 2014,$663529
46,Jason Cabinda\CabiJa00,22,mlb,10,3,243,6-1,Penn St.,3/17/1996,Rook,2,,$129200
91,Shilique Calhoun\CalhSh00,26,,7,0,250,6-4,Michigan St.,3/20/1992,2,0,Oakland Raiders / 3rd / 75th pick / 2016,$489705
8,Daniel Carlson\CarlDa00,23,K,10,0,213,6-5,Auburn,1/23/1995,Rook,3,Minnesota Vikings / 5th / 167th pick / 2018,$282353
4,Derek Carr\CarrDe02,27,QB,16,16,215,6-3,Fresno St.,3/28/1991,4,10,Oakland Raiders / 2nd / 36th pick / 2014,$7400000
96,Tank Carradine\CarrCo00,28,,1,0,270,6-4,Florida St.,2/18/1990,5,0,San Francisco 49ers / 2nd / 40th pick / 2013,$915000
85,Derek Carrier\CarrDe00,28,te,16,2,244,6-4,Beloit,7/25/1990,6,0,,$1150000
69,T.J. Clemmings\ClemT.00,27,,4,0,310,6-5,Pittsburgh,11/18/1991,3,0,Minnesota Vikings / 4th / 110th pick / 2015,$1907000
21,Gareon Conley\ConlGa00,23,CB,15,14,195,6-0,Ohio St.,6/29/1995,1,5,Oakland Raiders / 1st / 24th pick / 2017,$940792
87,Jared Cook\CookJa02,31,TE,16,14,254,6-5,South Carolina,4/7/1987,9,7,Tennessee Titans / 3rd / 89th pick / 2009,$5000000
89,Amari Cooper\CoopAm00,24,wr,6,6,210,6-1,Alabama,6/18/1994,3,2,Oakland Raiders / 1st / 4th pick / 2015,$700000
48,Andrew DePaola\DePaAn00,31,,1,0,230,6-2,Rutgers,7/28/1987,4,0,,$790000
96,Kony Ealy\EalyKo00,27,,3,0,275,6-4,Missouri,12/21/1991,4,0,Carolina Panthers / 2nd / 60th pick / 2014,$371765
78,Justin Ellis\ElliJu01,28,dt,6,1,334,6-2,Louisiana Tech,12/27/1990,4,1,Oakland Raiders / 4th / 107th pick / 2014,$2500000
76,Jon Feliciano\FeliJo00,26,lg,13,4,325,6-4,Miami (FL),2/10/1992,3,2,Oakland Raiders / 4th / 128th pick / 2015,$705000
14,Rico Gafford\GaffRi00,22,,1,0,184,5-10,,5/23/1996,Rook,0,,$56470
31,Marcus Gilchrist\GilcMa00,30,S,16,16,200,5-10,Clemson,12/8/1988,7,5,San Diego Chargers / 2nd / 50th pick / 2011,$2000000
69,Denzelle Good\GoodDe01,27,rg,4,3,345,6-5,Mars Hill,3/8/1991,3,1,Indianapolis Colts / 7th / 255th pick / 2015,$711880
65,Chaz Green\GreeCh02,26,lg,4,1,318,6-5,Florida,4/8/1992,2,1,Dallas Cowboys / 3rd / 91st pick / 2015,$207355
29,Leon Hall\HallLe98,34,cb,10,4,195,5-11,Michigan,12/9/1984,11,1,Cincinnati Bengals / 1st / 18th pick / 2007,$915000
92,P.J. Hall\HallP.00,23,dt,14,6,308,6-1,Sam Houston St.,4/5/1995,Rook,3,Oakland Raiders / 2nd / 57th pick / 2018,$480000
90,Johnathan Hankins\HankJo00,26,DT,15,14,325,6-2,Ohio St.,3/29/1992,5,6,New York Giants / 2nd / 49th pick / 2013,$1534118
17,Dwayne Harris\HarrDw00,31,wr,15,1,206,5-11,East Carolina,9/16/1987,7,1,Dallas Cowboys / 6th / 176th pick / 2011,$915000
25,Erik Harris\HarrEr00,28,s,16,4,225,6-3,California (PA),4/2/1990,2,2,,$630000
14,Keon Hatcher\HatcKe00,24,,3,0,212,6-1,Arkansas,9/11/1994,Rook,0,,$169410
