WEEK,DAY,DATE,TIME,WINNER,LOCATION,LOSER,BOXSCORE,PTSW,PTSL,YDSW,TOW,YDSL,TOL
1,THU,09/06/2018,8:20PM,PHI,HOSTING,ATL,BOXSCORE,18,12,232,2,299,1
1,SUN,09/09/2018,1:00PM,CIN,AT,IND,BOXSCORE,34,23,330,2,380,2
1,SUN,09/09/2018,1:00PM,BAL,HOSTING,BUF,BOXSCORE,47,3,369,1,153,2
1,SUN,09/09/2018,1:00PM,TB,AT,NO,BOXSCORE,48,40,529,0,475,2
1,SUN,09/09/2018,1:00PM,MIN,HOSTING,SF,BOXSCORE,24,16,343,1,327,4
1,SUN,09/09/2018,1:00PM,MIA,HOSTING,TEN,BOXSCORE,27,20,342,2,336,3
1,SUN,09/09/2018,1:00PM,JAX,AT,NYG,BOXSCORE,20,15,305,1,324,2
1,SUN,09/09/2018,1:00PM,PIT,AT,CLE,BOXSCORE,21,21,472,6,327,1
1,SUN,09/09/2018,1:00PM,NE,HOSTING,HOU,BOXSCORE,27,20,389,3,325,2
1,SUN,09/09/2018,4:05PM,KC,AT,LAC,BOXSCORE,38,28,362,0,541,2
1,SUN,09/09/2018,4:25PM,CAR,HOSTING,DAL,BOXSCORE,16,8,293,1,232,1
1,SUN,09/09/2018,4:25PM,WAS,AT,ARI,BOXSCORE,24,6,429,1,213,2
1,SUN,09/09/2018,4:25PM,DEN,HOSTING,SEA,BOXSCORE,27,24,470,3,306,3
1,SUN,09/09/2018,8:20PM,GB,HOSTING,CHI,BOXSCORE,24,23,370,2,294,1
1,MON,09/10/2018,7:10PM,NYJ,AT,DET,BOXSCORE,48,17,349,2,339,5
1,MON,09/10/2018,10:20PM,LA,AT,OAK,BOXSCORE,33,13,365,0,395,3
2,THU,09/13/2018,8:20PM,CIN,HOSTING,BAL,BOXSCORE,34,23,373,0,425,3
2,SUN,09/16/2018,1:00PM,NO,HOSTING,CLE,BOXSCORE,21,18,275,2,327,1
2,SUN,09/16/2018,1:00PM,TEN,HOSTING,HOU,BOXSCORE,20,17,283,0,437,1
2,SUN,09/16/2018,1:00PM,IND,AT,WAS,BOXSCORE,21,9,281,2,334,1
2,SUN,09/16/2018,1:00PM,LAC,AT,BUF,BOXSCORE,31,20,349,0,293,2
2,SUN,09/16/2018,1:00PM,MIN,AT,GB,BOXSCORE,29,29,480,1,351,0
2,SUN,09/16/2018,1:00PM,TB,HOSTING,PHI,BOXSCORE,27,21,436,2,412,2
2,SUN,09/16/2018,1:00PM,ATL,HOSTING,CAR,BOXSCORE,31,24,442,1,439,1
2,SUN,09/16/2018,1:00PM,KC,AT,PIT,BOXSCORE,42,37,449,1,475,0
2,SUN,09/16/2018,1:00PM,MIA,AT,NYJ,BOXSCORE,20,12,257,2,362,3
2,SUN,09/16/2018,4:05PM,LA,HOSTING,ARI,BOXSCORE,34,0,432,1,137,1
2,SUN,09/16/2018,4:05PM,SF,HOSTING,DET,BOXSCORE,30,27,346,0,427,1
2,SUN,09/16/2018,4:25PM,JAX,HOSTING,NE,BOXSCORE,31,20,480,2,302,1
2,SUN,09/16/2018,4:25PM,DEN,HOSTING,OAK,BOXSCORE,20,19,385,1,373,0
2,SUN,09/16/2018,8:20PM,DAL,HOSTING,NYG,BOXSCORE,20,13,298,0,255,1
2,MON,09/17/2018,8:15PM,CHI,HOSTING,SEA,BOXSCORE,24,17,271,2,276,2
3,THU,09/20/2018,8:20PM,CLE,HOSTING,NYJ,BOXSCORE,21,17,323,0,268,3
3,SUN,09/23/2018,1:00PM,NO,AT,ATL,BOXSCORE,43,37,534,0,407,0
3,SUN,09/23/2018,1:00PM,KC,HOSTING,SF,BOXSCORE,38,27,384,0,406,0
3,SUN,09/23/2018,1:00PM,MIA,HOSTING,OAK,BOXSCORE,28,20,373,0,434,2
3,SUN,09/23/2018,1:00PM,TEN,AT,JAX,BOXSCORE,9,6,233,0,232,1
3,SUN,09/23/2018,1:00PM,NYG,AT,HOU,BOXSCORE,27,22,379,0,427,2
3,SUN,09/23/2018,1:00PM,BAL,HOSTING,DEN,BOXSCORE,27,14,342,0,293,1
3,SUN,09/23/2018,1:00PM,PHI,HOSTING,IND,BOXSCORE,20,16,379,2,209,0
3,SUN,09/23/2018,1:00PM,BUF,AT,MIN,BOXSCORE,27,6,292,0,292,3
3,SUN,09/23/2018,1:00PM,WAS,HOSTING,GB,BOXSCORE,31,17,386,1,340,1
3,SUN,09/23/2018,1:00PM,CAR,HOSTING,CIN,BOXSCORE,31,21,377,0,396,4
3,SUN,09/23/2018,4:05PM,LA,HOSTING,LAC,BOXSCORE,35,23,521,2,356,2
3,SUN,09/23/2018,4:25PM,SEA,HOSTING,DAL,BOXSCORE,24,13,295,0,303,3
3,SUN,09/23/2018,4:25PM,CHI,AT,ARI,BOXSCORE,16,14,316,2,221,4
3,SUN,09/23/2018,8:20PM,DET,HOSTING,NE,BOXSCORE,26,10,414,1,209,1
3,MON,09/24/2018,8:15PM,PIT,AT,TB,BOXSCORE,30,27,413,1,455,4
4,THU,09/27/2018,8:20PM,LA,HOSTING,MIN,BOXSCORE,38,31,556,0,446,1
4,SUN,09/30/2018,1:00PM,DAL,HOSTING,DET,BOXSCORE,26,24,414,0,382,0
4,SUN,09/30/2018,1:00PM,CHI,HOSTING,TB,BOXSCORE,48,10,483,0,311,3
4,SUN,09/30/2018,1:00PM,TEN,HOSTING,PHI,BOXSCORE,26,23,397,1,432,1
4,SUN,09/30/2018,1:00PM,CIN,AT,ATL,BOXSCORE,37,36,407,1,495,0
4,SUN,09/30/2018,1:00PM,NE,HOSTING,MIA,BOXSCORE,38,7,449,2,172,2
4,SUN,09/30/2018,1:00PM,JAX,HOSTING,NYJ,BOXSCORE,31,12,503,3,178,0
4,SUN,09/30/2018,1:00PM,HOU,AT,IND,BOXSCORE,37,34,466,1,478,2
4,SUN,09/30/2018,1:00PM,GB,HOSTING,BUF,BOXSCORE,22,0,423,2,145,3
4,SUN,09/30/2018,4:05PM,SEA,AT,ARI,BOXSCORE,20,17,331,0,263,1
4,SUN,09/30/2018,4:05PM,OAK,HOSTING,CLE,BOXSCORE,45,42,565,2,487,4
4,SUN,09/30/2018,4:25PM,NO,AT,NYG,BOXSCORE,33,18,389,0,299,2
4,SUN,09/30/2018,4:25PM,LAC,HOSTING,SF,BOXSCORE,29,27,368,1,364,2
4,SUN,09/30/2018,8:20PM,BAL,AT,PIT,BOXSCORE,26,14,451,1,284,2
4,MON,10/01/2018,8:15PM,KC,AT,DEN,BOXSCORE,27,23,446,0,385,1
5,THU,10/04/2018,8:20PM,NE,HOSTING,IND,BOXSCORE,38,24,438,2,439,3
5,SUN,10/07/2018,1:00PM,CAR,HOSTING,NYG,BOXSCORE,33,31,350,2,432,3
5,SUN,10/07/2018,1:00PM,CLE,HOSTING,BAL,BOXSCORE,12,9,416,1,410,2
5,SUN,10/07/2018,1:00PM,NYJ,HOSTING,DEN,BOXSCORE,34,16,512,2,436,1
5,SUN,10/07/2018,1:00PM,BUF,HOSTING,TEN,BOXSCORE,13,12,223,1,221,3
5,SUN,10/07/2018,1:00PM,DET,HOSTING,GB,BOXSCORE,31,23,264,0,521,3
5,SUN,10/07/2018,1:00PM,CIN,HOSTING,MIA,BOXSCORE,27,17,332,1,297,3
5,SUN,10/07/2018,1:00PM,PIT,HOSTING,ATL,BOXSCORE,41,17,381,1,324,1
5,SUN,10/07/2018,1:00PM,KC,HOSTING,JAX,BOXSCORE,30,14,424,2,502,5
5,SUN,10/07/2018,4:05PM,LAC,HOSTING,OAK,BOXSCORE,26,10,412,0,289,2
5,SUN,10/07/2018,4:25PM,LA,AT,SEA,BOXSCORE,33,31,468,2,373,0
5,SUN,10/07/2018,4:25PM,MIN,AT,PHI,BOXSCORE,23,21,375,1,364,2
5,SUN,10/07/2018,4:25PM,ARI,AT,SF,BOXSCORE,28,18,220,0,447,5
5,SUN,10/07/2018,8:20PM,HOU,HOSTING,DAL,BOXSCORE,19,16,462,2,292,2
5,MON,10/08/2018,8:15PM,NO,HOSTING,WAS,BOXSCORE,43,19,447,1,283,2
6,THU,10/11/2018,8:20PM,PHI,AT,NYG,BOXSCORE,34,13,379,0,401,1
6,SUN,10/14/2018,1:00PM,WAS,HOSTING,CAR,BOXSCORE,23,17,288,0,350,3
6,SUN,10/14/2018,1:00PM,MIA,HOSTING,CHI,BOXSCORE,31,28,541,3,467,3
6,SUN,10/14/2018,1:00PM,LAC,AT,CLE,BOXSCORE,38,14,449,1,317,2
6,SUN,10/14/2018,1:00PM,NYJ,HOSTING,IND,BOXSCORE,42,34,374,2,428,4
6,SUN,10/14/2018,1:00PM,HOU,HOSTING,BUF,BOXSCORE,20,13,216,3,229,3
6,SUN,10/14/2018,1:00PM,SEA,AT,OAK,BOXSCORE,27,3,369,1,185,2
6,SUN,10/14/2018,1:00PM,PIT,AT,CIN,BOXSCORE,28,21,481,0,275,0
6,SUN,10/14/2018,1:00PM,MIN,HOSTING,ARI,BOXSCORE,27,17,411,2,268,2
6,SUN,10/14/2018,1:00PM,ATL,HOSTING,TB,BOXSCORE,34,29,417,0,510,2
6,SUN,10/14/2018,4:05PM,LA,AT,DEN,BOXSCORE,23,20,444,1,357,1
6,SUN,10/14/2018,4:25PM,BAL,AT,TEN,BOXSCORE,21,0,361,1,106,0
6,SUN,10/14/2018,4:25PM,DAL,HOSTING,JAX,BOXSCORE,40,7,378,0,204,2
