No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
35,Maurice Alexander\AlexMa00,27,,9,0,220,6-2,Utah St.,2/16/1991,4,1,St. Louis Rams / 4th / 110th pick / 2014,$604118
89,Doug Baldwin\BaldDo00,30,WR,13,13,192,5-10,Stanford,9/21/1988,7,6,,$8250000
68,Justin Britt\BritJu00,27,C,16,15,315,6-6,Missouri,5/29/1991,4,7,Seattle Seahawks / 2nd / 64th pick / 2014,$2750000
76,Duane Brown\BrowDu20,33,T,16,16,315,6-4,Virginia Tech,8/30/1985,10,14,Houston Texans / 1st / 26th pick / 2008,$6250000
18,Jaron Brown\BrowJa03,28,wr,16,2,204,6-3,Clemson,1/8/1990,5,2,,$800000
58,Austin Calitro\CaliAu00,24,lb,16,5,240,6-0,,1/10/1994,Rook,3,,$480000
32,Chris Carson\CarsCh00,24,RB,14,14,222,5-11,Oklahoma St.,9/16/1994,1,10,Seattle Seahawks / 7th / 249th pick / 2017,$555000
55,Frank Clark\ClarFr01,25,DE,16,16,265,6-3,Michigan,6/14/1993,3,10,Seattle Seahawks / 2nd / 63rd pick / 2015,$943938
28,Justin Coleman\ColeJu01,25,cb,16,5,190,5-11,Tennessee,3/27/1993,3,4,,$2914000
87,Darrell Daniels\DaniDa02,24,te,9,2,254,6-3,Washington,11/22/1994,1,0,,$555000
27,Mike Davis\DaviMi01,25,rb,15,2,217,5-9,South Carolina,2/19/1993,3,6,San Francisco 49ers / 4th / 126th pick / 2015,$800000
84,Ed Dickson\DickEd00,31,te,10,1,250,6-4,Oregon,7/25/1987,8,1,Baltimore Ravens / 3rd / 70th pick / 2010,$1000000
4,Michael Dickson\DickMi00,22,P,16,0,208,6-2,Texas,1/4/1996,Rook,3,Seattle Seahawks / 5th / 149th pick / 2018,$480000
88,Will Dissly\DissWi00,22,te,4,4,265,6-4,Washington,7/8/1996,Rook,2,Seattle Seahawks / 4th / 120th pick / 2018,$480000
