No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
26,Andrew Adams\AdamAn00,26,s,13,4,205,5-11,Connecticut,10/28/1992,2,2,,$395294
58,Kwon Alexander\AlexKw00,24,mlb,6,6,227,6-1,LSU,8/3/1994,3,3,Tampa Bay Buccaneers / 4th / 124th pick / 2015,$1907000
91,Beau Allen\AlleBe00,27,DT,14,8,327,6-3,Wisconsin,11/14/1991,4,4,Philadelphia Eagles / 7th / 224th pick / 2014,$2250000
9,Bryan Anger\AngeBr00,30,P,16,0,205,6-3,California,10/6/1988,6,2,Jacksonville Jaguars / 3rd / 70th pick / 2012,$3000000
82,Antony Auclair\AuclAn00,25,TE,16,10,256,6-6,,5/28/1993,1,0,,$555000
25,Peyton Barber\BarbPe01,24,RB,16,16,225,5-11,Auburn,2/27/1994,2,4,,$630000
77,Caleb Benenoch\BeneCa00,24,RG,16,16,305,6-5,UCLA,8/8/1994,2,8,Tampa Bay Buccaneers / 5th / 148th pick / 2016,$630000
59,Devante Bond\BondDe00,25,lb,11,4,236,6-1,Oklahoma,7/3/1993,1,2,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,$407647
84,Cameron Brate\BratCa00,27,te,16,2,245,6-5,Harvard,7/3/1991,4,2,,$1000000
49,Riley Bullough\BullRi00,25,mlb,9,3,228,6-2,Michigan St.,11/23/1993,1,2,,$326471
65,Alex Cappa\CappAl00,23,,6,0,305,6-6,Humboldt St.,1/27/1995,Rook,0,Tampa Bay Buccaneers / 3rd / 94th pick / 2018,$480000
7,Chandler Catanzaro\CataCh00,27,K,9,0,200,6-3,Clemson,2/26/1991,4,0,,$1350000
41,Jack Cichy\CichJa00,22,,6,0,238,6-2,Wisconsin,5/5/1996,Rook,0,Tampa Bay Buccaneers / 6th / 202nd pick / 2018,$480000
94,Will Clarke\ClarWi00,27,,3,0,275,6-6,West Virginia,5/4/1991,4,0,Cincinnati Bengals / 3rd / 88th pick / 2014,$743529
23,Chris Conte\ContCh00,29,s,3,3,203,6-2,California,2/23/1989,7,1,Chicago Bears / 3rd / 93rd pick / 2011,$2250000
45,Alan Cross\CrosAl00,25,te,14,3,235,6-1,Memphis,5/2/1993,2,0,,$630000
97,Vinny Curry\CurrVi00,30,de,12,7,279,6-3,Marshall,6/30/1988,6,3,Philadelphia Eagles / 2nd / 59th pick / 2012,$3000000
54,Lavonte David\DaviLa00,28,LB,14,14,233,6-1,Fort Scott (KS)Nebraska,1/23/1990,6,7,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,$8750000
33,Carlton Davis\DaviCa02,22,CB,13,12,206,6-1,Auburn,12/31/1996,Rook,4,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018,$480000
62,Evan Dietrich-Smith\DietEv00,32,,7,0,308,6-2,Idaho St.,7/19/1986,9,0,,$1000000
69,Demar Dotson\DotsDe00,33,T,15,15,315,6-9,Southern Miss,10/11/1985,9,9,,$3975000
35,Javien Elliott\ElliJa01,25,cb,15,5,176,5-11,Florida St.,7/18/1993,2,2,,$630000
86,Donnie Ernsberger\ErnsDo00,22,,2,0,237,6-2,,10/13/1996,Rook,0,,$56470
21,Justin Evans\EvanJu00,23,S,10,10,199,6-0,Texas A&M,8/26/1995,1,4,Tampa Bay Buccaneers / 2nd / 50th pick / 2017,$701332
13,Mike Evans\EvanMi00,25,WR,16,16,231,6-5,Texas A&M,8/21/1993,4,11,Tampa Bay Buccaneers / 1st / 7th pick / 2014,$8258000
14,Ryan Fitzpatrick\FitzRy00,36,qb,8,7,223,6-2,Harvard,11/24/1982,13,7,St. Louis Rams / 7th / 250th pick / 2005,$2000000
92,William Gholston\GholWi00,27,dt,16,2,281,6-6,Michigan St.,7/31/1991,5,2,Tampa Bay Buccaneers / 4th / 126th pick / 2013,$6500000
12,Chris Godwin\GodwCh00,22,wr,16,5,209,6-1,Penn St.,2/27/1996,1,6,Tampa Bay Buccaneers / 3rd / 84th pick / 2017,$581500
24,Brent Grimes\GrimBr20,35,CB,13,13,185,5-10,Shippensburg,7/19/1983,11,4,,$3500000
28,Vernon Hargreaves\HargVe00,23,cb,1,1,204,5-10,Florida,6/3/1995,2,0,Tampa Bay Buccaneers / 1st / 11th pick / 2016,$1738878
22,DeVante Harris\HarrDe04,25,cb,10,1,190,5-11,Texas A&M,6/3/1993,2,1,,$370588
71,Demone Harris\HarrDe06,23,,2,0,272,6-4,,12/30/1995,Rook,0,,$129200
80,O.J. Howard\HowaO.00,24,TE,10,8,251,6-6,Alabama,11/19/1994,1,4,Tampa Bay Buccaneers / 1st / 19th pick / 2017,$969301
10,Adam Humphries\HumpAd00,25,WR,16,10,195,5-11,Clemson,6/24/1993,3,6,,$2914000
34,Godwin Igwebuike\IgweGo00,24,,1,0,212,6-0,Northwestern,9/10/1994,Rook,0,,$129200
11,DeSean Jackson\JackDe00,32,WR,12,10,175,5-10,California,12/1/1986,10,6,Philadelphia Eagles / 2nd / 49th pick / 2008,$11000000
66,Ryan Jensen\JensRy00,27,C,16,16,319,6-4,Colorado State-Pueblo,5/27/1991,5,8,Baltimore Ravens / 6th / 203rd pick / 2013,$2000000
39,Isaiah Johnson\JohnIs00,26,s,15,4,209,6-0,,10/14/1992,1,2,,$555000
22,Ronald Jones\JoneRo01,21,,9,0,208,5-11,USC,8/3/1997,Rook,0,Tampa Bay Buccaneers / 2nd / 38th pick / 2018,$480000
78,Jeremiah Ledbetter\LedbJe00,24,,1,0,295,6-3,Arkansas,6/2/1994,1,0,Detroit Lions / 6th / 205th pick / 2017,$65294
67,Mike Liedtke\LiedMi00,26,,9,0,305,6-3,,1/15/1992,1,0,,$555000
43,Cameron Lynch\LyncCa00,25,,16,0,229,6-0,Syracuse,8/4/1993,3,1,,$705000
74,Ali Marpet\MarpAl00,25,LG,16,16,307,6-4,Hobart,4/17/1993,3,8,Tampa Bay Buccaneers / 2nd / 61st pick / 2015,$874581
16,Freddie Martino\MartFr00,27,,4,0,195,6-0,North Greenville,9/7/1991,4,0,,$705000
93,Gerald McCoy\McCoGe99,30,DT,14,14,300,6-4,Oklahoma,2/25/1988,8,6,Tampa Bay Buccaneers / 1st / 3rd pick / 2010,$12250000
41,Kevin Minter\MintKe00,28,,5,0,246,6-0,LSU,12/3/1990,5,0,Arizona Cardinals / 2nd / 45th pick / 2013,$325294
94,Carl Nassib\NassCa00,25,DE,15,9,275,6-7,Penn St.,4/12/1993,2,5,Cleveland Browns / 3rd / 65th pick / 2016,$773000
56,Rakeem Nunez-Roches\NuneRa00,25,,3,0,307,6-2,Southern Miss,7/3/1993,3,0,Kansas City Chiefs / 6th / 217th pick / 2015,$539118
44,Dare Ogunbowale\OgunDa00,24,,2,0,205,5-10,Wisconsin,5/4/1994,1,0,,$129200
