No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
34,Adonis Alexander\AlexAd00,22,,9,0,207,6-3,Virginia Tech,11/7/1996,Rook,1,Washington Redskins / 6th / 1st pick / 2018 Supp,$480000
93,Jonathan Allen\AlleJo01,23,DE,16,16,294,6-3,Alabama,1/16/1995,1,8,Washington Redskins / 1st / 17th pick / 2017,$992108
52,Ryan Anderson\AndeRy00,24,,13,0,253,6-2,Alabama,8/12/1994,1,1,Washington Redskins / 2nd / 49th pick / 2017,$707033
30,Troy Apke\ApkeTr00,23,,2,0,200,6-1,Penn St.,4/11/1995,Rook,0,Washington Redskins / 4th / 109th pick / 2018,$480000
66,Tony Bergstrom\BergTo00,32,rg,13,8,310,6-5,Utah,8/8/1986,6,4,Oakland Raiders / 3rd / 95th pick / 2012,$790000
35,Kapri Bibbs\BibbKa00,25,,10,0,203,5-10,Colorado St.,1/10/1993,4,1,,$129200
69,Luke Bowanko\BowaLu00,27,lg,7,3,305,6-6,Virginia,6/13/1991,4,1,Jacksonville Jaguars / 6th / 205th pick / 2014,$371765
99,Caleb Brantley\BranCa00,24,,7,0,307,6-2,Florida,9/2/1994,1,0,Cleveland Browns / 6th / 185th pick / 2017,$555000
53,Zach Brown\BrowZa00,29,MLB,16,12,250,6-1,North Carolina,10/23/1989,6,6,Tennessee Titans / 2nd / 52nd pick / 2012,$1000000
34,Alex Carter\CartAl01,24,,1,0,201,6-0,Stanford,10/19/1994,2,0,Detroit Lions / 3rd / 80th pick / 2015,$28235
16,Jehu Chesson\ChesJe00,25,,12,0,204,6-2,Michigan,12/29/1993,1,0,Kansas City Chiefs / 4th / 139th pick / 2017,$522353
72,Geron Christian\ChriGe01,22,,2,0,302,6-5,Louisville,9/10/1996,Rook,0,Washington Redskins / 3rd / 74th pick / 2018,$480000
20,Ha Ha Clinton-Dix\ClinHa00,26,SS,9,9,208,6-1,Alabama,12/21/1992,4,3,Green Bay Packers / 1st / 21st pick / 2014,$5957000
72,Jonathan Cooper\CoopJo01,28,lg,4,4,308,6-2,North Carolina,1/19/1990,5,2,Arizona Cardinals / 1st / 7th pick / 2013,$371765
80,Jamison Crowder\CrowJa00,25,wr,9,7,177,5-9,Duke,6/17/1993,3,3,Washington Redskins / 4th / 105th pick / 2015,$1907000
85,Vernon Davis\DaviVe00,34,te,14,8,244,6-3,Maryland,1/31/1984,12,3,San Francisco 49ers / 1st / 6th pick / 2006,$3750000
18,Josh Doctson\DoctJo00,26,WR,15,12,202,6-2,TCUWyoming,12/3/1992,2,4,Washington Redskins / 1st / 22nd pick / 2016,$1363604
23,Quinton Dunbar\DunbQu00,26,cb,7,6,197,6-2,Florida,7/22/1992,3,3,,$750000
55,Casey Dunn\DunnCa00,24,,2,0,300,6-4,,10/11/1994,Rook,0,,$480000
55,Andrew East\EastAn01,27,,3,0,220,6-2,Vanderbilt,9/17/1991,Rook,0,,$84705
22,Deshazor Everett\EverDe01,26,s,16,3,195,6-0,Texas A&M,2/22/1992,3,2,,$875000
88,Matt Flanagan\FlanMa00,23,wr,3,1,260,6-6,,3/26/1995,Rook,0,,$129200
17,Michael Floyd\FloyMi00,29,wr,13,3,220,6-3,Notre Dame,11/27/1989,6,1,Arizona Cardinals / 1st / 13th pick / 2012,$697059
54,Mason Foster\FostMa00,29,MLB,16,16,250,6-1,Washington,3/1/1989,7,9,Tampa Bay Buccaneers / 3rd / 84th pick / 2011,$1000000
62,Kyle Fuller\FullKy01,24,,2,0,310,6-5,Baylor,3/4/1994,1,0,Houston Texans / 7th / 243rd pick / 2017,$97941
51,Shaun Dion Hamilton\DionSh00,23,lb,16,4,235,6-0,Alabama,9/11/1995,Rook,3,Washington Redskins / 6th / 197th pick / 2018,$480000
13,Maurice Harris\HarrMa05,26,wr,12,7,200,6-3,California,11/11/1992,2,2,,$630000
40,Josh Harvey-Clemons\HarvJo01,24,,16,0,230,6-4,Louisville,2/20/1994,1,1,Washington Redskins / 7th / 230th pick / 2017,$555000
38,Joshua Holsey\HolsJo01,24,,1,0,195,5-11,Auburn,6/25/1994,1,0,Washington Redskins / 7th / 235th pick / 2017,$378000
90,Evander Hood\HoodEv99,31,,4,0,305,6-3,Missouri,2/16/1987,9,0,Pittsburgh Steelers / 1st / 32nd pick / 2009,$1200000
3,Dustin Hopkins\HopkDu00,28,K,16,0,203,6-2,Florida St.,10/1/1990,5,5,Buffalo Bills / 6th / 177th pick / 2013,$798928
78,Austin Howard\HowaAu20,31,rg,5,1,330,6-7,Northern Iowa,3/22/1987,8,1,,$430588
98,Matthew Ioannidis\IoanMa01,24,de,14,9,305,6-3,Temple,1/11/1994,2,5,Washington Redskins / 5th / 152nd pick / 2016,$630000
20,Danny Johnson\JohnDa09,23,db,14,1,181,5-9,,11/17/1995,Rook,1,,$480000
8,Josh Johnson\JohnJo05,32,qb,4,3,219,6-3,San Diego,5/15/1986,10,2,Tampa Bay Buccaneers / 5th / 160th pick / 2008,$915000
20,Robert Kelley\KellRo00,26,,2,0,229,6-0,Tulane,10/3/1992,2,0,,$630000
67,Zac Kerin\KeriZa00,27,rg,2,1,305,6-5,Toledo,8/13/1991,4,0,,$705000
91,Ryan Kerrigan\KerrRy00,30,LB,16,16,259,6-4,Purdue,8/16/1988,7,10,Washington Redskins / 1st / 16th pick / 2011,$9000000
84,Darvin Kidsy\KidsDa00,23,,2,0,180,6-0,,3/19/1995,Rook,0,,$129200
39,Kenny Ladler\LadlKe00,26,,5,0,200,6-1,Vanderbilt,6/23/1992,4,0,,$522352
77,Shawn Lauvao\LauvSh20,31,lg,5,5,308,6-3,Arizona St.,10/26/1987,8,2,Cleveland Browns / 3rd / 92nd pick / 2010,$950000
34,Byron Marshall\MarsBy01,24,,6,0,225,5-9,Oregon,2/13/1994,2,0,,$393000
12,Colt McCoy\McCoCo00,32,qb,3,2,210,6-1,Texas,9/5/1986,8,1,Cleveland Browns / 3rd / 85th pick / 2010,$2800000
